tree_id,split,domain,side,side_index,box_index,class_id,class_name,x_center,y_center,w_norm,h_norm,area_norm
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,0,2,B3,0.660417,0.408203,0.05625,0.041406,0.0023290875
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,1,1,B2,0.622396,0.44375,0.098958,0.0875,0.008658825
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,2,2,B3,0.503646,0.416016,0.088542,0.066406,0.005879720052
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,3,2,B3,0.417187,0.433203,0.090625,0.077344,0.0070092999999999996
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,4,1,B2,0.361979,0.457813,0.080208,0.075,0.0060156
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,1,0,2,B3,0.610938,0.345313,0.119792,0.107813,0.012915134896
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,1,1,1,B2,0.489063,0.353125,0.098958,0.098437,0.009741128646
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,1,2,2,B3,0.359375,0.362891,0.095833,0.085156,0.008160754947999999
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,1,3,2,B3,0.434375,0.320313,0.08125,0.0875,0.007109374999999999
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,2,0,2,B3,0.607812,0.278906,0.132292,0.117188,0.015503034895999999
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,2,1,0,B1,0.349479,0.3375,0.142708,0.134375,0.0191763875
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,2,2,1,B2,0.701562,0.336328,0.088542,0.088281,0.007816576302
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,2,3,2,B3,0.478646,0.293359,0.111458,0.108594,0.012103670052
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,3,0,0,B1,0.594792,0.427734,0.122917,0.110156,0.013540045052
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,3,1,2,B3,0.463021,0.388672,0.119792,0.102344,0.012259992448
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,3,2,1,B2,0.348438,0.408984,0.111458,0.086719,0.009665526302
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,3,3,2,B3,0.654687,0.388672,0.059375,0.060156,0.0035717624999999998
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,0,2,B3,0.455729,0.477734,0.140625,0.102344,0.014392125
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,1,3,B4,0.4125,0.392578,0.083333,0.057031,0.004752564323
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,2,0,B1,0.615625,0.475391,0.079167,0.052344,0.004143917448
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,3,2,B3,0.579688,0.422266,0.061458,0.047656,0.0029288424479999996
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,4,2,B3,0.333333,0.462891,0.077083,0.063281,0.004877889323
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,5,2,B3,0.676562,0.446094,0.036458,0.032813,0.001196296354
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,0,2,B3,0.442708,0.452344,0.1125,0.107813,0.012128962500000002
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,1,3,B4,0.398958,0.360938,0.095833,0.065625,0.006289040625000001
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,2,3,B4,0.298958,0.419922,0.06875,0.061719,0.00424318125
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,3,2,B3,0.658333,0.395313,0.083333,0.065625,0.005468728125000001
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,4,3,B4,0.5375,0.377344,0.083333,0.065625,0.005468728125000001
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,5,0,B1,0.325,0.50625,0.104167,0.082812,0.008626277604
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,0,0,B1,0.475,0.469922,0.139583,0.125781,0.017556889323
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,1,2,B3,0.297917,0.455859,0.11875,0.088281,0.01048336875
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,2,2,B3,0.703646,0.427734,0.088542,0.082031,0.0072631888020000005
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,3,3,B4,0.716146,0.366016,0.059375,0.041406,0.0024584812499999996
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,4,2,B3,0.613021,0.393359,0.073958,0.080469,0.0059513263019999995
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,5,3,B4,0.65,0.322266,0.06875,0.057031,0.00392088125
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,6,3,B4,0.419271,0.355859,0.109375,0.072656,0.007946749999999999
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,7,3,B4,0.322917,0.365625,0.058333,0.039063,0.002278661979
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_4,3,0,0,B1,0.65,0.440234,0.11875,0.096094,0.011411162499999999
