tree_id,split,domain,tree_n_sides,bunch_id,class,appearance_count,unique_side_count,appearances_json
DAMIMAS_A21B_0287,train,DAMIMAS,4,1,B1,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [591, 695, 686, 806]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [218, 701, 296, 778]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [320, 769, 472, 917]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [607, 724, 697, 816]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 2, ""class_name"": ""B1"", ""bbox_pixel"": [389, 753, 492, 867]}]"
DAMIMAS_A21B_0309,train,DAMIMAS,4,1,B1,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [513, 478, 655, 659]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [334, 377, 454, 515]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [603, 437, 730, 593]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 4, ""class_name"": ""B1"", ""bbox_pixel"": [203, 450, 304, 562]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [180, 489, 293, 621]}]"
DAMIMAS_A21B_0320,train,DAMIMAS,4,4,B3,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 3, ""class_name"": ""B3"", ""bbox_pixel"": [597, 241, 794, 392]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 3, ""class_name"": ""B3"", ""bbox_pixel"": [269, 358, 428, 516]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 4, ""class_name"": ""B3"", ""bbox_pixel"": [506, 357, 671, 493]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 5, ""class_name"": ""B3"", ""bbox_pixel"": [378, 325, 560, 476]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 6, ""class_name"": ""B3"", ""bbox_pixel"": [202, 452, 345, 516]}]"
DAMIMAS_A21B_0323,test,DAMIMAS,4,1,B3,7,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [535, 351, 673, 496]}, {""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [228, 351, 384, 533]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [500, 328, 592, 477]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [628, 363, 719, 489]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [272, 354, 389, 489]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [575, 490, 713, 601]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [379, 486, 471, 600]}]"
DAMIMAS_A21B_0323,test,DAMIMAS,4,2,B3,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [423, 303, 525, 458]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [606, 326, 792, 492]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [343, 311, 448, 491]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [417, 313, 492, 448]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [475, 406, 568, 511]}]"
DAMIMAS_A21B_0335,train,DAMIMAS,4,1,B1,6,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [233, 603, 319, 686]}, {""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 1, ""class_name"": ""B1"", ""bbox_pixel"": [503, 462, 601, 562]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [664, 537, 732, 606]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 3, ""class_name"": ""B1"", ""bbox_pixel"": [258, 477, 413, 630]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 1, ""class_name"": ""B1"", ""bbox_pixel"": [458, 509, 626, 718]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [618, 624, 697, 708]}]"
DAMIMAS_A21B_0336,train,DAMIMAS,4,1,B1,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [290, 447, 514, 720]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [670, 456, 835, 624]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 2, ""class_name"": ""B1"", ""bbox_pixel"": [147, 407, 319, 601]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [152, 445, 387, 721]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [531, 431, 772, 720]}]"
DAMIMAS_A21B_0359,val,DAMIMAS,4,1,B1,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [566, 419, 675, 536]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 1, ""class_name"": ""B1"", ""bbox_pixel"": [408, 495, 499, 595]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 2, ""class_name"": ""B1"", ""bbox_pixel"": [377, 607, 471, 689]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B1"", ""bbox_pixel"": [458, 494, 538, 571]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 4, ""class_name"": ""B1"", ""bbox_pixel"": [281, 468, 374, 571]}]"
DAMIMAS_A21B_0362,train,DAMIMAS,4,1,B3,8,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [548, 555, 655, 657]}, {""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [302, 524, 407, 650]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [425, 446, 534, 574]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 5, ""class_name"": ""B3"", ""bbox_pixel"": [295, 448, 349, 548]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [532, 485, 632, 595]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 3, ""class_name"": ""B3"", ""bbox_pixel"": [317, 502, 356, 581]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 0, ""class_name"": ""B3"", ""bbox_pixel"": [299, 516, 384, 658]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [563, 469, 658, 558]}]"
DAMIMAS_A21B_0362,train,DAMIMAS,4,2,B3,5,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 1, ""class_name"": ""B3"", ""bbox_pixel"": [431, 504, 490, 623]}, {""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 4, ""class_name"": ""B3"", ""bbox_pixel"": [688, 508, 718, 549]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 6, ""class_name"": ""B3"", ""bbox_pixel"": [339, 389, 403, 473]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [407, 491, 513, 606]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 4, ""class_name"": ""B3"", ""bbox_pixel"": [403, 513, 445, 600]}]"
DAMIMAS_A21B_0362,train,DAMIMAS,4,3,B3,6,4,"[{""side"": ""sisi_1"", ""side_index"": 0, ""box_index"": 3, ""class_name"": ""B3"", ""bbox_pixel"": [622, 457, 669, 557]}, {""side"": ""sisi_2"", ""side_index"": 1, ""box_index"": 4, ""class_name"": ""B3"", ""bbox_pixel"": [487, 363, 548, 444]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 4, ""class_name"": ""B3"", ""bbox_pixel"": [348, 439, 392, 503]}, {""side"": ""sisi_3"", ""side_index"": 2, ""box_index"": 5, ""class_name"": ""B3"", ""bbox_pixel"": [464, 431, 519, 491]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 2, ""class_name"": ""B3"", ""bbox_pixel"": [465, 432, 533, 549]}, {""side"": ""sisi_4"", ""side_index"": 3, ""box_index"": 3, ""class_name"": ""B3"", ""bbox_pixel"": [367, 454, 428, 514]}]"
