tree_id,split,domain,bunch_id,class,side,side_index,box_index
DAMIMAS_A21B_0001,train,DAMIMAS,1,B3,sisi_1,0,0
DAMIMAS_A21B_0001,train,DAMIMAS,1,B3,sisi_4,3,1
DAMIMAS_A21B_0001,train,DAMIMAS,2,B2,sisi_1,0,1
DAMIMAS_A21B_0001,train,DAMIMAS,2,B2,sisi_4,3,2
DAMIMAS_A21B_0001,train,DAMIMAS,3,B3,sisi_1,0,2
DAMIMAS_A21B_0001,train,DAMIMAS,4,B3,sisi_1,0,3
DAMIMAS_A21B_0001,train,DAMIMAS,4,B3,sisi_2,1,0
DAMIMAS_A21B_0001,train,DAMIMAS,5,B2,sisi_1,0,4
DAMIMAS_A21B_0001,train,DAMIMAS,5,B2,sisi_2,1,1
DAMIMAS_A21B_0001,train,DAMIMAS,5,B2,sisi_3,2,2
DAMIMAS_A21B_0001,train,DAMIMAS,6,B3,sisi_2,1,2
DAMIMAS_A21B_0001,train,DAMIMAS,6,B3,sisi_3,2,3
DAMIMAS_A21B_0001,train,DAMIMAS,6,B3,sisi_4,3,3
DAMIMAS_A21B_0001,train,DAMIMAS,7,B3,sisi_2,1,3
DAMIMAS_A21B_0001,train,DAMIMAS,7,B3,sisi_3,2,0
DAMIMAS_A21B_0001,train,DAMIMAS,8,B1,sisi_3,2,1
DAMIMAS_A21B_0001,train,DAMIMAS,8,B1,sisi_4,3,0
DAMIMAS_A21B_0002,train,DAMIMAS,1,B3,sisi_1,0,0
DAMIMAS_A21B_0002,train,DAMIMAS,1,B3,sisi_2,1,3
DAMIMAS_A21B_0002,train,DAMIMAS,2,B4,sisi_1,0,1
DAMIMAS_A21B_0002,train,DAMIMAS,2,B4,sisi_2,1,4
DAMIMAS_A21B_0002,train,DAMIMAS,2,B4,sisi_3,2,3
DAMIMAS_A21B_0002,train,DAMIMAS,3,B1,sisi_1,0,2
DAMIMAS_A21B_0002,train,DAMIMAS,4,B3,sisi_1,0,3
DAMIMAS_A21B_0002,train,DAMIMAS,5,B3,sisi_1,0,4
DAMIMAS_A21B_0002,train,DAMIMAS,5,B3,sisi_2,1,0
