tree_id,split,varietas,num_sides,total_unique_bunches,B1,B2,B3,B4,total_detections,duplicates_linked
DAMIMAS_A21B_0001,train,DAMIMAS,4,8,1,2,5,0,17,9
DAMIMAS_A21B_0002,train,DAMIMAS,4,12,1,0,7,4,25,13
DAMIMAS_A21B_0003,train,DAMIMAS,4,9,1,2,5,1,20,11
DAMIMAS_A21B_0004,train,DAMIMAS,4,8,0,0,8,0,15,7
DAMIMAS_A21B_0005,test,DAMIMAS,4,9,1,3,3,2,16,7
DAMIMAS_A21B_0006,train,DAMIMAS,4,9,1,0,5,3,16,7
DAMIMAS_A21B_0007,train,DAMIMAS,4,17,3,3,8,3,29,12
DAMIMAS_A21B_0008,train,DAMIMAS,4,9,2,3,4,0,18,9
DAMIMAS_A21B_0009,train,DAMIMAS,4,6,0,0,3,3,10,4
DAMIMAS_A21B_0010,train,DAMIMAS,4,11,0,2,6,3,22,11
DAMIMAS_A21B_0011,train,DAMIMAS,4,6,1,0,4,1,13,7
DAMIMAS_A21B_0012,test,DAMIMAS,4,9,1,2,4,2,16,7
DAMIMAS_A21B_0013,val,DAMIMAS,4,9,0,1,4,4,17,8
DAMIMAS_A21B_0014,test,DAMIMAS,4,9,1,1,4,3,18,9
DAMIMAS_A21B_0015,test,DAMIMAS,4,13,1,1,7,4,26,13
DAMIMAS_A21B_0016,train,DAMIMAS,4,5,1,0,4,0,8,3
DAMIMAS_A21B_0017,train,DAMIMAS,4,8,0,1,3,4,17,9
DAMIMAS_A21B_0018,train,DAMIMAS,4,5,1,0,3,1,11,6
DAMIMAS_A21B_0019,train,DAMIMAS,4,13,2,0,8,3,25,12
DAMIMAS_A21B_0020,train,DAMIMAS,4,9,1,1,4,3,16,7
DAMIMAS_A21B_0021,test,DAMIMAS,4,12,3,0,5,4,21,9
DAMIMAS_A21B_0022,test,DAMIMAS,4,8,0,1,5,2,16,8
DAMIMAS_A21B_0023,train,DAMIMAS,4,9,1,3,5,0,16,7
DAMIMAS_A21B_0024,train,DAMIMAS,4,10,1,0,6,3,20,10
DAMIMAS_A21B_0025,train,DAMIMAS,4,7,1,1,5,0,12,5
DAMIMAS_A21B_0026,val,DAMIMAS,4,7,0,1,4,2,13,6
DAMIMAS_A21B_0027,train,DAMIMAS,4,11,3,0,6,2,21,10
DAMIMAS_A21B_0028,val,DAMIMAS,4,12,0,1,5,6,21,9
DAMIMAS_A21B_0029,train,DAMIMAS,4,10,1,2,5,2,23,13
DAMIMAS_A21B_0030,train,DAMIMAS,4,8,0,0,5,3,13,5
DAMIMAS_A21B_0031,train,DAMIMAS,4,7,0,1,4,2,13,6
DAMIMAS_A21B_0032,train,DAMIMAS,4,11,2,1,5,3,22,11
DAMIMAS_A21B_0033,train,DAMIMAS,4,10,0,0,8,2,18,8
DAMIMAS_A21B_0034,train,DAMIMAS,4,10,0,1,3,6,16,6
DAMIMAS_A21B_0035,train,DAMIMAS,4,9,0,7,2,0,13,4
