tree_id,split,domain,side,image_file,label_file,image_exists,label_exists,json_annotation_count,json_bbox_count_field,json_summary_by_side_count,label_line_count,label_parse_error_lines,json_vs_label_count_diff,json_vs_bbox_field_diff,json_vs_summary_side_diff,json_cls0_B1,json_cls1_B2,json_cls2_B3,json_cls3_B4,label_cls0_B1,label_cls1_B2,label_cls2_B3,label_cls3_B4
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1.txt,1,1,5,5,5,5,0,0,0,0,0,2,3,0,0,2,3,0
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,DAMIMAS_A21B_0001_2.jpg,DAMIMAS_A21B_0001_2.txt,1,1,4,4,4,4,0,0,0,0,0,1,3,0,0,1,3,0
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,DAMIMAS_A21B_0001_3.jpg,DAMIMAS_A21B_0001_3.txt,1,1,4,4,4,4,0,0,0,0,1,1,2,0,1,1,2,0
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,DAMIMAS_A21B_0001_4.jpg,DAMIMAS_A21B_0001_4.txt,1,1,4,4,4,4,0,0,0,0,1,1,2,0,1,1,2,0
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,DAMIMAS_A21B_0002_1.jpg,DAMIMAS_A21B_0002_1.txt,1,1,6,6,6,6,0,0,0,0,1,0,4,1,1,0,4,1
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,DAMIMAS_A21B_0002_2.jpg,DAMIMAS_A21B_0002_2.txt,1,1,6,6,6,6,0,0,0,0,1,0,2,3,1,0,2,3
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,DAMIMAS_A21B_0002_3.jpg,DAMIMAS_A21B_0002_3.txt,1,1,8,8,8,8,0,0,0,0,1,0,3,4,1,0,3,4
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_4,DAMIMAS_A21B_0002_4.jpg,DAMIMAS_A21B_0002_4.txt,1,1,5,5,5,5,0,0,0,0,1,0,2,2,1,0,2,2
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_1,DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1.txt,1,1,5,5,5,5,0,0,0,0,1,1,3,0,1,1,3,0
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_2,DAMIMAS_A21B_0003_2.jpg,DAMIMAS_A21B_0003_2.txt,1,1,5,5,5,5,0,0,0,0,1,1,3,0,1,1,3,0
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_3,DAMIMAS_A21B_0003_3.jpg,DAMIMAS_A21B_0003_3.txt,1,1,5,5,5,5,0,0,0,0,0,1,3,1,0,1,3,1
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_4,DAMIMAS_A21B_0003_4.jpg,DAMIMAS_A21B_0003_4.txt,1,1,5,5,5,5,0,0,0,0,0,2,2,1,0,2,2,1
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_1,DAMIMAS_A21B_0004_1.jpg,DAMIMAS_A21B_0004_1.txt,1,1,4,4,4,4,0,0,0,0,0,0,4,0,0,0,4,0
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_2,DAMIMAS_A21B_0004_2.jpg,DAMIMAS_A21B_0004_2.txt,1,1,3,3,3,3,0,0,0,0,0,0,3,0,0,0,3,0
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_3,DAMIMAS_A21B_0004_3.jpg,DAMIMAS_A21B_0004_3.txt,1,1,4,4,4,4,0,0,0,0,0,0,4,0,0,0,4,0
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_4,DAMIMAS_A21B_0004_4.jpg,DAMIMAS_A21B_0004_4.txt,1,1,4,4,4,4,0,0,0,0,0,0,4,0,0,0,4,0
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_1,DAMIMAS_A21B_0005_1.jpg,DAMIMAS_A21B_0005_1.txt,1,1,4,4,4,4,0,0,0,0,1,1,2,0,1,1,2,0
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_2,DAMIMAS_A21B_0005_2.jpg,DAMIMAS_A21B_0005_2.txt,1,1,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_3,DAMIMAS_A21B_0005_3.jpg,DAMIMAS_A21B_0005_3.txt,1,1,5,5,5,5,0,0,0,0,0,2,2,1,0,2,2,1
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_4,DAMIMAS_A21B_0005_4.jpg,DAMIMAS_A21B_0005_4.txt,1,1,5,5,5,5,0,0,0,0,1,2,1,1,1,2,1,1
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_1,DAMIMAS_A21B_0006_1.jpg,DAMIMAS_A21B_0006_1.txt,1,1,4,4,4,4,0,0,0,0,0,0,2,2,0,0,2,2
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_2,DAMIMAS_A21B_0006_2.jpg,DAMIMAS_A21B_0006_2.txt,1,1,3,3,3,3,0,0,0,0,0,0,2,1,0,0,2,1
