tree_id,split,domain,link_id,sideA,bboxIdA,sideB,bboxIdB,is_loop_across_sides
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-0,0,b3,1,b0,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-1,0,b4,1,b1,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-2,1,b1,2,b2,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-3,1,b2,2,b3,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-4,2,b3,3,b3,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-5,1,b3,2,b0,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-6,2,b1,3,b0,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-7,3,b2,0,b1,0
DAMIMAS_A21B_0001,train,DAMIMAS,lnk-8,3,b1,0,b0,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-0,0,b0,1,b3,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-1,0,b4,1,b0,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-2,1,b0,2,b2,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-3,0,b1,1,b4,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-4,1,b4,2,b3,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-5,1,b1,2,b5,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-6,1,b2,2,b6,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-7,2,b6,3,b3,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-8,1,b5,2,b0,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-9,2,b0,3,b0,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-10,3,b0,0,b2,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-11,2,b7,3,b4,0
DAMIMAS_A21B_0002,train,DAMIMAS,lnk-12,2,b1,3,b1,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-0,0,b0,1,b0,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-1,0,b2,1,b2,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-2,1,b3,2,b0,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-3,1,b4,2,b1,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-4,1,b1,2,b4,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-5,2,b4,3,b0,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-6,2,b2,3,b4,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-7,2,b3,3,b1,0
DAMIMAS_A21B_0003,train,DAMIMAS,lnk-8,3,b1,0,b4,0
