tree_id,split,domain,bunch_id,class,appearance_count,unique_side_count,same_side_duplicate_count,tree_n_sides
DAMIMAS_A21B_0287,train,DAMIMAS,1,B1,5,4,1,4
DAMIMAS_A21B_0309,train,DAMIMAS,1,B1,5,4,1,4
DAMIMAS_A21B_0320,train,DAMIMAS,4,B3,5,4,1,4
DAMIMAS_A21B_0323,test,DAMIMAS,1,B3,7,4,3,4
DAMIMAS_A21B_0323,test,DAMIMAS,2,B3,5,4,1,4
DAMIMAS_A21B_0335,train,DAMIMAS,1,B1,6,4,2,4
DAMIMAS_A21B_0336,train,DAMIMAS,1,B1,5,4,1,4
DAMIMAS_A21B_0359,val,DAMIMAS,1,B1,5,4,1,4
DAMIMAS_A21B_0362,train,DAMIMAS,1,B3,8,4,4,4
DAMIMAS_A21B_0362,train,DAMIMAS,2,B3,5,4,1,4
DAMIMAS_A21B_0362,train,DAMIMAS,3,B3,6,4,2,4
