tree_id,split,domain,side,side_index,width,height,bbox_count_field,bbox_count_from_annotations,summary_by_side_count
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_1,0,960,1280,5,5,5
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_2,1,960,1280,4,4,4
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_3,2,960,1280,4,4,4
DAMIMAS_A21B_0001,train,DAMIMAS,sisi_4,3,960,1280,4,4,4
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_1,0,960,1280,6,6,6
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_2,1,960,1280,6,6,6
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_3,2,960,1280,8,8,8
DAMIMAS_A21B_0002,train,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_1,0,960,1280,5,5,5
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_2,1,960,1280,5,5,5
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0003,train,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_2,1,960,1280,3,3,3
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_3,2,960,1280,4,4,4
DAMIMAS_A21B_0004,train,DAMIMAS,sisi_4,3,960,1280,4,4,4
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_2,1,960,1280,2,2,2
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0005,test,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_2,1,960,1280,3,3,3
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_3,2,960,1280,4,4,4
DAMIMAS_A21B_0006,train,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0007,train,DAMIMAS,sisi_1,0,960,1280,7,7,7
DAMIMAS_A21B_0007,train,DAMIMAS,sisi_2,1,960,1280,8,8,8
DAMIMAS_A21B_0007,train,DAMIMAS,sisi_3,2,960,1280,7,7,7
DAMIMAS_A21B_0007,train,DAMIMAS,sisi_4,3,960,1280,7,7,7
DAMIMAS_A21B_0008,train,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0008,train,DAMIMAS,sisi_2,1,960,1280,6,6,6
DAMIMAS_A21B_0008,train,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0008,train,DAMIMAS,sisi_4,3,960,1280,3,3,3
DAMIMAS_A21B_0009,train,DAMIMAS,sisi_1,0,960,1280,2,2,2
DAMIMAS_A21B_0009,train,DAMIMAS,sisi_2,1,960,1280,3,3,3
DAMIMAS_A21B_0009,train,DAMIMAS,sisi_3,2,960,1280,2,2,2
DAMIMAS_A21B_0009,train,DAMIMAS,sisi_4,3,960,1280,3,3,3
DAMIMAS_A21B_0010,train,DAMIMAS,sisi_1,0,960,1280,6,6,6
DAMIMAS_A21B_0010,train,DAMIMAS,sisi_2,1,960,1280,6,6,6
DAMIMAS_A21B_0010,train,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0010,train,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0011,train,DAMIMAS,sisi_1,0,960,1280,3,3,3
DAMIMAS_A21B_0011,train,DAMIMAS,sisi_2,1,960,1280,5,5,5
DAMIMAS_A21B_0011,train,DAMIMAS,sisi_3,2,960,1280,2,2,2
DAMIMAS_A21B_0011,train,DAMIMAS,sisi_4,3,960,1280,3,3,3
DAMIMAS_A21B_0012,test,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0012,test,DAMIMAS,sisi_2,1,960,1280,2,2,2
DAMIMAS_A21B_0012,test,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0012,test,DAMIMAS,sisi_4,3,960,1280,5,5,5
DAMIMAS_A21B_0013,val,DAMIMAS,sisi_1,0,960,1280,4,4,4
DAMIMAS_A21B_0013,val,DAMIMAS,sisi_2,1,960,1280,4,4,4
DAMIMAS_A21B_0013,val,DAMIMAS,sisi_3,2,960,1280,5,5,5
DAMIMAS_A21B_0013,val,DAMIMAS,sisi_4,3,960,1280,4,4,4
DAMIMAS_A21B_0014,test,DAMIMAS,sisi_1,0,960,1280,5,5,5
DAMIMAS_A21B_0014,test,DAMIMAS,sisi_2,1,960,1280,5,5,5
