epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5818,2.03493,4.4261,0.00913,0.30484,0.36204,0.27281,0.11055,1.7357,2.7856,0.01004,0.000414562,0.000414562,0.000414562
2,83.0183,1.78966,3.01771,0.00784,0.34365,0.44293,0.35188,0.15248,1.77518,2.06069,0.01014,0.000823,0.000823,0.000823
3,109.357,1.81487,2.39804,0.00793,0.41829,0.47867,0.39929,0.17098,1.84815,1.89452,0.01079,0.00122319,0.00122319,0.00122319
4,135.726,1.83983,2.15263,0.00802,0.43459,0.4717,0.39263,0.17526,1.81934,1.91492,0.01058,0.00121287,0.00121287,0.00121287
5,164.018,1.83044,2.04329,0.00792,0.44292,0.50313,0.44203,0.19406,1.85633,1.76874,0.01088,0.0012005,0.0012005,0.0012005
6,191.301,1.7992,1.98225,0.0078,0.40772,0.52282,0.43606,0.19482,1.81105,1.79999,0.01044,0.00118812,0.00118812,0.00118812
7,217.405,1.80434,1.9397,0.00803,0.44065,0.52371,0.44404,0.20208,1.81311,1.73702,0.01046,0.00117575,0.00117575,0.00117575
8,243.21,1.79966,1.87863,0.00798,0.45756,0.50273,0.4474,0.2007,1.8558,1.73686,0.01084,0.00116337,0.00116337,0.00116337
9,268.128,1.80003,1.84993,0.00793,0.47224,0.49622,0.45747,0.20622,1.83501,1.67549,0.01069,0.001151,0.001151,0.001151
10,293.504,1.81169,1.8153,0.008,0.46051,0.53098,0.47068,0.21451,1.80514,1.67718,0.01045,0.00113863,0.00113863,0.00113863
11,318.419,1.79731,1.79718,0.00788,0.47889,0.52425,0.46428,0.20038,1.88644,1.63539,0.01109,0.00112625,0.00112625,0.00112625
12,343.736,1.79309,1.77893,0.00792,0.47489,0.49786,0.47258,0.21642,1.8461,1.66925,0.01077,0.00111388,0.00111388,0.00111388
13,369.092,1.80593,1.76467,0.00784,0.4617,0.53392,0.47388,0.21289,1.82698,1.62132,0.0105,0.0011015,0.0011015,0.0011015
14,394.088,1.79747,1.75311,0.00788,0.48251,0.53022,0.47637,0.21223,1.82934,1.63184,0.01062,0.00108913,0.00108913,0.00108913
15,417.738,1.79669,1.73526,0.00793,0.46981,0.52087,0.46995,0.21581,1.81646,1.64653,0.01061,0.00107675,0.00107675,0.00107675
16,441.155,1.78527,1.73955,0.00778,0.48614,0.54709,0.48817,0.22427,1.83095,1.6021,0.01063,0.00106437,0.00106437,0.00106437
