epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5055,1.86971,4.76695,0.00998,0.35973,0.40685,0.31988,0.14454,1.74269,2.27423,0.01005,0.000414562,0.000414562,0.000414562
2,94.566,1.79649,2.06748,0.00952,0.39562,0.51239,0.42493,0.18894,1.88408,1.80015,0.01094,0.000823,0.000823,0.000823
3,129.186,1.80593,1.76132,0.00957,0.42006,0.5194,0.40916,0.18025,1.91394,1.83072,0.01131,0.00122319,0.00122319,0.00122319
4,161.473,1.78396,1.59748,0.00944,0.39992,0.46286,0.37519,0.16153,1.91272,1.94169,0.0112,0.00121287,0.00121287,0.00121287
5,194.593,1.74041,1.4926,0.00916,0.45221,0.50733,0.44386,0.19333,1.93247,1.71179,0.01123,0.0012005,0.0012005,0.0012005
6,226.753,1.68924,1.38125,0.00882,0.46353,0.52171,0.46466,0.21554,1.8792,1.69222,0.01091,0.00118812,0.00118812,0.00118812
7,261.779,1.64662,1.27155,0.00856,0.48417,0.50912,0.45693,0.20143,1.95127,1.71424,0.01134,0.00117575,0.00117575,0.00117575
8,295,1.61474,1.16748,0.00835,0.4719,0.51131,0.45201,0.19857,1.95254,1.68755,0.01146,0.00116337,0.00116337,0.00116337
9,327.417,1.55846,1.04109,0.00803,0.46934,0.51525,0.43906,0.18753,2.0186,1.71751,0.01198,0.001151,0.001151,0.001151
10,360.906,1.52812,0.91716,0.00784,0.46291,0.48269,0.42977,0.18069,2.04918,1.77642,0.01195,0.00113863,0.00113863,0.00113863
11,392.509,1.47,0.81133,0.00748,0.43418,0.5345,0.41158,0.17104,2.06642,1.87089,0.01217,0.00112625,0.00112625,0.00112625
12,424.55,1.4265,0.72955,0.00722,0.47821,0.48673,0.41602,0.17437,2.1267,1.8898,0.01245,0.00111388,0.00111388,0.00111388
13,458.859,1.37908,0.66055,0.00695,0.43488,0.48272,0.3995,0.16805,2.09899,1.99522,0.01231,0.0011015,0.0011015,0.0011015
14,493.623,1.33099,0.60507,0.00668,0.48152,0.4692,0.38961,0.15513,2.15845,2.00684,0.01273,0.00108913,0.00108913,0.00108913
15,527.468,1.28068,0.55026,0.00638,0.45093,0.48166,0.38264,0.15139,2.1808,2.04195,0.01278,0.00107675,0.00107675,0.00107675
16,562.05,1.24001,0.51765,0.00616,0.46546,0.47795,0.37953,0.15432,2.22011,2.11274,0.01302,0.00106437,0.00106437,0.00106437
17,595.016,1.18371,0.47382,0.00584,0.41323,0.4737,0.36363,0.14701,2.2288,2.11211,0.0131,0.001052,0.001052,0.001052
18,628.666,1.13485,0.43457,0.00557,0.49585,0.48398,0.40479,0.1633,2.20477,2.1294,0.0132,0.00103962,0.00103962,0.00103962
19,660.366,1.09774,0.40298,0.00537,0.4988,0.47494,0.38964,0.15509,2.21857,2.24827,0.01307,0.00102725,0.00102725,0.00102725
20,692.907,1.05258,0.39508,0.00511,0.48035,0.44236,0.37874,0.14964,2.26443,2.19431,0.01349,0.00101488,0.00101488,0.00101488
