tree_id,n_dets,n_sides,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,naive_B1,naive_B2,naive_B3,naive_B4,abs_total_err,breaking_classes
DAMIMAS_A21B_0844,45,8,5,17,21,2,3,10,12,1,-2,-7,-9,-1,5,17,21,2,19,"B1,B2,B3"
DAMIMAS_A21B_0811,48,8,3,11,32,2,2,7,19,1,-1,-4,-13,-1,3,11,32,2,19,"B2,B3"
DAMIMAS_A21B_0810,46,8,2,3,27,14,1,2,16,8,-1,-1,-11,-6,2,3,27,14,19,"B3,B4"
DAMIMAS_A21B_0823,57,8,2,1,9,2,4,3,22,4,2,2,13,2,8,5,37,7,19,"B1,B2,B3,B4"
DAMIMAS_A21B_0820,47,8,0,2,8,0,0,7,21,0,0,5,13,0,0,12,35,0,18,"B2,B3"
DAMIMAS_A21B_0831,52,8,1,2,7,3,2,5,18,6,1,3,11,3,4,9,30,9,18,"B2,B3,B4"
DAMIMAS_A21B_0815,51,8,1,2,9,2,3,5,20,2,2,3,11,0,5,9,34,3,16,"B1,B2,B3"
DAMIMAS_A21B_0827,45,8,1,1,8,5,3,2,18,3,2,1,10,-2,5,4,31,5,15,"B1,B3,B4"
DAMIMAS_A21B_0824,41,8,2,5,3,0,5,13,6,0,3,8,3,0,9,22,10,0,14,"B1,B2,B3"
DAMIMAS_A21B_0818,40,8,0,4,6,0,0,11,13,0,0,7,7,0,0,18,22,0,14,"B2,B3"
DAMIMAS_A21B_0842,46,8,2,3,7,2,4,5,13,5,2,2,6,3,8,8,22,8,13,"B1,B2,B3,B4"
DAMIMAS_A21B_0834,46,8,1,6,5,3,2,11,9,6,1,5,4,3,3,19,15,9,13,"B2,B3,B4"
DAMIMAS_A21B_0828,49,8,2,6,8,0,3,13,13,0,1,7,5,0,5,22,22,0,13,"B2,B3"
DAMIMAS_A21B_0819,44,8,0,2,11,3,0,5,19,2,0,3,8,-1,0,9,32,3,12,"B2,B3"
DAMIMAS_A21B_0850,43,8,1,2,6,4,3,5,13,4,2,3,7,0,5,9,22,7,12,"B1,B2,B3"
DAMIMAS_A21B_0832,37,8,0,4,5,1,0,9,11,2,0,5,6,1,0,16,18,3,12,"B2,B3"
DAMIMAS_A21B_0840,45,8,2,7,6,0,4,13,9,0,2,6,3,0,8,22,15,0,11,"B1,B2,B3"
DAMIMAS_A21B_0854,44,8,3,3,5,4,6,6,9,5,3,3,4,1,11,10,15,8,11,"B1,B2,B3"
DAMIMAS_A21B_0839,35,8,1,1,6,1,3,3,13,1,2,2,7,0,5,6,23,1,11,"B1,B2,B3"
DAMIMAS_A21B_0851,51,8,0,5,13,3,0,10,18,2,0,5,5,-1,0,17,31,3,11,"B2,B3"
DAMIMAS_A21B_0836,36,8,3,2,4,0,5,5,10,0,2,3,6,0,10,9,17,0,11,"B1,B2,B3"
DAMIMAS_A21B_0812,40,8,2,4,5,0,6,7,9,0,4,3,4,0,12,12,16,0,11,"B1,B2,B3"
DAMIMAS_A21B_0704,26,4,0,5,14,7,0,3,8,4,0,-2,-6,-3,0,5,14,7,11,"B2,B3,B4"
DAMIMAS_A21B_0838,38,8,0,1,4,7,0,2,8,13,0,1,4,6,0,3,14,21,11,"B3,B4"
DAMIMAS_A21B_0822,38,8,1,1,10,0,2,2,18,0,1,1,8,0,4,3,31,0,10,B3
DAMIMAS_A21B_0847,44,8,1,4,10,1,3,5,17,1,2,1,7,0,5,9,29,1,10,"B1,B3"
DAMIMAS_A21B_0816,45,8,1,4,13,1,3,8,16,1,2,4,3,0,5,13,26,1,9,"B1,B2,B3"
DAMIMAS_A21B_0829,33,8,2,1,6,2,4,3,10,2,2,2,4,0,7,5,17,4,8,"B1,B2,B3"
DAMIMAS_A21B_0362,26,4,0,0,5,2,0,0,13,2,0,0,8,0,0,0,23,3,8,B3
DAMIMAS_A21B_0848,25,8,0,1,4,0,0,3,10,0,0,2,6,0,0,6,19,0,8,"B2,B3"
DAMIMAS_A21B_0835,43,8,0,0,15,4,0,0,22,3,0,0,7,-1,0,0,37,6,8,B3
DAMIMAS_A21B_0817,28,8,3,2,3,0,8,4,4,0,5,2,1,0,14,7,7,0,8,"B1,B2"
DAMIMAS_A21B_0830,34,8,3,2,6,0,7,4,8,0,4,2,2,0,13,7,14,0,8,"B1,B2,B3"
DAMIMAS_A21B_0846,26,8,0,4,3,0,0,8,6,0,0,4,3,0,0,15,11,0,7,"B2,B3"
DAMIMAS_A21B_0837,35,8,2,1,9,1,5,1,13,1,3,0,4,0,9,2,23,1,7,"B1,B3"
DAMIMAS_A21B_0814,24,8,0,0,6,1,0,0,11,2,0,0,5,1,0,0,21,3,6,B3
DAMIMAS_A21B_0825,29,8,2,0,7,3,4,0,10,2,2,0,3,-1,7,0,18,4,6,"B1,B3"
DAMIMAS_A21B_0843,34,8,0,1,9,3,0,3,13,3,0,2,4,0,0,5,24,5,6,"B2,B3"
DAMIMAS_A21B_0826,21,8,0,3,3,0,0,6,5,0,0,3,2,0,0,11,10,0,5,"B2,B3"
DAMIMAS_A21B_0833,22,8,2,1,4,0,5,1,6,0,3,0,2,0,9,2,11,0,5,"B1,B3"
DAMIMAS_A21B_0437,27,4,3,3,8,5,3,2,6,3,0,-1,-2,-2,6,3,12,6,5,"B3,B4"
DAMIMAS_A21B_0430,22,4,0,1,10,5,0,1,7,3,0,0,-3,-2,0,2,14,6,5,"B3,B4"
DAMIMAS_A21B_0813,23,8,1,0,6,3,2,0,9,2,1,0,3,-1,3,0,17,3,5,B3
DAMIMAS_A21B_0398,25,4,2,1,10,3,3,1,7,2,1,0,-3,-1,5,2,14,4,5,B3
DAMIMAS_A21B_0246,22,4,0,6,6,4,0,4,4,3,0,-2,-2,-1,0,8,8,6,5,"B2,B3"
DAMIMAS_A21B_0447,23,4,0,7,7,3,0,5,5,2,0,-2,-2,-1,0,10,9,4,5,"B2,B3"
DAMIMAS_A21B_0853,31,8,2,2,8,1,4,3,9,1,2,1,1,0,7,6,17,1,4,B1
DAMIMAS_A21B_0388,20,4,1,0,4,2,2,0,7,2,1,0,3,0,3,0,13,4,4,B3
DAMIMAS_A21B_0389,25,4,0,3,11,3,0,3,8,2,0,0,-3,-1,0,5,16,4,4,B3
DAMIMAS_A21B_0497,26,4,1,4,9,4,1,3,7,3,0,-1,-2,-1,2,5,13,6,4,B3
DAMIMAS_A21B_0849,19,8,1,1,4,1,3,2,5,1,2,1,1,0,5,4,9,1,4,B1
DAMIMAS_A21B_0221,25,4,2,4,7,4,2,3,5,3,0,-1,-2,-1,4,6,10,5,4,B3
DAMIMAS_A21B_0163,32,4,1,1,8,5,2,1,10,6,1,0,2,1,3,2,17,10,4,B3
DAMIMAS_A21B_0336,22,4,1,0,6,4,3,0,7,3,2,0,1,-1,5,0,12,5,4,B1
DAMIMAS_A21B_0450,25,4,1,1,7,7,2,1,5,6,1,0,-2,-1,3,1,10,11,4,B3
DAMIMAS_A21B_0361,24,4,1,1,6,5,2,1,7,3,1,0,1,-2,4,1,13,6,4,B4
DAMIMAS_A21B_0162,18,4,0,0,4,4,0,0,7,3,0,0,3,-1,0,0,12,6,4,B3
DAMIMAS_A21B_0237,20,4,1,2,3,1,2,3,5,1,1,1,2,0,3,6,9,2,4,B3
DAMIMAS_A21B_0440,23,4,0,4,8,4,0,3,6,3,0,-1,-2,-1,0,6,11,6,4,B3
DAMIMAS_A21B_0821,23,8,2,2,4,1,5,3,4,1,3,1,0,0,9,5,8,1,4,B1
