method,acc_all,mae_all,fail_all,acc_train,mae_train,fail_train,acc_val,mae_val,fail_val,acc_test,mae_test,fail_test,n_train,n_val,n_test
baseline_floor_clamped_hybrid,86.04,0.405,133,87.01,0.4149,79,81.46,0.4129,33,87.43,0.3608,21,608,178,167
iter1_baseline_hybrid_vis_corr,86.04,0.4077,133,87.01,0.4174,79,81.46,0.4143,33,87.43,0.3653,21,608,178,167
b1_concentration_trim,86.04,0.405,133,87.01,0.4149,79,81.46,0.4129,33,87.43,0.3608,21,608,178,167
b4_lift_d160,84.68,0.4331,146,85.86,0.4338,86,79.21,0.4817,37,86.23,0.3787,23,608,178,167
adaptive_b4_lift,82.69,0.4433,165,84.21,0.4428,96,77.53,0.4902,40,82.63,0.3952,29,608,178,167
b4_lift_d150,82.69,0.4433,165,84.21,0.4428,96,77.53,0.4902,40,82.63,0.3952,29,608,178,167
combined_corrections,82.69,0.4433,165,84.21,0.4428,96,77.53,0.4902,40,82.63,0.3952,29,608,178,167
b4_lift_d155,82.69,0.4433,165,84.21,0.4428,96,77.53,0.4902,40,82.63,0.3952,29,608,178,167
b4_lift_d145,75.55,0.4934,233,77.8,0.4938,135,67.98,0.5407,57,75.45,0.4416,41,608,178,167
b4_lift_d140,74.61,0.4987,242,77.14,0.4971,139,66.29,0.552,60,74.25,0.4476,43,608,178,167
b4_lift_d135,71.77,0.5126,269,75.33,0.509,150,60.67,0.5716,70,70.66,0.4626,49,608,178,167
