method,acc_all,mae_all,acc_train,acc_val,acc_test,d_train,d_val,d_test,worst_drop,n_up,passes
iter4_geometric_mean_blend,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
arith_geo_mix,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
geo_with_naive_ceiling,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
b1_tight_geo,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
b1_tight_dense_geo,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
geo_weighted_w50,86.15,0.3961,87.17,81.46,87.43,0.0,0.0,0.0,0.0,0,False
geo_weighted_w55,86.04,0.399,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_weighted_w70,86.04,0.4024,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_3way,86.04,0.4042,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_3way_floor_ceil,86.04,0.4042,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_weighted_w60,86.04,0.4042,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_weighted_w65,86.04,0.4042,87.01,81.46,87.43,-0.16,0.0,0.0,-0.16,0,False
geo_weighted_w40,83.21,0.4376,83.39,80.9,85.03,-3.78,-0.56,-2.4,-3.78,0,False
geo_weighted_w45,83.0,0.4376,83.06,80.9,85.03,-4.11,-0.56,-2.4,-4.11,0,False
