tree_id,split,n_dets,pass_geometric_mean_blend,pass_floor_clamped_hybrid,pass_visibility,pass_side_coverage,pass_adaptive_corrected,pass_median3_floor,pass_density_scaled_vis,n_methods_pass,any_pass,all_pass
DAMIMAS_A21B_0034,train,16,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0073,test,17,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0147,val,26,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0163,val,32,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0170,val,26,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0221,test,25,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0246,test,22,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0258,train,17,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0268,train,28,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0278,val,20,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0281,train,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0293,train,18,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0320,train,24,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0348,test,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0358,train,28,0,0,1,1,0,1,1,4,1,0
DAMIMAS_A21B_0395,train,21,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0396,train,25,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0437,train,27,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0438,val,27,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0442,test,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0449,test,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0450,train,25,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0471,val,26,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0472,val,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0494,train,25,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0497,test,26,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0523,train,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0524,train,22,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0624,train,23,0,0,0,0,1,0,0,1,1,0
DAMIMAS_A21B_0656,train,25,0,0,0,0,1,0,0,1,1,0
LONSUM_A21A_0003,val,15,0,0,0,0,1,0,0,1,1,0
LONSUM_A21A_0059,train,18,0,0,0,0,1,0,0,1,1,0
LONSUM_A21A_0099,test,15,0,0,0,0,1,0,0,1,1,0
