rule,all,train,val,test,d_all,d_train,d_val,d_test,worst_drop,n_up,passes
R_B1ge3_AND_B3frac_lt45,86.46,87.17,82.02,88.62,0.31,0.0,0.56,1.19,0.0,2,True
R_B3frac_lt_45,86.46,86.68,82.02,90.42,0.31,-0.49,0.56,2.99,-0.49,2,False
R_B3frac_lt_50,86.36,86.51,82.02,90.42,0.21,-0.66,0.56,2.99,-0.66,2,False
R_B1ge4_AND_actB4ge4,85.83,86.51,80.9,88.62,-0.32,-0.66,-0.56,1.19,-0.66,1,False
R_naiveB1_ge_5,85.83,86.51,82.02,87.43,-0.32,-0.66,0.56,0.0,-0.66,1,False
R_B1ge3_AND_actB4ge4,85.73,86.51,80.9,88.02,-0.42,-0.66,-0.56,0.59,-0.66,1,False
R_B1ge4_AND_actB4ge3,85.62,86.35,81.46,87.43,-0.53,-0.82,0.0,0.0,-0.82,0,False
R_naiveB1_ge_4,85.62,86.18,82.02,87.43,-0.53,-0.99,0.56,0.0,-0.99,1,False
R_B1ge3_AND_actB4ge3,85.52,86.35,81.46,86.83,-0.63,-0.82,0.0,-0.6,-0.82,0,False
R_naivetotal_ge_30,85.52,86.35,81.46,86.83,-0.63,-0.82,0.0,-0.6,-0.82,0,False
R_naiveB1_ge_3,85.2,86.02,82.02,85.63,-0.95,-1.15,0.56,-1.8,-1.8,1,False
R_naivetotal_ge_28,84.78,85.36,81.46,86.23,-1.37,-1.81,0.0,-1.2,-1.81,0,False
R_activeB4_ge_3,84.16,84.54,79.78,87.43,-1.99,-2.63,-1.68,0.0,-2.63,0,False
R_naivetotal_ge_24,83.95,84.87,78.65,86.23,-2.2,-2.3,-2.81,-1.2,-2.81,0,False
R_naivetotal_ge_26,83.84,84.38,79.78,86.23,-2.31,-2.79,-1.68,-1.2,-2.79,0,False
R_B3frac_gt_35,82.69,83.22,79.78,83.83,-3.46,-3.95,-1.68,-3.6,-3.95,0,False
R_B3frac_gt_30,82.58,82.89,79.78,84.43,-3.57,-4.28,-1.68,-3.0,-4.28,0,False
R_B3frac_gt_40,82.27,83.22,78.65,82.63,-3.88,-3.95,-2.81,-4.8,-4.8,0,False
R_B3frac_gt_45,82.27,83.39,78.65,82.04,-3.88,-3.78,-2.81,-5.39,-5.39,0,False
R_naiveB3_ge_10,82.27,83.06,78.65,83.23,-3.88,-4.11,-2.81,-4.2,-4.2,0,False
R_naiveB3_ge_12,82.27,83.39,78.09,82.63,-3.88,-3.78,-3.37,-4.8,-4.8,0,False
R_naiveB3_ge_8,82.16,82.4,79.21,84.43,-3.99,-4.77,-2.25,-3.0,-4.77,0,False
