tree_id,split,n_dets,naive_total,naive_B1,naive_B2,naive_B3,naive_B4,active_B1,active_B2,active_B3,active_B4,max_B3,ratio_B3_total,ratio_B4_total,ratio_B1_total,pass_selector_iter7,pass_geometric_mean_blend,pass_visibility,pass_side_coverage,pass_median3_floor,pass_density_scaled_vis
DAMIMAS_A21B_0001,train,17,17,2,5,10,0,2,4,4,0,3,0.5882352941176471,0.0,0.11764705882352941,1,1,1,1,1,1
DAMIMAS_A21B_0002,train,25,25,4,0,11,10,4,0,4,4,4,0.44,0.4,0.16,0,1,1,1,1,1
DAMIMAS_A21B_0003,train,20,20,2,5,11,2,2,4,4,2,3,0.55,0.1,0.1,1,1,1,1,1,1
DAMIMAS_A21B_0004,train,15,15,0,0,15,0,0,0,4,0,4,1.0,0.0,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0005,test,16,16,2,6,6,2,2,4,4,2,2,0.375,0.125,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0006,train,16,16,2,0,8,6,2,0,4,4,2,0.5,0.375,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0007,train,30,30,6,4,15,5,4,3,4,4,5,0.5,0.16666666666666666,0.2,1,1,1,1,1,1
DAMIMAS_A21B_0008,train,18,18,4,6,8,0,3,3,4,0,2,0.4444444444444444,0.0,0.2222222222222222,1,1,1,1,1,1
DAMIMAS_A21B_0009,train,10,10,0,0,6,4,0,0,4,4,2,0.6,0.4,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0010,train,22,22,0,5,11,6,0,4,4,4,3,0.5,0.2727272727272727,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0011,train,14,14,2,1,10,1,2,1,4,1,4,0.7142857142857143,0.07142857142857142,0.14285714285714285,1,1,1,1,1,1
DAMIMAS_A21B_0012,test,16,16,3,2,7,4,3,2,4,3,2,0.4375,0.25,0.1875,1,1,1,1,1,1
DAMIMAS_A21B_0013,val,17,17,0,2,8,7,0,2,4,4,3,0.47058823529411764,0.4117647058823529,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0014,test,18,18,2,2,8,6,2,2,4,3,3,0.4444444444444444,0.3333333333333333,0.1111111111111111,1,1,1,1,1,1
DAMIMAS_A21B_0015,test,26,26,3,2,14,7,3,2,4,4,4,0.5384615384615384,0.2692307692307692,0.11538461538461539,1,1,1,1,1,1
DAMIMAS_A21B_0016,train,8,8,1,0,7,0,1,0,4,0,3,0.875,0.0,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0017,train,17,17,0,2,6,9,0,2,4,4,2,0.35294117647058826,0.5294117647058824,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0018,train,11,11,2,0,7,2,2,0,4,2,2,0.6363636363636364,0.18181818181818182,0.18181818181818182,1,1,1,1,1,1
DAMIMAS_A21B_0019,train,25,25,4,0,15,6,3,0,4,4,4,0.6,0.24,0.16,1,1,1,1,1,1
DAMIMAS_A21B_0020,train,16,16,2,2,7,5,2,2,4,4,2,0.4375,0.3125,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0021,test,21,21,6,0,9,6,4,0,4,4,3,0.42857142857142855,0.2857142857142857,0.2857142857142857,1,1,1,1,1,1
DAMIMAS_A21B_0022,test,16,16,0,2,10,4,0,2,4,3,4,0.625,0.25,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0023,train,16,16,2,6,8,0,2,4,4,0,3,0.5,0.0,0.125,1,1,1,1,1,1
DAMIMAS_A21B_0024,train,20,20,3,0,11,6,3,0,4,4,4,0.55,0.3,0.15,1,1,1,1,1,1
DAMIMAS_A21B_0025,train,12,12,3,2,7,0,3,2,4,0,2,0.5833333333333334,0.0,0.25,1,1,1,1,1,1
DAMIMAS_A21B_0026,val,13,13,0,2,8,3,0,2,4,3,3,0.6153846153846154,0.23076923076923078,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0027,train,21,21,7,0,11,3,4,0,4,2,3,0.5238095238095238,0.14285714285714285,0.3333333333333333,1,1,1,1,1,1
DAMIMAS_A21B_0028,val,21,21,0,1,11,9,0,1,4,4,4,0.5238095238095238,0.42857142857142855,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0029,train,23,23,2,6,10,5,2,4,4,4,3,0.43478260869565216,0.21739130434782608,0.08695652173913043,1,1,1,1,1,1
DAMIMAS_A21B_0030,train,13,13,0,0,9,4,0,0,4,3,3,0.6923076923076923,0.3076923076923077,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0031,train,13,13,0,2,8,3,0,2,3,2,3,0.6153846153846154,0.23076923076923078,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0032,train,22,22,4,2,10,6,4,2,4,4,3,0.45454545454545453,0.2727272727272727,0.18181818181818182,1,1,1,1,1,1
DAMIMAS_A21B_0033,train,18,18,0,0,16,2,0,0,4,2,4,0.8888888888888888,0.1111111111111111,0.0,1,1,1,1,1,1
DAMIMAS_A21B_0034,train,16,16,0,2,6,8,0,2,4,4,2,0.375,0.5,0.0,0,0,0,0,0,0
DAMIMAS_A21B_0035,train,13,13,0,9,4,0,0,4,2,0,2,0.3076923076923077,0.0,0.0,0,0,0,0,0,0
