method,acc_all,mae_all,acc_train,acc_val,acc_test,mae_train,mae_val,mae_test,d_all,d_train,d_val,d_test,worst_drop,passes
iter8_b4cap_10,86.57,0.4042,87.34,82.02,88.62,0.4145,0.427,0.3428,0.11,0.17,0.0,0.0,0.0,True
iter8_b4cap_12,86.57,0.4048,87.34,82.02,88.62,0.4149,0.427,0.3443,0.11,0.17,0.0,0.0,0.0,True
iter8_b4cap_7,86.57,0.3982,87.34,82.58,88.02,0.4062,0.4228,0.3428,0.11,0.17,0.56,-0.6,-0.6,False
iter8_b4cap_9,86.57,0.4016,87.5,82.02,88.02,0.4108,0.4256,0.3428,0.11,0.33,0.0,-0.6,-0.6,False
iter8_b4rcap_25,86.57,0.4001,87.34,82.58,88.02,0.4087,0.4213,0.3458,0.11,0.17,0.56,-0.6,-0.6,False
iter7_baseline,86.46,0.4045,87.17,82.02,88.62,0.4145,0.427,0.3443,0.0,0.0,0.0,0.0,0.0,False
iter8_b4cap_5,86.46,0.4003,87.34,82.58,87.43,0.4071,0.4199,0.3548,0.0,0.17,0.56,-1.19,-1.19,False
iter8_b4cap_6,86.46,0.3995,87.17,82.58,88.02,0.4067,0.4213,0.3503,0.0,0.0,0.56,-0.6,-0.6,False
iter8_b4cap_8,86.46,0.3998,87.34,82.02,88.02,0.4079,0.427,0.3413,0.0,0.17,0.0,-0.6,-0.6,False
iter8_b4rcap_18,86.46,0.3995,87.34,82.58,87.43,0.4058,0.4199,0.3548,0.0,0.17,0.56,-1.19,-1.19,False
iter8_b4rcap_22,86.46,0.4003,87.17,82.58,88.02,0.4091,0.4213,0.3458,0.0,0.0,0.56,-0.6,-0.6,False
iter8_b4rcap_20,86.36,0.4019,87.17,82.58,87.43,0.4095,0.4199,0.3548,-0.1,0.0,0.56,-1.19,-1.19,False
iter8_b4rcap_28,86.36,0.4019,87.17,82.02,88.02,0.4104,0.4256,0.3458,-0.1,0.0,0.0,-0.6,-0.6,False
