tree_id,split,n_dets,naive_total,naive_B1,naive_B2,naive_B3,naive_B4,active_B1,active_B2,active_B3,active_B4,max_B3,ratio_B3_total,ratio_B4_total,ratio_B1_total,pass_selector_iter7,pass_geometric_mean_blend,pass_visibility,pass_side_coverage,pass_median3_floor,pass_density_scaled_vis,any_peer_pass
DAMIMAS_A21B_0002,train,25,25,4,0,11,10,4,0,4,4,4,0.44,0.4,0.16,0,1,1,1,1,1,1
DAMIMAS_A21B_0147,val,26,26,0,4,18,4,0,4,4,4,5,0.6923076923076923,0.15384615384615385,0.0,0,0,1,1,1,1,1
DAMIMAS_A21B_0163,val,32,32,3,2,17,10,3,2,4,4,5,0.53125,0.3125,0.09375,0,0,1,1,1,1,1
DAMIMAS_A21B_0170,val,26,26,2,2,10,12,2,2,4,4,3,0.38461538461538464,0.46153846153846156,0.07692307692307693,0,0,1,1,1,1,1
DAMIMAS_A21B_0358,train,28,28,2,0,20,6,2,0,4,3,6,0.7142857142857143,0.21428571428571427,0.07142857142857142,0,0,1,1,1,1,1
DAMIMAS_A21B_0360,train,30,30,6,6,8,10,4,4,4,4,3,0.26666666666666666,0.3333333333333333,0.2,0,1,1,1,1,1,1
DAMIMAS_A21B_0486,train,22,22,3,3,7,9,3,3,4,4,2,0.3181818181818182,0.4090909090909091,0.13636363636363635,0,1,1,1,1,1,1
DAMIMAS_A21B_0503,train,27,27,3,10,9,5,3,4,4,4,3,0.3333333333333333,0.18518518518518517,0.1111111111111111,0,1,1,1,1,1,1
DAMIMAS_A21B_0506,train,33,33,7,4,8,14,4,3,4,4,2,0.24242424242424243,0.42424242424242425,0.21212121212121213,0,1,1,1,1,1,1
DAMIMAS_A21B_0531,train,27,27,4,9,11,3,3,4,4,3,3,0.4074074074074074,0.1111111111111111,0.14814814814814814,0,1,1,1,1,1,1
DAMIMAS_A21B_0539,train,28,28,7,6,11,4,4,4,4,4,3,0.39285714285714285,0.14285714285714285,0.25,0,1,1,1,1,1,1
DAMIMAS_A21B_0550,val,26,26,4,10,5,7,4,4,4,4,2,0.19230769230769232,0.2692307692307692,0.15384615384615385,0,1,1,1,1,1,1
DAMIMAS_A21B_0723,train,36,36,4,9,14,9,3,4,4,4,4,0.3888888888888889,0.25,0.1111111111111111,0,1,1,1,1,1,1
