cut,n_train,n_val,m31_train,m31_val,best_method,best_acc_train,best_acc_val,gain_train,gain_val,combined_gain
"ns=4 b3frac(0.75,0.90] n_total(16,25]",23,6,69.56521739130434,100.0,M33,86.95652173913044,100.0,17.391304347826093,0.0,17.391304347826093
"ns=4 b3frac(0.45,0.60] n_total(0,16]",35,10,100.0,90.0,M33,100.0,100.0,0.0,10.0,10.0
"ns=4 b3frac(0.30,0.45] n_total(16,25]",67,20,91.04477611940298,85.0,M16,92.53731343283582,90.0,1.492537313432834,5.0,6.492537313432834
"ns=4 b3frac(0.45,0.60]",143,54,93.00699300699301,85.18518518518519,M33,93.7062937062937,90.74074074074075,0.6993006993006929,5.555555555555557,6.25485625485625
"ns=4 b4frac(0.30,0.50]",68,32,92.64705882352942,78.125,M33,92.64705882352942,84.375,0.0,6.25,6.25
"ns=4 b3frac(0.75,0.90]",56,12,85.71428571428571,91.66666666666666,M33,89.28571428571429,91.66666666666666,3.5714285714285836,0.0,3.5714285714285836
"ns=4 b3frac(0.30,0.45] n_total(0,16]",29,9,89.65517241379311,100.0,M19,93.10344827586206,100.0,3.4482758620689538,0.0,3.4482758620689538
"ns=4 b3frac(0.30,0.45] n_total(25,999]",31,7,87.09677419354838,85.71428571428571,M07,90.32258064516128,85.71428571428571,3.225806451612897,0.0,3.225806451612897
"ns=4 b3frac(0.30,0.45]",127,36,89.76377952755905,88.88888888888889,M16,92.1259842519685,88.88888888888889,2.3622047244094517,0.0,2.3622047244094517
"ns=4 b4frac(0.05,0.15]",117,30,93.16239316239316,96.66666666666667,M03,94.87179487179486,96.66666666666667,1.7094017094017033,0.0,1.7094017094017033
"ns=4 b3frac(0.45,0.60] n_total(16,25]",95,37,89.47368421052632,89.1891891891892,M33,90.52631578947368,89.1891891891892,1.05263157894737,0.0,1.05263157894737
