n_sides,class,naive_bucket,median,mean,count
1,B3,0,1.0,1.0,2
1,B4,0,1.0,1.0,1
2,B1,0,1.0,1.0,1
2,B2,0,2.0,2.0,2
2,B3,0,1.0,1.25,4
2,B4,0,1.0,1.0,3
3,B1,0,3.0,3.0,1
3,B2,0,1.5,1.7,5
3,B2,1,2.0,2.0,1
3,B3,0,1.5,1.8333333333333333,6
3,B3,1,1.6666666666666667,1.777777777777778,3
3,B3,2,1.380952380952381,1.380952380952381,2
3,B4,0,2.0,2.0,1
3,B4,1,1.4166666666666665,1.4166666666666665,2
4,B1,0,2.0,2.0612903225806454,155
4,B1,1,2.0,2.1810154525386314,151
4,B1,2,2.166666666666667,2.1538461538461537,26
4,B1,3,1.8333333333333333,1.8333333333333333,1
4,B2,0,2.0,1.826219512195122,164
4,B2,1,2.0,1.977880658436214,162
4,B2,2,1.8,1.8828397212543553,82
4,B2,3,1.8333333333333333,1.8881868131868131,13
4,B3,0,1.5,1.5476190476190477,21
4,B3,1,2.0,1.871875,96
4,B3,2,1.8,1.8706830206830207,198
4,B3,3,1.8571428571428572,1.897180934030645,173
4,B3,4,2.0,2.0054581277308547,55
4,B3,5,1.75,1.75,1
4,B4,0,1.5,1.5441988950276244,181
4,B4,1,1.6666666666666667,1.6836190476190476,175
4,B4,2,1.75,1.7744350282485875,59
4,B4,3,1.5982142857142856,1.7001984126984127,12
4,B4,4,1.6,1.6,1
8,B1,0,3.0,3.0,1
8,B1,1,5.0,4.1875,8
8,B1,2,4.0,3.857142857142857,7
8,B1,3,4.333333333333333,4.333333333333333,1
8,B2,0,2.0,2.3333333333333335,3
8,B2,1,4.0,4.333333333333333,3
8,B2,2,4.5,4.0,8
8,B2,3,3.75,4.333333333333333,3
8,B2,4,3.6666666666666665,3.695238095238095,5
8,B3,2,2.375,2.375,2
8,B3,3,2.875,2.9583333333333335,6
8,B3,4,3.6,3.375963718820862,7
8,B3,5,3.826388888888889,3.4750450937950936,8
8,B4,0,1.0,1.4166666666666667,6
8,B4,1,1.5,1.5,3
8,B4,2,3.0,3.05,5
8,B4,4,3.0,3.0,1
