tree_id,split,n_dets,n_sides_observed,naive_B1,gt_B1,maxside_B1,naive_B2,gt_B2,maxside_B2,naive_B3,gt_B3,maxside_B3,naive_B4,gt_B4,maxside_B4,b3frac_naive,b4frac_naive,area_mean,area_p90,area_p10,M01_B1,M01_err_B1,M01_B2,M01_err_B2,M01_B3,M01_err_B3,M01_B4,M01_err_B4,M01_within1,M03_B1,M03_err_B1,M03_B2,M03_err_B2,M03_B3,M03_err_B3,M03_B4,M03_err_B4,M03_within1,M05_B1,M05_err_B1,M05_B2,M05_err_B2,M05_B3,M05_err_B3,M05_B4,M05_err_B4,M05_within1,M06_B1,M06_err_B1,M06_B2,M06_err_B2,M06_B3,M06_err_B3,M06_B4,M06_err_B4,M06_within1,M07_B1,M07_err_B1,M07_B2,M07_err_B2,M07_B3,M07_err_B3,M07_B4,M07_err_B4,M07_within1
DAMIMAS_A21B_0034,train,16,4,0,0,0,2,1,1,6,3,2,8,6,3,0.375,0.5,0.005247122265625,0.008331246224,0.00251953125,0,0,1,0,3,0,4,-2,False,0,0,1,0,3,0,4,-2,False,0,0,1,0,3,0,4,-2,False,0,0,1,0,3,0,4,-2,False,0,0,1,0,3,0,4,-2,False
DAMIMAS_A21B_0035,train,13,4,0,0,0,9,7,4,4,2,2,0,0,0,0.3076923076923077,0.0,0.006051231590538462,0.0107308105728,0.0032787952604,0,0,5,-2,2,0,0,0,False,0,0,5,-2,2,0,0,0,False,0,0,5,-2,2,0,0,0,False,0,0,5,-2,2,0,0,0,False,0,0,5,-2,2,0,0,0,False
DAMIMAS_A21B_0073,test,17,4,0,0,0,2,1,1,0,0,0,15,10,5,0.0,0.8823529411764706,0.00678647624082353,0.007871442916800002,0.0058224034896,0,0,1,0,0,0,8,-2,False,0,0,1,0,0,0,8,-2,False,0,0,1,0,0,0,8,-2,False,0,0,1,0,0,0,8,-2,False,0,0,1,0,0,0,8,-2,False
DAMIMAS_A21B_0133,train,21,4,0,0,0,0,0,0,17,7,5,4,2,2,0.8095238095238095,0.19047619047619047,0.014084722047761905,0.026544124080000002,0.006656813856,0,0,0,0,9,2,2,0,False,0,0,0,0,9,2,2,0,False,0,0,0,0,9,2,2,0,False,0,0,0,0,9,2,2,0,False,0,0,0,0,9,2,2,0,False
DAMIMAS_A21B_0139,train,20,4,0,0,0,4,2,2,13,5,5,3,1,1,0.65,0.15,0.006293655475349999,0.0105730201384,0.0029812113234,0,0,2,0,7,2,2,1,False,0,0,2,0,7,2,2,1,False,0,0,2,0,7,2,2,1,False,0,0,2,0,7,2,2,1,False,0,0,2,0,7,2,2,1,False
DAMIMAS_A21B_0141,train,22,4,0,0,0,0,0,0,17,7,5,5,2,2,0.7727272727272727,0.22727272727272727,0.009646845491727273,0.015380242637200002,0.0044887326552,0,0,0,0,9,2,3,1,False,0,0,0,0,9,2,3,1,False,0,0,0,0,9,2,3,1,False,0,0,0,0,9,2,3,1,False,0,0,0,0,9,2,3,1,False
DAMIMAS_A21B_0143,train,19,4,0,0,0,0,0,0,17,7,5,2,1,1,0.8947368421052632,0.10526315789473684,0.007919072889052631,0.010633416093999998,0.005608792756800001,0,0,0,0,9,2,1,0,False,0,0,0,0,9,2,1,0,False,0,0,0,0,9,2,1,0,False,0,0,0,0,9,2,1,0,False,0,0,0,0,9,2,1,0,False
DAMIMAS_A21B_0151,val,23,4,0,0,0,2,1,1,13,5,4,8,4,3,0.5652173913043478,0.34782608695652173,0.007311656090434783,0.01068566072,0.00442272794,0,0,1,0,7,2,4,0,False,0,0,1,0,7,2,4,0,False,0,0,1,0,7,2,4,0,False,0,0,1,0,7,2,4,0,False,0,0,1,0,7,2,4,0,False
DAMIMAS_A21B_0152,val,24,4,0,0,0,5,2,2,13,5,4,6,3,2,0.5416666666666666,0.25,0.007861207251791666,0.0101812584654,0.004536928973,0,0,3,1,7,2,3,0,False,0,0,3,1,7,2,3,0,False,0,0,3,1,7,2,3,0,False,0,0,3,1,7,2,3,0,False,0,0,3,1,7,2,3,0,False
DAMIMAS_A21B_0162,val,18,4,0,0,0,0,0,0,12,4,3,6,4,2,0.6666666666666666,0.3333333333333333,0.01162451509711111,0.019754123436699998,0.0046560417092000005,0,0,0,0,7,3,3,-1,False,0,0,0,0,7,3,3,-1,False,0,0,0,0,7,3,3,-1,False,0,0,0,0,7,3,3,-1,False,0,0,0,0,7,3,3,-1,False
