method,acc_within1_pct,exact_profile_acc_pct,macro_class_MAE,total_count_MAE,total_count_within1_pct,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,bias_B1,bias_B2,bias_B3,bias_B4,split,n
M53_three_band_override,92.7710843373494,26.506024096385545,0.2921686746987952,1.072289156626506,74.09638554216868,12,0.10240963855421686,0.21686746987951808,0.5843373493975904,0.26506024096385544,0.05421686746987952,-0.03614457831325301,0.030120481927710843,-0.024096385542168676,test,166
M31_side_aware_selector,91.56626506024097,27.710843373493976,0.29518072289156627,1.036144578313253,73.49397590361446,14,0.1144578313253012,0.21686746987951808,0.5662650602409639,0.28313253012048195,0.0783132530120482,-0.012048192771084338,0.0,-0.12650602409638553,test,166
M52_two_band_override,91.56626506024097,27.10843373493976,0.29518072289156627,1.072289156626506,74.69879518072288,14,0.10240963855421686,0.21686746987951808,0.5963855421686747,0.26506024096385544,0.05421686746987952,-0.04819277108433735,0.006024096385542169,-0.07228915662650602,test,166
M33_refined_divide,90.36144578313254,27.10843373493976,0.2936746987951807,1.0542168674698795,75.30120481927712,16,0.0783132530120482,0.22289156626506024,0.5843373493975904,0.2891566265060241,0.05421686746987952,-0.1144578313253012,-0.006024096385542169,0.0,test,166
M01_selector_b2b3,89.7590361445783,27.10843373493976,0.32680722891566266,1.1626506024096386,72.28915662650603,17,0.13253012048192772,0.2289156626506024,0.6626506024096386,0.28313253012048195,0.0963855421686747,0.024096385542168676,0.12048192771084337,-0.12650602409638553,test,166
M30_side_aware_divide,89.7590361445783,28.313253012048197,0.2996987951807229,1.0421686746987953,72.89156626506023,17,0.09036144578313253,0.2469879518072289,0.5783132530120482,0.28313253012048195,0.06626506024096386,-0.15060240963855423,-0.024096385542168676,0.018072289156626505,test,166
M05_blend_vis_divide,88.55421686746988,24.096385542168676,0.3569277108433735,1.2590361445783131,70.48192771084338,19,0.14457831325301204,0.2469879518072289,0.7048192771084337,0.3313253012048193,0.14457831325301204,0.006024096385542169,0.10240963855421686,-0.21084337349397592,test,166
M52_two_band_override,90.48414023372288,26.37729549248748,0.30258764607679467,1.020033388981636,76.29382303839732,57,0.11185308848080133,0.1986644407345576,0.5726210350584308,0.327212020033389,0.05843071786310518,0.03171953255425709,0.018363939899833055,-0.05342237061769616,train,599
M53_three_band_override,90.48414023372288,26.37729549248748,0.3013355592654424,1.015025041736227,76.46076794657763,57,0.11185308848080133,0.19699499165275458,0.5692821368948247,0.327212020033389,0.05843071786310518,0.0333889816360601,0.025041736227045076,-0.04674457429048414,train,599
M31_side_aware_selector,89.98330550918196,26.54424040066778,0.2984140233722872,1.01669449081803,76.96160267111853,60,0.11853088480801335,0.2020033388981636,0.5559265442404007,0.31719532554257096,0.07512520868113523,0.05843071786310518,0.008347245409015025,-0.09015025041736227,train,599
