n_sides,class,n,median_ratio,mean_ratio
1,B3,2,1.0,1.0
1,B4,1,1.0,1.0
2,B1,1,1.0,1.0
2,B2,2,2.0,2.0
2,B3,4,1.0,1.25
2,B4,3,1.0,1.0
3,B1,1,3.0,3.0
3,B2,6,1.75,1.75
3,B3,11,1.5,1.7359307359307359
3,B4,3,1.5,1.611111111111111
4,B1,333,2.0,2.1221221221221223
4,B2,421,2.0,1.8975200769143763
4,B3,544,1.8571428571428572,1.880253192477457
4,B4,428,1.6,1.6374471517578995
8,B1,17,4.0,3.990196078431373
8,B2,22,3.875,3.794372294372294
8,B3,23,3.142857142857143,3.2144394253089907
8,B4,15,1.75,2.0833333333333335
