method,split,n,acc_within1_pct,exact_profile_pct,macro_MAE
M01_selector_b2b3,test,166,89.7590361445783,27.10843373493976,0.32680722891566266
M01_selector_b2b3,train,599,88.14691151919867,26.37729549248748,0.3789649415692822
M01_selector_b2b3,unknown,12,25.0,0.0,1.7916666666666665
M01_selector_b2b3,val,176,83.52272727272727,27.27272727272727,0.37926136363636365
M05_blend_vis_divide,test,166,88.55421686746988,24.096385542168676,0.3569277108433735
M05_blend_vis_divide,train,599,87.81302170283807,25.041736227045075,0.3902337228714524
M05_blend_vis_divide,unknown,12,33.33333333333333,0.0,1.7708333333333335
M05_blend_vis_divide,val,176,82.38636363636364,28.97727272727273,0.3764204545454546
M30_side_aware_divide,test,166,89.7590361445783,28.313253012048197,0.2996987951807229
M30_side_aware_divide,train,599,87.81302170283807,24.707846410684475,0.31051752921535897
M30_side_aware_divide,unknown,12,58.333333333333336,16.666666666666664,0.5
M30_side_aware_divide,val,176,86.36363636363636,24.431818181818183,0.31107954545454547
M31_side_aware_selector,test,166,91.56626506024097,27.710843373493976,0.29518072289156627
M31_side_aware_selector,train,599,89.98330550918196,26.54424040066778,0.2984140233722872
M31_side_aware_selector,unknown,12,58.333333333333336,0.0,0.6041666666666667
M31_side_aware_selector,val,176,86.93181818181817,27.84090909090909,0.3025568181818182
M33_refined_divide,test,166,90.36144578313254,27.10843373493976,0.2936746987951807
M33_refined_divide,train,599,87.81302170283807,26.71118530884808,0.31093489148580966
M33_refined_divide,unknown,12,58.333333333333336,8.333333333333332,0.5208333333333333
M33_refined_divide,val,176,85.22727272727273,21.59090909090909,0.32954545454545453
M52_two_band_override,test,166,91.56626506024097,27.10843373493976,0.29518072289156627
M52_two_band_override,train,599,90.48414023372288,26.37729549248748,0.30258764607679467
M52_two_band_override,unknown,12,58.333333333333336,8.333333333333332,0.5416666666666666
M52_two_band_override,val,176,88.63636363636364,26.704545454545453,0.3025568181818182
M53_three_band_override,test,166,92.7710843373494,26.506024096385545,0.2921686746987952
M53_three_band_override,train,599,90.48414023372288,26.37729549248748,0.3013355592654424
M53_three_band_override,unknown,12,58.333333333333336,8.333333333333332,0.5416666666666666
M53_three_band_override,val,176,89.20454545454545,26.136363636363637,0.3053977272727273
