method,split,n,acc_within1_pct,exact_profile_pct,macro_MAE
M01,test,166,89.7590361445783,27.10843373493976,0.32680722891566266
M01,train,599,88.14691151919867,26.37729549248748,0.3789649415692822
M01,unknown,12,25.0,0.0,1.7916666666666665
M01,val,176,83.52272727272727,27.27272727272727,0.37926136363636365
M31_side_aware_selector,test,166,91.56626506024097,27.710843373493976,0.29518072289156627
M31_side_aware_selector,train,599,89.98330550918196,26.54424040066778,0.2984140233722872
M31_side_aware_selector,unknown,12,58.333333333333336,0.0,0.6041666666666667
M31_side_aware_selector,val,176,86.93181818181817,27.84090909090909,0.3025568181818182
M50_m31_with_m33_override,test,166,90.96385542168674,27.710843373493976,0.29518072289156627
M50_m31_with_m33_override,train,599,90.15025041736226,26.04340567612688,0.3021702838063439
M50_m31_with_m33_override,unknown,12,58.333333333333336,8.333333333333332,0.5416666666666666
M50_m31_with_m33_override,val,176,88.63636363636364,26.704545454545453,0.3053977272727273
