tree_id,split,n_dets,n_sides_observed,naive_B1,gt_B1,maxside_B1,naive_B2,gt_B2,maxside_B2,naive_B3,gt_B3,maxside_B3,naive_B4,gt_B4,maxside_B4,b3frac_naive,b4frac_naive,area_mean,area_p90,area_p10,M01_B1,M01_err_B1,M01_B2,M01_err_B2,M01_B3,M01_err_B3,M01_B4,M01_err_B4,M01_within1,M03_B1,M03_err_B1,M03_B2,M03_err_B2,M03_B3,M03_err_B3,M03_B4,M03_err_B4,M03_within1,M05_B1,M05_err_B1,M05_B2,M05_err_B2,M05_B3,M05_err_B3,M05_B4,M05_err_B4,M05_within1,M06_B1,M06_err_B1,M06_B2,M06_err_B2,M06_B3,M06_err_B3,M06_B4,M06_err_B4,M06_within1,M07_B1,M07_err_B1,M07_B2,M07_err_B2,M07_B3,M07_err_B3,M07_B4,M07_err_B4,M07_within1
DAMIMAS_A21B_0001,unknown,17,4,2,1,1,5,2,2,10,5,3,0,0,0,0.5882352941176471,0.0,0.009497407123176468,0.0143252409896,0.0049565370312000005,1,0,3,1,5,0,0,0,True,1,0,3,1,5,0,0,0,True,1,0,3,1,5,0,0,0,True,1,0,3,1,5,0,0,0,True,1,0,3,1,5,0,0,0,True
DAMIMAS_A21B_0002,train,25,4,4,1,1,0,0,0,11,7,4,10,4,4,0.44,0.4,0.006866103406240001,0.013477546562400003,0.0023505896874,2,1,0,0,6,-1,5,1,True,2,1,0,0,6,-1,5,1,True,2,1,0,0,6,-1,5,1,True,2,1,0,0,6,-1,5,1,True,2,1,0,0,6,-1,5,1,True
DAMIMAS_A21B_0003,train,20,4,2,1,1,5,2,2,11,5,3,2,1,1,0.55,0.1,0.010598881966150001,0.0167807354948,0.0032768671874999996,1,0,3,1,6,1,1,0,True,1,0,3,1,6,1,1,0,True,1,0,3,1,6,1,1,0,True,1,0,3,1,6,1,1,0,True,1,0,3,1,6,1,1,0,True
DAMIMAS_A21B_0004,train,15,4,0,0,0,0,0,0,15,8,4,0,0,0,1.0,0.0,0.009427153368066666,0.0124967907292,0.006269552656200001,0,0,0,0,8,0,0,0,True,0,0,0,0,8,0,0,0,True,0,0,0,0,8,0,0,0,True,0,0,0,0,8,0,0,0,True,0,0,0,0,8,0,0,0,True
DAMIMAS_A21B_0005,test,16,4,2,1,1,6,3,2,6,3,2,2,2,1,0.375,0.125,0.0087060529459375,0.0151729346355,0.003415561198,1,0,3,0,3,0,1,-1,True,1,0,3,0,3,0,1,-1,True,1,0,3,0,3,0,1,-1,True,1,0,3,0,3,0,1,-1,True,1,0,3,0,3,0,1,-1,True
DAMIMAS_A21B_0006,train,16,4,2,1,1,0,0,0,8,5,2,6,3,2,0.5,0.375,0.0088249281575625,0.013268161197999999,0.0049137736979999996,1,0,0,0,4,-1,3,0,True,1,0,0,0,4,-1,3,0,True,1,0,0,0,4,-1,3,0,True,1,0,0,0,4,-1,3,0,True,1,0,0,0,4,-1,3,0,True
DAMIMAS_A21B_0007,train,30,4,6,3,2,4,3,2,15,9,5,5,3,2,0.5,0.16666666666666666,0.008966110746533333,0.014409791875000001,0.0035705415624999997,3,0,2,-1,8,-1,3,0,True,3,0,2,-1,8,-1,3,0,True,3,0,2,-1,8,-1,3,0,True,3,0,2,-1,8,-1,3,0,True,3,0,2,-1,8,-1,3,0,True
DAMIMAS_A21B_0008,train,18,4,4,2,2,6,3,3,8,4,2,0,0,0,0.4444444444444444,0.0,0.008307420312444443,0.012195640677000002,0.0048162261978,2,0,3,0,4,0,0,0,True,2,0,3,0,4,0,0,0,True,2,0,3,0,4,0,0,0,True,2,0,3,0,4,0,0,0,True,2,0,3,0,4,0,0,0,True
DAMIMAS_A21B_0009,train,10,4,0,0,0,0,0,0,6,3,2,4,3,1,0.6,0.4,0.0054417997917,0.008581052187499999,0.0018164103645000001,0,0,0,0,3,0,2,-1,True,0,0,0,0,3,0,2,-1,True,0,0,0,0,3,0,2,-1,True,0,0,0,0,3,0,2,-1,True,0,0,0,0,3,0,2,-1,True
DAMIMAS_A21B_0010,train,22,4,0,0,0,5,2,2,11,6,3,6,3,2,0.5,0.2727272727272727,0.006006112286954545,0.011215544062500006,0.0021549363021,0,0,3,1,6,0,3,0,True,0,0,3,1,6,0,3,0,True,0,0,3,1,6,0,3,0,True,0,0,3,1,6,0,3,0,True,0,0,3,1,6,0,3,0,True
DAMIMAS_A21B_0011,train,14,4,2,1,1,1,1,1,10,4,4,1,1,1,0.7142857142857143,0.07142857142857142,0.005228735435285715,0.007964675625,0.0030322157031,1,0,1,0,5,1,1,0,True,1,0,1,0,5,1,1,0,True,1,0,1,0,5,1,1,0,True,1,0,1,0,5,1,1,0,True,1,0,1,0,5,1,1,0,True
