tree_id,split,n_dets,n_sides,b3frac,naive_B1,naive_B2,naive_B3,naive_B4,gt_B1,gt_B2,gt_B3,gt_B4,M31_B1,M31_B2,M31_B3,M31_B4,M31_err_B1,M31_err_B2,M31_err_B3,M31_err_B4,M31_within1,M30_sa_within1,M30_sa_B1,M30_sa_B2,M30_sa_B3,M30_sa_B4,vis_within1,vis_B1,vis_B2,vis_B3,vis_B4,sid_within1,sid_B1,sid_B2,sid_B3,sid_B4,gmb_within1,gmb_B1,gmb_B2,gmb_B3,gmb_B4,med_within1,med_B1,med_B2,med_B3,med_B4,adp_within1,adp_B1,adp_B2,adp_B3,adp_B4
DAMIMAS_A21B_0001,unknown,17,4,0.5882352941176471,2,5,10,0,1,2,5,0,1,3,5,0,0,1,0,0,True,True,1,2,5,0,True,1,3,5,0,True,1,3,5,0,True,1,3,5,0,True,1,3,5,0,True,1,3,6,0
DAMIMAS_A21B_0002,train,25,4,0.44,4,0,11,10,1,0,7,4,2,0,6,5,1,0,-1,1,True,False,2,0,6,6,True,2,0,6,5,True,2,0,6,5,True,2,0,6,5,True,2,0,6,5,False,2,0,6,6
DAMIMAS_A21B_0003,train,20,4,0.55,2,5,11,2,1,2,5,1,1,3,6,1,0,1,1,0,True,True,1,2,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1,True,1,3,6,1
DAMIMAS_A21B_0004,train,15,4,1.0,0,0,15,0,0,0,8,0,0,0,8,0,0,0,0,0,True,True,0,0,8,0,True,0,0,8,0,True,0,0,8,0,True,0,0,8,0,True,0,0,8,0,True,0,0,8,0
DAMIMAS_A21B_0005,test,16,4,0.375,2,6,6,2,1,3,3,2,1,3,3,1,0,0,0,-1,True,True,1,3,3,1,True,1,3,3,1,True,1,3,3,1,True,1,3,3,1,True,1,3,3,1,True,1,3,3,1
DAMIMAS_A21B_0006,train,16,4,0.5,2,0,8,6,1,0,5,3,1,0,4,3,0,0,-1,0,True,True,1,0,4,4,True,1,0,4,3,True,1,0,4,3,True,1,0,4,3,True,1,0,4,3,True,1,0,4,4
DAMIMAS_A21B_0007,train,30,4,0.5,6,4,15,5,3,3,9,3,3,2,8,3,0,-1,-1,0,True,True,3,2,8,3,True,3,2,8,3,True,3,2,8,3,True,3,2,8,3,True,3,2,8,3,True,3,2,9,3
DAMIMAS_A21B_0008,train,18,4,0.4444444444444444,4,6,8,0,2,3,4,0,2,3,4,0,0,0,0,0,True,True,2,3,4,0,True,2,3,4,0,True,2,3,4,0,True,2,3,4,0,True,2,3,4,0,True,2,3,4,0
DAMIMAS_A21B_0009,train,10,4,0.6,0,0,6,4,0,0,3,3,0,0,3,2,0,0,0,-1,True,True,0,0,3,2,True,0,0,3,2,True,0,0,3,2,True,0,0,3,2,True,0,0,3,2,True,0,0,3,2
DAMIMAS_A21B_0010,train,22,4,0.5,0,5,11,6,0,2,6,3,0,3,6,3,0,1,0,0,True,True,0,2,6,4,True,0,3,6,3,True,0,3,6,3,True,0,3,6,3,True,0,3,6,3,True,0,3,6,4
DAMIMAS_A21B_0011,train,14,4,0.7142857142857143,2,1,10,1,1,1,4,1,1,1,5,1,0,0,1,0,True,True,1,1,5,1,True,1,1,5,1,True,1,1,5,1,True,1,1,5,1,True,1,1,5,1,True,1,1,5,1
