tree_id,split,n_dets,n_sides,b3frac,naive_B1,naive_B2,naive_B3,naive_B4,gt_B1,gt_B2,gt_B3,gt_B4,M31_B1,M31_B2,M31_B3,M31_B4,M31_err_B1,M31_err_B2,M31_err_B3,M31_err_B4,M31_within1,M30_sa_within1,M30_sa_B1,M30_sa_B2,M30_sa_B3,M30_sa_B4,vis_within1,vis_B1,vis_B2,vis_B3,vis_B4,sid_within1,sid_B1,sid_B2,sid_B3,sid_B4,gmb_within1,gmb_B1,gmb_B2,gmb_B3,gmb_B4,med_within1,med_B1,med_B2,med_B3,med_B4,adp_within1,adp_B1,adp_B2,adp_B3,adp_B4
DAMIMAS_A21B_0034,train,16,4,0.375,0,2,6,8,0,1,3,6,0,1,3,4,0,0,0,-2,False,True,0,1,3,5,False,0,1,3,4,False,0,1,3,4,False,0,1,3,4,False,0,1,3,4,True,0,1,3,5
DAMIMAS_A21B_0035,train,13,4,0.3076923076923077,0,9,4,0,0,7,2,0,0,5,2,0,0,-2,0,0,False,False,0,4,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0,False,0,5,2,0
DAMIMAS_A21B_0073,test,17,4,0.0,0,2,0,15,0,1,0,10,0,1,0,8,0,0,0,-2,False,True,0,1,0,9,False,0,1,0,8,False,0,1,0,8,False,0,1,0,8,False,0,1,0,8,True,0,1,0,9
DAMIMAS_A21B_0133,train,21,4,0.8095238095238095,0,0,17,4,0,0,7,2,0,0,9,2,0,0,2,0,False,False,0,0,9,2,False,0,0,9,2,False,0,0,9,2,False,0,0,9,2,False,0,0,9,2,False,0,0,10,2
DAMIMAS_A21B_0139,train,20,4,0.65,0,4,13,3,0,2,5,1,0,2,7,2,0,0,2,1,False,False,0,2,7,2,False,0,2,7,2,False,0,2,7,2,False,0,2,7,2,False,0,2,7,2,False,0,2,7,2
DAMIMAS_A21B_0141,train,22,4,0.7727272727272727,0,0,17,5,0,0,7,2,0,0,9,3,0,0,2,1,False,False,0,0,9,3,False,0,0,9,3,False,0,0,9,3,False,0,0,9,3,False,0,0,9,3,False,0,0,10,3
DAMIMAS_A21B_0143,train,19,4,0.8947368421052632,0,0,17,2,0,0,7,1,0,0,9,1,0,0,2,0,False,False,0,0,9,1,False,0,0,9,1,False,0,0,9,1,False,0,0,9,1,False,0,0,9,1,False,0,0,10,1
DAMIMAS_A21B_0151,val,23,4,0.5652173913043478,0,2,13,8,0,1,5,4,0,1,7,4,0,0,2,0,False,False,0,1,7,5,False,0,1,7,4,False,0,1,7,4,False,0,1,7,4,False,0,1,7,4,False,0,1,8,5
DAMIMAS_A21B_0152,val,24,4,0.5416666666666666,0,5,13,6,0,2,5,3,0,3,7,3,0,1,2,0,False,False,0,2,7,4,False,0,3,7,3,False,0,3,7,3,False,0,3,7,3,False,0,3,7,3,False,0,3,8,4
DAMIMAS_A21B_0162,val,18,4,0.6666666666666666,0,0,12,6,0,0,4,4,0,0,7,3,0,0,3,-1,False,False,0,0,6,4,False,0,0,7,3,False,0,0,7,3,False,0,0,7,3,False,0,0,7,3,False,0,0,7,4
DAMIMAS_A21B_0163,val,32,4,0.53125,3,2,17,10,1,1,8,5,2,1,10,6,1,0,2,1,False,True,2,1,9,6,True,2,1,9,5,True,2,1,9,5,False,2,1,10,6,True,2,1,9,5,False,2,1,11,7
DAMIMAS_A21B_0170,val,26,4,0.38461538461538464,2,2,10,12,1,1,6,5,1,1,5,7,0,0,-1,2,False,False,1,1,5,8,True,1,1,5,6,True,1,1,5,6,False,1,1,5,7,True,1,1,5,6,False,1,1,6,8
DAMIMAS_A21B_0175,val,23,4,0.6521739130434783,2,6,15,0,1,3,6,0,1,3,8,0,0,0,2,0,False,False,1,3,8,0,False,1,3,8,0,False,1,3,8,0,False,1,3,8,0,False,1,3,8,0,False,1,3,9,0
