tree_id,n_sides,n_total,class,naive,gt,ratio,class_frac
DAMIMAS_A21B_0002,4,25,B1,4,1,4.0,0.16
DAMIMAS_A21B_0002,4,25,B3,11,7,1.5714285714285714,0.44
DAMIMAS_A21B_0002,4,25,B4,10,4,2.5,0.4
DAMIMAS_A21B_0003,4,20,B1,2,1,2.0,0.1
DAMIMAS_A21B_0003,4,20,B2,5,2,2.5,0.25
DAMIMAS_A21B_0003,4,20,B3,11,5,2.2,0.55
DAMIMAS_A21B_0003,4,20,B4,2,1,2.0,0.1
DAMIMAS_A21B_0004,4,15,B3,15,8,1.875,1.0
DAMIMAS_A21B_0006,4,16,B1,2,1,2.0,0.125
DAMIMAS_A21B_0006,4,16,B3,8,5,1.6,0.5
DAMIMAS_A21B_0006,4,16,B4,6,3,2.0,0.375
DAMIMAS_A21B_0007,4,30,B1,6,3,2.0,0.2
DAMIMAS_A21B_0007,4,30,B2,4,3,1.3333333333333333,0.13333333333333333
DAMIMAS_A21B_0007,4,30,B3,15,9,1.6666666666666667,0.5
DAMIMAS_A21B_0007,4,30,B4,5,3,1.6666666666666667,0.16666666666666666
DAMIMAS_A21B_0008,4,18,B1,4,2,2.0,0.2222222222222222
DAMIMAS_A21B_0008,4,18,B2,6,3,2.0,0.3333333333333333
DAMIMAS_A21B_0008,4,18,B3,8,4,2.0,0.4444444444444444
DAMIMAS_A21B_0009,4,10,B3,6,3,2.0,0.6
DAMIMAS_A21B_0009,4,10,B4,4,3,1.3333333333333333,0.4
DAMIMAS_A21B_0010,4,22,B2,5,2,2.5,0.22727272727272727
DAMIMAS_A21B_0010,4,22,B3,11,6,1.8333333333333333,0.5
DAMIMAS_A21B_0010,4,22,B4,6,3,2.0,0.2727272727272727
DAMIMAS_A21B_0011,4,14,B1,2,1,2.0,0.14285714285714285
DAMIMAS_A21B_0011,4,14,B2,1,1,1.0,0.07142857142857142
DAMIMAS_A21B_0011,4,14,B3,10,4,2.5,0.7142857142857143
DAMIMAS_A21B_0011,4,14,B4,1,1,1.0,0.07142857142857142
DAMIMAS_A21B_0016,4,8,B1,1,1,1.0,0.125
