epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4201,1.94624,3.2552,0.00856,0.36038,0.45307,0.35454,0.15868,1.86358,1.91813,0.01085,0.000414562,0.000414562,0.000414562
2,125.382,1.91689,1.98587,0.00857,0.39481,0.5113,0.3996,0.17122,1.93271,1.78049,0.01129,0.000823,0.000823,0.000823
3,178.772,1.90341,1.89229,0.00847,0.42747,0.46302,0.3884,0.15887,1.92161,2.01575,0.01118,0.00122319,0.00122319,0.00122319
4,229.101,1.9004,1.85798,0.00839,0.41854,0.49202,0.38748,0.16844,1.87321,1.90594,0.011,0.00121287,0.00121287,0.00121287
5,278.092,1.8795,1.81887,0.00822,0.44042,0.55544,0.4634,0.20757,1.83926,1.66817,0.01066,0.0012005,0.0012005,0.0012005
6,348.488,1.85289,1.75659,0.00812,0.43751,0.52594,0.43943,0.19593,1.86749,1.684,0.01089,0.00118812,0.00118812,0.00118812
7,416.687,1.85782,1.74731,0.00833,0.44061,0.54733,0.44692,0.19838,1.86207,1.71692,0.01079,0.00117575,0.00117575,0.00117575
8,482.702,1.84066,1.70252,0.00824,0.44425,0.52259,0.44916,0.20508,1.85672,1.62339,0.01075,0.00116337,0.00116337,0.00116337
9,532.495,1.82497,1.69896,0.00809,0.43373,0.53948,0.4615,0.20731,1.84368,1.63414,0.01073,0.001151,0.001151,0.001151
10,581.769,1.8147,1.68004,0.00803,0.47672,0.50622,0.45735,0.20967,1.83397,1.66372,0.01053,0.00113863,0.00113863,0.00113863
11,631.438,1.83031,1.64667,0.00804,0.46824,0.54813,0.46387,0.20658,1.85219,1.5854,0.01079,0.00112625,0.00112625,0.00112625
12,680.304,1.81544,1.63461,0.00808,0.46457,0.54425,0.47165,0.21671,1.83833,1.64432,0.01059,0.00111388,0.00111388,0.00111388
13,730.175,1.80135,1.64305,0.00787,0.44841,0.54769,0.47855,0.2097,1.87526,1.58501,0.01084,0.0011015,0.0011015,0.0011015
14,778.884,1.79589,1.64444,0.00792,0.4495,0.56896,0.46346,0.20862,1.85417,1.57284,0.01076,0.00108913,0.00108913,0.00108913
15,827.236,1.80743,1.60853,0.00801,0.46457,0.545,0.4813,0.2211,1.82801,1.59325,0.01059,0.00107675,0.00107675,0.00107675
16,877.056,1.78562,1.60515,0.0078,0.46428,0.52587,0.48353,0.21707,1.83512,1.62509,0.01058,0.00106437,0.00106437,0.00106437
17,925.498,1.7877,1.5988,0.00781,0.47068,0.52691,0.47548,0.2177,1.83768,1.57382,0.01062,0.001052,0.001052,0.001052
18,973.995,1.78137,1.59033,0.00776,0.46663,0.56581,0.49841,0.23318,1.81078,1.5464,0.01044,0.00103962,0.00103962,0.00103962
19,1026.01,1.77422,1.58225,0.00778,0.46841,0.55297,0.47999,0.21638,1.86483,1.56949,0.01073,0.00102725,0.00102725,0.00102725
20,1076.33,1.76719,1.5763,0.00772,0.47087,0.55528,0.47594,0.21736,1.82216,1.58861,0.01047,0.00101488,0.00101488,0.00101488
21,1128.21,1.76905,1.5502,0.00774,0.46532,0.56403,0.47842,0.21688,1.82669,1.58726,0.01065,0.0010025,0.0010025,0.0010025
22,1179.89,1.75821,1.52588,0.00769,0.46115,0.52849,0.46779,0.21255,1.81685,1.61428,0.01049,0.000990125,0.000990125,0.000990125
23,1230.22,1.75039,1.53507,0.00768,0.45146,0.56477,0.46743,0.21269,1.8474,1.59806,0.01068,0.00097775,0.00097775,0.00097775
24,1283.75,1.75412,1.51937,0.00772,0.47035,0.53679,0.46846,0.20986,1.85554,1.55378,0.01077,0.000965375,0.000965375,0.000965375
