epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2999,2.60129,4.90166,0.01281,0.09618,0.09139,0.05304,0.01478,2.11279,3.54737,0.01279,0.000414562,0.000414562,0.000414562
2,88.5504,2.29531,3.29266,0.01088,0.25007,0.24347,0.16334,0.05803,2.03723,2.83366,0.01209,0.000823,0.000823,0.000823
3,120.772,2.18418,2.70952,0.01011,0.29252,0.33449,0.22752,0.08282,2.04612,2.45445,0.01204,0.00122319,0.00122319,0.00122319
4,152.156,2.1421,2.4879,0.00977,0.30245,0.37287,0.27604,0.10582,1.98621,2.32028,0.01184,0.00121287,0.00121287,0.00121287
5,183.237,2.07496,2.33079,0.00929,0.34954,0.4086,0.31108,0.12363,1.9087,2.12597,0.01123,0.0012005,0.0012005,0.0012005
6,214.114,2.04236,2.21367,0.00914,0.35993,0.42167,0.34253,0.13829,1.92076,2.06873,0.01119,0.00118812,0.00118812,0.00118812
7,245.292,2.01192,2.14899,0.00918,0.38294,0.45873,0.36301,0.14926,1.8902,2.06318,0.01101,0.00117575,0.00117575,0.00117575
8,276.965,1.99064,2.09718,0.00904,0.43424,0.46717,0.40587,0.16641,1.88584,1.89094,0.01106,0.00116337,0.00116337,0.00116337
9,309.357,1.96818,2.06254,0.00885,0.41518,0.48784,0.38229,0.15925,1.90458,1.91921,0.0112,0.001151,0.001151,0.001151
10,341.194,1.95875,2.00906,0.0088,0.43493,0.49135,0.4219,0.1813,1.86267,1.9088,0.01083,0.00113863,0.00113863,0.00113863
11,372.329,1.93012,1.99026,0.00859,0.40662,0.48445,0.38905,0.16799,1.87045,1.83107,0.01095,0.00112625,0.00112625,0.00112625
12,403.132,1.93038,1.94005,0.00864,0.4369,0.50852,0.43995,0.19245,1.87141,1.77723,0.01086,0.00111388,0.00111388,0.00111388
13,434.251,1.92117,1.92386,0.00848,0.3995,0.49823,0.41558,0.18145,1.85666,1.82103,0.01078,0.0011015,0.0011015,0.0011015
14,464.125,1.91322,1.8932,0.00853,0.44854,0.50213,0.4379,0.19156,1.86326,1.73211,0.01099,0.00108913,0.00108913,0.00108913
15,494.165,1.90858,1.89761,0.00853,0.43786,0.5019,0.43896,0.1871,1.86663,1.75428,0.01091,0.00107675,0.00107675,0.00107675
16,524.739,1.89476,1.87135,0.00836,0.41779,0.51174,0.44511,0.20262,1.83588,1.75804,0.01071,0.00106437,0.00106437,0.00106437
17,555.786,1.88371,1.85382,0.00829,0.43036,0.52289,0.44519,0.20049,1.84014,1.72901,0.01066,0.001052,0.001052,0.001052
18,585.79,1.88311,1.83635,0.00829,0.44544,0.52039,0.45877,0.20131,1.86979,1.70557,0.01088,0.00103962,0.00103962,0.00103962
19,619.407,1.88073,1.82789,0.00833,0.45063,0.51136,0.46273,0.20877,1.85029,1.69367,0.01074,0.00102725,0.00102725,0.00102725
20,654.898,1.86744,1.82203,0.00823,0.43527,0.53614,0.44872,0.19947,1.8371,1.67624,0.01063,0.00101488,0.00101488,0.00101488
