epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2029,1.98183,4.10589,0.00881,0.36813,0.48495,0.34218,0.14186,1.92546,2.09666,0.01125,0.000414562,0.000414562,0.000414562
2,85.7574,1.89833,2.15089,0.0085,0.40143,0.49273,0.40268,0.17192,1.87696,1.82348,0.011,0.000823,0.000823,0.000823
3,116.755,1.87584,1.96669,0.00833,0.41398,0.49851,0.39025,0.15462,1.96846,1.91878,0.01179,0.00122319,0.00122319,0.00122319
4,148.495,1.8935,1.91719,0.00837,0.39603,0.54902,0.43247,0.19407,1.87147,1.73512,0.01088,0.00121287,0.00121287,0.00121287
5,179.117,1.8796,1.84326,0.00819,0.4577,0.51866,0.45029,0.20063,1.89932,1.76117,0.01089,0.0012005,0.0012005,0.0012005
6,209.483,1.84365,1.79026,0.00807,0.47204,0.48455,0.44472,0.19035,1.9207,1.78247,0.0111,0.00118812,0.00118812,0.00118812
7,239.504,1.85513,1.75533,0.00832,0.46737,0.53525,0.46672,0.2066,1.87707,1.66166,0.01089,0.00117575,0.00117575,0.00117575
8,269.762,1.8349,1.71722,0.0082,0.46804,0.5283,0.46836,0.20935,1.87714,1.63026,0.01092,0.00116337,0.00116337,0.00116337
9,300.711,1.8262,1.71708,0.00811,0.50688,0.54539,0.49621,0.22037,1.86464,1.5996,0.01085,0.001151,0.001151,0.001151
10,331.534,1.82615,1.69457,0.0081,0.47569,0.53811,0.47925,0.22237,1.85974,1.59018,0.01075,0.00113863,0.00113863,0.00113863
11,363.972,1.81853,1.67405,0.00798,0.45743,0.53564,0.47293,0.21834,1.84344,1.58009,0.01077,0.00112625,0.00112625,0.00112625
12,394.902,1.80748,1.64876,0.00803,0.48076,0.51948,0.48112,0.22344,1.84756,1.62218,0.0108,0.00111388,0.00111388,0.00111388
13,426.288,1.80895,1.6512,0.00791,0.4585,0.54997,0.48498,0.21844,1.84636,1.56905,0.01064,0.0011015,0.0011015,0.0011015
14,456.206,1.80667,1.6438,0.00798,0.4827,0.57149,0.49227,0.21907,1.88536,1.53622,0.01094,0.00108913,0.00108913,0.00108913
15,486.114,1.80129,1.63702,0.008,0.43752,0.56479,0.48422,0.21838,1.88398,1.54399,0.01104,0.00107675,0.00107675,0.00107675
16,516.193,1.78684,1.63371,0.00781,0.45886,0.55857,0.49304,0.2285,1.83435,1.54626,0.01061,0.00106437,0.00106437,0.00106437
17,549.548,1.79573,1.6106,0.00787,0.50759,0.52663,0.49957,0.23139,1.86016,1.54677,0.01081,0.001052,0.001052,0.001052
18,579.986,1.7817,1.61286,0.00775,0.49066,0.55406,0.50309,0.22878,1.86212,1.52555,0.01084,0.00103962,0.00103962,0.00103962
19,610.074,1.78443,1.59625,0.00782,0.47422,0.56388,0.50293,0.22702,1.84793,1.54631,0.01066,0.00102725,0.00102725,0.00102725
20,639.685,1.78353,1.57731,0.00779,0.4759,0.5367,0.47942,0.22154,1.83726,1.57236,0.01061,0.00101488,0.00101488,0.00101488
21,670.652,1.76692,1.59081,0.00773,0.47725,0.57495,0.50568,0.23404,1.85453,1.51606,0.01081,0.0010025,0.0010025,0.0010025
22,700.767,1.75676,1.55656,0.00768,0.45445,0.54222,0.46633,0.21111,1.85909,1.5746,0.01073,0.000990125,0.000990125,0.000990125
23,732.574,1.75679,1.56725,0.0077,0.46541,0.54716,0.47513,0.22071,1.84256,1.57091,0.01059,0.00097775,0.00097775,0.00097775
24,763.849,1.75449,1.54988,0.00773,0.50133,0.53337,0.49045,0.22264,1.85656,1.52773,0.01077,0.000965375,0.000965375,0.000965375
25,794.932,1.77742,1.53582,0.00772,0.50015,0.52559,0.48822,0.21822,1.8564,1.53875,0.01075,0.000953,0.000953,0.000953
26,825.064,1.75781,1.52946,0.00758,0.50798,0.53404,0.49152,0.21848,1.87459,1.54187,0.01083,0.000940625,0.000940625,0.000940625
27,854.905,1.76793,1.52225,0.00766,0.49539,0.5658,0.50378,0.22975,1.86847,1.50806,0.01083,0.00092825,0.00092825,0.00092825
28,885.835,1.75141,1.52335,0.00761,0.45136,0.55069,0.4801,0.21851,1.85703,1.55775,0.01069,0.000915875,0.000915875,0.000915875
