method,mean_total_per_tree,median_total_per_tree,mean_B1,mean_B2,mean_B3,mean_B4
M29_baseline_naive_sum,19.125,19.0,2.324,4.152,8.964,3.685
M15_divide_global,10.848,11.0,1.301,2.341,4.982,2.224
M19_divide_adaptive,11.14,11.0,1.222,2.44,5.165,2.312
M08_divide_density_vis,10.514,11.0,1.304,2.306,4.858,2.047
M07_weight_coverage,10.522,11.0,1.306,2.314,4.836,2.066
M05_blend_vis_divide,10.569,11.0,1.304,2.317,4.878,2.07
M06_weight_visibility,10.476,11.0,1.304,2.298,4.829,2.046
M20_weight_visibility_grid,11.102,11.0,1.342,2.432,5.183,2.145
M27_weight_visibility_adaptive,11.196,11.0,1.364,2.453,5.208,2.17
M24_weight_class_aware,11.474,12.0,1.301,2.575,5.559,2.04
M28_baseline_match_strict,3.54,4.0,0.731,0.945,1.005,0.858
M17_selector_regime,11.076,11.0,1.225,2.452,5.117,2.281
M14_stack_density,10.941,11.0,1.194,2.392,5.087,2.269
M13_stack_bracket,11.028,11.0,1.233,2.41,5.097,2.288
M21_ordinal_b3,-4.0,-4.0,-1.0,-1.0,-1.0,-1.0
M10_entropy_divide,11.224,11.0,1.275,2.443,5.14,2.366
M18_entropy_stack,11.224,11.0,1.275,2.443,5.14,2.366
M16_boost_b2b4,10.719,11.0,1.233,2.232,5.097,2.157
M22_anchor_floor50,9.47,10.0,1.183,2.123,4.148,2.016
M26_median_per_side,6.961,7.0,0.92,1.599,2.939,1.504
M23_agree_side,9.728,9.0,1.096,2.125,4.517,1.989
M25_consensus_multi,6.961,7.0,0.92,1.599,2.939,1.504
M12_selector_overrides,11.057,11.0,1.225,2.437,5.114,2.28
M11_median_b2,10.903,11.0,1.225,2.278,5.117,2.281
M09_median_strong5,10.72,11.0,1.233,2.278,5.044,2.164
