tree_id,source,split,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,v7_stacking_density_B1,v7_stacking_density_B2,v7_stacking_density_B3,v7_stacking_density_B4,v7_stacking_density_total,v7_stacking_bracketed_B1,v7_stacking_bracketed_B2,v7_stacking_bracketed_B3,v7_stacking_bracketed_B4,v7_stacking_bracketed_total,_err_v7_ordinal_b3,v7_ordinal_b3_B1,v7_ordinal_b3_B2,v7_ordinal_b3_B3,v7_ordinal_b3_B4,v7_ordinal_b3_total,v8_entropy_modulated_B1,v8_entropy_modulated_B2,v8_entropy_modulated_B3,v8_entropy_modulated_B4,v8_entropy_modulated_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,v8_b2_b4_boosted_B1,v8_b2_b4_boosted_B2,v8_b2_b4_boosted_B3,v8_b2_b4_boosted_B4,v8_b2_b4_boosted_total,v8_floor_anchor_50_B1,v8_floor_anchor_50_B2,v8_floor_anchor_50_B3,v8_floor_anchor_50_B4,v8_floor_anchor_50_total,v8_per_side_median_B1,v8_per_side_median_B2,v8_per_side_median_B3,v8_per_side_median_B4,v8_per_side_median_total,v8_side_agreement_B1,v8_side_agreement_B2,v8_side_agreement_B3,v8_side_agreement_B4,v8_side_agreement_total,v8_multi_consensus_B1,v8_multi_consensus_B2,v8_multi_consensus_B3,v8_multi_consensus_B4,v8_multi_consensus_total,v9_selector_B1,v9_selector_B2,v9_selector_B3,v9_selector_B4,v9_selector_total,v9_b2_median_v6_B1,v9_b2_median_v6_B2,v9_b2_median_v6_B3,v9_b2_median_v6_B4,v9_b2_median_v6_total,v9_median_strong5_B1,v9_median_strong5_B2,v9_median_strong5_B3,v9_median_strong5_B4,v9_median_strong5_total
DAMIMAS_A21B_0001,json,train,17,4,2,5,10,0,17,1,3,6,0,10,1,3,6,0,10,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,6,0,10,1,3,6,0,10,1,3,6,0,10,1,1,1,0,3,1,3,5,0,9,1,3,6,0,10,1,3,6,0,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,6,0,10,1,3,6,0,10,1,3,6,0,10,1,3,4,0,8,1,2,3,0,6,1,2,5,0,8,1,2,3,0,6,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9
DAMIMAS_A21B_0002,json,train,25,4,4,0,11,10,25,2,0,6,6,14,2,0,6,6,14,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,6,14,2,0,7,6,15,2,0,7,5,14,1,0,1,1,3,2,0,7,5,14,2,0,6,6,14,2,0,6,6,14,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,6,6,14,2,0,6,6,14,2,0,6,6,14,2,0,5,5,12,1,0,4,4,9,2,0,5,5,12,1,0,4,4,9,2,0,7,5,14,2,0,7,5,14,2,0,6,5,13
DAMIMAS_A21B_0003,json,train,20,4,2,5,11,2,20,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,7,1,12,1,1,1,1,4,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,5,1,10,1,2,3,1,7,1,2,6,1,10,1,2,3,1,7,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11
DAMIMAS_A21B_0004,json,train,15,4,0,0,15,0,15,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,9,0,9,0,0,8,0,8,0,0,9,0,9,0,0,1,0,1,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,6,0,6,0,0,4,0,4,0,0,8,0,8,0,0,4,0,4,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8
DAMIMAS_A21B_0005,json,train,16,4,2,6,6,2,16,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,4,3,1,9,1,3,3,1,8,1,4,4,1,10,1,1,1,1,4,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,2,2,1,6,1,3,3,1,8,1,2,2,1,6,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8
DAMIMAS_A21B_0006,json,train,16,4,2,0,8,6,16,1,0,4,4,9,1,0,4,4,9,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,5,3,9,1,0,4,3,8,1,0,5,3,9,2,0,1,1,4,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,4,4,9,1,0,4,4,9,1,0,4,3,8,1,0,3,3,7,1,0,2,2,5,1,0,4,3,8,1,0,2,2,5,1,0,4,4,9,1,0,4,4,9,1,0,4,3,8
DAMIMAS_A21B_0007,json,train,30,4,6,4,15,5,30,3,2,8,3,16,3,2,9,3,17,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,9,3,17,4,2,9,3,18,3,2,9,3,17,1,1,1,1,4,3,2,9,3,17,3,2,9,3,17,3,2,9,3,17,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,3,9,3,18,3,3,9,3,18,3,2,9,3,17,3,2,7,3,15,2,2,5,2,11,3,2,8,3,16,2,2,5,2,11,3,2,9,3,17,3,2,9,3,17,3,2,9,3,17
DAMIMAS_A21B_0008,json,train,18,4,4,6,8,0,18,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,5,0,10,2,3,5,0,10,2,4,5,0,11,1,1,1,0,3,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,4,4,0,10,2,4,4,0,10,2,3,4,0,9,2,3,3,0,8,2,3,2,0,7,2,3,4,0,9,2,3,2,0,7,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9
DAMIMAS_A21B_0009,json,train,10,4,0,0,6,4,10,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,4,2,6,0,0,1,1,2,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,2,1,3,0,0,3,2,5,0,0,2,1,3,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5
DAMIMAS_A21B_0010,json,train,22,4,0,5,11,6,22,0,3,6,4,13,0,3,6,4,13,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,4,13,0,3,7,3,13,0,1,1,1,3,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,3,6,4,13,0,3,6,4,13,0,3,6,3,12,0,3,4,3,10,0,2,3,2,7,0,2,5,3,10,0,2,3,2,7,0,3,6,4,13,0,3,6,4,13,0,3,6,3,12
