method,B1,B2,B3,B4,total,dedup_ratio_vs_M29_baseline_naive_sum
M29_baseline_naive_sum,2196,3924,8471,3482,18073,1.0
M15_divide_global,1229,2212,4708,2102,10251,0.5672
M19_divide_adaptive,1155,2306,4881,2185,10527,0.5825
M08_divide_density_vis,1232,2179,4591,1934,9936,0.5498
M07_weight_coverage,1234,2187,4570,1952,9943,0.5502
M05_blend_vis_divide,1232,2190,4610,1956,9988,0.5526
M06_weight_visibility,1232,2172,4563,1933,9900,0.5478
M20_weight_visibility_grid,1268,2298,4898,2027,10491,0.5805
M27_weight_visibility_adaptive,1289,2318,4922,2051,10580,0.5854
M24_weight_class_aware,1229,2433,5253,1928,10843,0.6
M28_baseline_match_strict,691,893,950,811,3345,0.1851
M17_selector_regime,1158,2317,4836,2156,10467,0.5792
M14_stack_density,1128,2260,4807,2144,10339,0.5721
M13_stack_bracket,1165,2277,4817,2162,10421,0.5766
M21_ordinal_b3,-945,-945,-945,-945,-3780,-0.2092
M10_entropy_divide,1205,2309,4857,2236,10607,0.5869
M18_entropy_stack,1205,2309,4857,2236,10607,0.5869
M16_boost_b2b4,1165,2109,4817,2038,10129,0.5604
M22_anchor_floor50,1118,2006,3920,1905,8949,0.4952
M26_median_per_side,869,1511,2777,1421,6578,0.364
M23_agree_side,1036,2008,4269,1880,9193,0.5087
M25_consensus_multi,869,1511,2777,1421,6578,0.364
M12_selector_overrides,1158,2303,4833,2155,10449,0.5782
M11_median_b2,1158,2153,4836,2156,10303,0.5701
M09_median_strong5,1165,2153,4767,2045,10130,0.5605
