method,acc_within1_pct,MAE,mean_total_err,n_fail
M12_selector_overrides,98.68,0.2533,1.0132,3
M17_selector_regime,96.49,0.2632,1.0526,8
M11_median_b2,96.49,0.2588,1.0351,8
M09_median_strong5,95.18,0.239,0.9561,11
M18_entropy_stack,94.3,0.2763,1.1053,13
M13_stack_bracket,94.3,0.2643,1.057,13
M10_entropy_divide,94.3,0.2763,1.1053,13
M14_stack_density,94.3,0.2708,1.0833,13
M19_divide_adaptive,93.86,0.2774,1.1096,14
M16_boost_b2b4,92.54,0.2632,1.0526,17
M05_blend_vis_divide,92.54,0.2697,1.0789,17
M06_weight_visibility,92.11,0.2719,1.0877,18
M07_weight_coverage,92.11,0.2697,1.0789,18
M08_divide_density_vis,92.11,0.2719,1.0877,18
M27_weight_visibility_adaptive,91.67,0.3366,1.3465,19
M20_weight_visibility_grid,91.67,0.3125,1.25,19
M15_divide_global,90.79,0.2851,1.1404,21
M24_weight_class_aware,85.09,0.3805,1.5219,34
M23_agree_side,83.33,0.3618,1.4474,38
M22_anchor_floor50,69.74,0.4211,1.6842,69
M26_median_per_side,18.86,0.9583,3.8333,185
M25_consensus_multi,18.86,0.9583,3.8333,185
M29_baseline_naive_sum,2.63,2.1294,8.5175,222
M28_baseline_match_strict,2.63,1.8969,7.5877,222
M21_ordinal_b3,0.0,3.7039,14.8158,228
