method,mean_MAE,acc_within_1,mean_total_err,score
v6_selector,0.2632,96.49,1.05,93.86
stacking_bracketed_v7,0.2643,94.3,1.06,91.66
stacking_density_v7,0.2708,94.3,1.08,91.59
entropy_modulated_v8,0.2763,94.3,1.11,91.54
v8_entropy_stacking,0.2763,94.3,1.11,91.54
adaptive_corrected,0.2774,93.86,1.11,91.09
best_ensemble_grid,0.2774,93.86,1.11,91.09
best_visibility_grid,0.2664,92.54,1.07,89.88
hybrid_vis_corr,0.2697,92.54,1.08,89.85
best_class_aware_grid,0.2917,92.54,1.17,89.63
side_coverage,0.2697,92.11,1.08,89.41
density_scaled_vis,0.2719,92.11,1.09,89.39
visibility,0.2719,92.11,1.09,89.39
adaptive_visibility,0.3366,91.67,1.35,88.3
corrected,0.2851,90.79,1.14,87.94
naive_mean_ensemble,0.2719,90.35,1.09,87.63
ordinal_prior,0.3158,89.04,1.26,85.88
class_aware_vis,0.3805,85.09,1.52,81.28
best_relaxed_grid,1.7456,6.58,6.98,-10.88
relaxed_match,1.8969,2.63,7.59,-16.34
naive,2.1294,2.63,8.52,-18.66
