tree_id,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,adaptive_visibility_B1,adaptive_visibility_B2,adaptive_visibility_B3,adaptive_visibility_B4,adaptive_visibility_total,adaptive_corrected_B1,adaptive_corrected_B2,adaptive_corrected_B3,adaptive_corrected_B4,adaptive_corrected_total,v6_selector_B1,v6_selector_B2,v6_selector_B3,v6_selector_B4,v6_selector_total,stacking_density_v7_B1,stacking_density_v7_B2,stacking_density_v7_B3,stacking_density_v7_B4,stacking_density_v7_total,stacking_bracketed_v7_B1,stacking_bracketed_v7_B2,stacking_bracketed_v7_B3,stacking_bracketed_v7_B4,stacking_bracketed_v7_total,entropy_modulated_v8_B1,entropy_modulated_v8_B2,entropy_modulated_v8_B3,entropy_modulated_v8_B4,entropy_modulated_v8_total,v8_entropy_stacking_B1,v8_entropy_stacking_B2,v8_entropy_stacking_B3,v8_entropy_stacking_B4,v8_entropy_stacking_total,density_scaled_vis_B1,density_scaled_vis_B2,density_scaled_vis_B3,density_scaled_vis_B4,density_scaled_vis_total,class_aware_vis_B1,class_aware_vis_B2,class_aware_vis_B3,class_aware_vis_B4,class_aware_vis_total,side_coverage_B1,side_coverage_B2,side_coverage_B3,side_coverage_B4,side_coverage_total,hybrid_vis_corr_B1,hybrid_vis_corr_B2,hybrid_vis_corr_B3,hybrid_vis_corr_B4,hybrid_vis_corr_total,ordinal_prior_B1,ordinal_prior_B2,ordinal_prior_B3,ordinal_prior_B4,ordinal_prior_total,relaxed_match_B1,relaxed_match_B2,relaxed_match_B3,relaxed_match_B4,relaxed_match_total,best_visibility_grid_B1,best_visibility_grid_B2,best_visibility_grid_B3,best_visibility_grid_B4,best_visibility_grid_total,best_class_aware_grid_B1,best_class_aware_grid_B2,best_class_aware_grid_B3,best_class_aware_grid_B4,best_class_aware_grid_total,best_relaxed_grid_B1,best_relaxed_grid_B2,best_relaxed_grid_B3,best_relaxed_grid_B4,best_relaxed_grid_total,best_ensemble_grid_B1,best_ensemble_grid_B2,best_ensemble_grid_B3,best_ensemble_grid_B4,best_ensemble_grid_total,naive_mean_ensemble_B1,naive_mean_ensemble_B2,naive_mean_ensemble_B3,naive_mean_ensemble_B4,naive_mean_ensemble_total
DAMIMAS_A21B_0046,13,4,0,0,6,7,13,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,3,4,7,0,0,4,4,8,0,0,3,4,7,0,0,3,4,7,0,1,2,4,7,0,0,1,1,2,0,0,3,4,7,0,0,4,4,8,0,0,1,1,2,0,0,3,4,7,0,0,3,4,7
DAMIMAS_A21B_0047,13,4,5,7,1,0,13,3,4,1,0,8,3,4,1,0,8,3,4,1,0,8,2,4,1,0,7,2,4,1,0,7,2,4,1,0,7,2,4,1,0,7,2,4,1,0,7,2,4,1,0,7,3,4,1,0,8,3,4,1,0,8,3,4,1,0,8,3,4,1,0,8,3,3,2,0,8,1,1,1,0,3,3,4,1,0,8,3,4,1,0,8,1,1,1,0,3,2,4,1,0,7,3,4,1,0,8
DAMIMAS_A21B_0048,15,4,3,4,6,2,15,2,2,3,1,8,2,2,3,1,8,2,2,3,1,8,1,2,3,1,7,1,2,3,1,7,1,2,3,1,7,1,2,3,1,7,2,2,3,1,8,2,2,3,1,8,2,2,3,1,8,2,2,4,1,9,2,2,3,1,8,2,2,3,1,8,2,1,4,1,8,1,1,1,1,4,2,2,3,1,8,2,2,3,1,8,1,1,1,1,4,1,2,3,1,7,2,2,3,1,8
DAMIMAS_A21B_0049,13,4,0,0,10,3,13,0,0,6,2,8,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,6,2,8,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,1,1,2,0,0,5,2,7,0,0,6,2,8,0,0,1,1,2,0,0,5,2,7,0,0,5,2,7
DAMIMAS_A21B_0050,15,4,4,0,4,7,15,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,2,0,2,4,8,1,0,1,1,3,2,0,2,4,8,2,0,2,4,8,2,0,2,2,6,2,0,2,4,8,2,0,2,4,8
DAMIMAS_A21B_0051,24,4,1,21,2,0,24,1,12,1,0,14,1,11,1,0,13,1,12,1,0,14,1,12,1,0,14,1,13,1,0,15,1,11,1,0,13,1,11,2,0,14,1,11,2,0,14,1,11,2,0,14,1,11,1,0,13,1,13,1,0,15,1,11,2,0,14,1,11,1,0,13,1,11,1,0,13,1,1,2,0,4,1,11,1,0,13,1,12,1,0,14,1,1,2,0,4,1,12,1,0,14,1,10,1,0,12
DAMIMAS_A21B_0052,22,4,6,6,7,3,22,3,3,4,2,12,3,3,4,2,12,4,4,4,2,14,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,3,4,4,2,13,3,3,4,2,12,3,3,4,2,12,3,3,4,2,12,1,1,1,1,4,3,3,4,2,12,3,3,4,2,12,1,1,1,1,4,3,3,4,2,12,3,3,4,2,12
DAMIMAS_A21B_0053,14,4,2,2,6,4,14,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,4,2,8,1,1,3,2,7,1,1,3,2,7,1,1,3,2,7,1,1,1,1,4,1,1,3,2,7,1,1,3,2,7,1,1,1,1,4,1,1,3,2,7,1,1,3,2,7
DAMIMAS_A21B_0054,20,4,1,2,5,12,20,1,1,3,7,12,1,1,3,6,11,1,1,3,7,12,1,1,3,7,12,1,1,3,7,12,1,1,3,7,12,1,1,3,7,12,1,1,3,7,12,1,1,3,7,12,1,1,3,6,11,1,1,3,6,11,1,1,3,6,11,1,1,3,6,11,1,1,3,6,11,1,1,1,1,4,1,1,3,6,11,1,1,3,6,11,1,2,2,2,7,1,1,3,7,12,1,1,3,6,11
DAMIMAS_A21B_0055,21,4,7,13,1,0,21,4,7,1,0,12,4,7,1,0,12,4,8,1,0,13,4,7,1,0,12,4,7,1,0,12,3,7,1,0,11,3,7,1,0,11,3,7,1,0,11,3,7,1,0,11,4,7,1,0,12,4,8,1,0,13,4,7,1,0,12,4,7,1,0,12,4,7,1,0,12,1,1,1,0,3,4,7,1,0,12,4,7,1,0,12,1,1,1,0,3,4,7,1,0,12,4,7,1,0,12
