method,mean_ratio,median_ratio,std_ratio
M24_weight_class_aware,0.6042,0.6,0.0497
M10_entropy_divide_v8,0.5872,0.5833,0.0583
M18_entropy_stack,0.5872,0.5833,0.0583
best_class_aware_grid,0.5799,0.5714,0.0492
M13_stack_bracket_v7,0.5763,0.5714,0.0589
M27_weight_visibility_adaptive,0.5754,0.5833,0.0623
M15_divide_global,0.5741,0.5714,0.048
M19_divide_adaptive,0.5736,0.5769,0.0574
M17_selector_regime,0.5714,0.5714,0.0575
best_ensemble_grid,0.566,0.5714,0.0514
M14_stack_density_v7,0.5636,0.5652,0.0555
M07_weight_coverage,0.5615,0.5556,0.0553
M05_blend_vis_divide,0.5601,0.5556,0.051
M20_weight_visibility_grid,0.5587,0.5556,0.0501
M08_divide_density_vis,0.5582,0.55,0.0509
M06_weight_visibility,0.557,0.55,0.0509
ordinal_prior,0.557,0.55,0.0509
M29_baseline_naive_sum_mean_ensemble,0.5525,0.5455,0.0521
best_relaxed_grid,0.2604,0.2143,0.1578
M28_baseline_match_strict,0.2156,0.1875,0.1208
