method,B1,B2,B3,B4,total
naive,1618,2974,6417,2656,13665
corrected,917,1691,3573,1598,7779
visibility,919,1650,3458,1483,7510
adaptive_visibility,956,1756,3728,1559,7999
adaptive_corrected,855,1760,3724,1671,8010
density_scaled_vis,919,1657,3486,1484,7546
class_aware_vis,917,1841,3974,1478,8210
side_coverage,921,1665,3465,1500,7551
hybrid_vis_corr,919,1668,3504,1505,7596
ordinal_prior,919,1674,3434,1483,7510
relaxed_match,512,674,720,623,2529
best_visibility_grid,919,1655,3486,1481,7541
best_class_aware_grid,919,1744,3718,1481,7862
best_relaxed_grid,620,818,879,748,3065
best_ensemble_grid,880,1732,3653,1565,7830
naive_mean_ensemble,917,1646,3394,1483,7440
