method,acc_within1_pct,MAE,mean_total_err,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,macro_class_MAE,exact_profile_acc,total_count_MAE,total_count_within1_pct,mean_error_B1,mean_error_B2,mean_error_B3,mean_error_B4
selector_with_b2b3,86.67,0.3982,1.5929,127,0.1805,0.3463,0.7566,0.3095,0.3982,26.34,1.4145,74.08,0.1448,0.1763,0.1689,-0.1039
selector_iter9_trifurc,86.67,0.3987,1.595,127,0.1805,0.3484,0.7566,0.3095,0.3987,26.34,1.4145,74.08,0.1448,0.1763,0.1689,-0.1039
geometric_mean_blend,86.15,0.3961,1.5845,132,0.1752,0.3379,0.7671,0.3043,0.3961,26.86,1.4061,74.5,0.1417,0.1322,0.1522,-0.17
floor_clamped_hybrid,86.04,0.405,1.6201,133,0.2078,0.34,0.7681,0.3043,0.405,25.81,1.4103,74.19,0.191,0.1343,0.1616,-0.17
hybrid_vis_corr,86.04,0.4077,1.6306,133,0.2078,0.34,0.7692,0.3137,0.4077,25.29,1.4145,73.98,0.191,0.1343,0.1605,-0.1794
density_scaled_vis,85.94,0.4024,1.6097,134,0.2078,0.3389,0.7513,0.3116,0.4024,25.39,1.3914,73.56,0.191,0.1312,0.1259,-0.1962
side_coverage,85.94,0.393,1.5719,134,0.2078,0.3326,0.7303,0.3012,0.393,25.81,1.3599,73.77,0.191,0.1228,0.0986,-0.1878
visibility,85.94,0.3956,1.5824,134,0.2078,0.3326,0.7314,0.3106,0.3956,25.29,1.3641,73.56,0.191,0.1228,0.0976,-0.1973
v9_median_strong5,85.73,0.4006,1.6023,136,0.1637,0.3295,0.8132,0.2959,0.4006,27.39,1.4638,72.51,0.1259,0.1049,0.3389,-0.1112
v8_entropy_modulated,84.78,0.4507,1.8027,145,0.1857,0.3987,0.8741,0.3442,0.4507,23.92,1.6348,66.32,0.1626,0.2497,0.446,0.1007
v9_b2_median_v6,84.78,0.4294,1.7177,145,0.1931,0.3295,0.8646,0.3305,0.4294,23.08,1.5603,69.78,0.1385,0.1049,0.4407,0.022
v8_entropy_stacking,84.78,0.4507,1.8027,145,0.1857,0.3987,0.8741,0.3442,0.4507,23.92,1.6348,66.32,0.1626,0.2497,0.446,0.1007
v9_selector,84.68,0.441,1.7639,146,0.1931,0.3799,0.8615,0.3295,0.441,22.35,1.6044,68.21,0.1385,0.2371,0.4313,0.021
v7_stacking_density,84.58,0.4347,1.7387,147,0.1773,0.3683,0.8615,0.3316,0.4347,23.92,1.5939,67.89,0.1123,0.2088,0.404,0.0231
v7_stacking_bracketed,84.58,0.4284,1.7135,147,0.1637,0.3683,0.8573,0.3242,0.4284,25.39,1.5729,68.52,0.1259,0.2088,0.4082,0.0304
v8_b2_b4_boosted,84.37,0.4111,1.6443,149,0.1637,0.3253,0.8573,0.298,0.4111,26.86,1.4911,71.98,0.1259,0.0504,0.4082,-0.1238
corrected,84.37,0.4158,1.6632,149,0.2015,0.3316,0.8164,0.3137,0.4158,23.29,1.4596,68.52,0.1847,0.1364,0.3232,-0.0325
v6_selector,84.26,0.4436,1.7744,150,0.1931,0.3861,0.8646,0.3305,0.4436,21.93,1.6149,67.89,0.1385,0.2497,0.4407,0.022
adaptive_corrected,82.58,0.4599,1.8395,166,0.1952,0.3746,0.9307,0.3389,0.4599,21.51,1.6905,65.58,0.1364,0.234,0.5194,0.0661
best_visibility_grid,80.8,0.4596,1.8384,183,0.2424,0.3767,0.9119,0.3075,0.4596,19.73,1.5656,65.9,0.2298,0.2256,0.5446,-0.1207
v8_side_agreement,80.8,0.4273,1.7093,183,0.1102,0.3463,0.8888,0.3641,0.4273,22.35,1.5603,65.37,-0.001,-0.0504,-0.1647,-0.2298
adaptive_visibility,80.27,0.479,1.9161,188,0.2602,0.3882,0.9412,0.3263,0.479,18.57,1.6474,64.01,0.2476,0.2539,0.5572,-0.085
class_aware_vis,70.93,0.5456,2.1826,277,0.2015,0.4858,1.1878,0.3075,0.5456,12.38,1.8111,58.45,0.1847,0.3872,0.9696,-0.2046
v8_floor_anchor_50,69.99,0.4525,1.8101,286,0.1312,0.3158,1.0252,0.3379,0.4525,16.89,1.554,60.55,0.0703,-0.0388,-0.788,-0.2392
v8_per_side_median,25.29,0.9121,3.6485,712,0.1826,0.5383,2.1731,0.7545,0.9121,5.46,3.6401,16.79,-0.1763,-0.5383,-2.1689,-0.7545
v8_multi_consensus,25.29,0.9121,3.6485,712,0.1826,0.5383,2.1731,0.7545,0.9121,5.46,3.6401,16.79,-0.1763,-0.5383,-2.1689,-0.7545
relaxed_match,5.98,1.8114,7.2455,896,0.468,1.1196,4.3221,1.3358,1.8114,2.41,7.0147,5.04,-0.3316,-1.0357,-4.32,-1.3211
naive,3.99,2.2804,9.1217,915,1.1511,1.7775,4.8342,1.3589,2.2804,1.89,9.1217,2.83,1.1511,1.7775,4.8342,1.3589
v7_ordinal_b3,0.73,3.5842,14.3368,946,1.9895,2.8993,6.3242,3.1238,3.5842,0.0,14.3368,0.0,-1.9895,-2.8993,-6.3242,-3.1238
