tree_id,split,n_dets,n_sides,M01_selector_b2b3_B1,M01_selector_b2b3_B2,M01_selector_b2b3_B3,M01_selector_b2b3_B4,M01_selector_b2b3_total,M02_selector_trifurc_B1,M02_selector_trifurc_B2,M02_selector_trifurc_B3,M02_selector_trifurc_B4,M02_selector_trifurc_total,M03_blend_geometric_B1,M03_blend_geometric_B2,M03_blend_geometric_B3,M03_blend_geometric_B4,M03_blend_geometric_total,M04_blend_floor_clamped_B1,M04_blend_floor_clamped_B2,M04_blend_floor_clamped_B3,M04_blend_floor_clamped_B4,M04_blend_floor_clamped_total,M05_blend_vis_divide_B1,M05_blend_vis_divide_B2,M05_blend_vis_divide_B3,M05_blend_vis_divide_B4,M05_blend_vis_divide_total,M06_weight_visibility_B1,M06_weight_visibility_B2,M06_weight_visibility_B3,M06_weight_visibility_B4,M06_weight_visibility_total,M07_weight_coverage_B1,M07_weight_coverage_B2,M07_weight_coverage_B3,M07_weight_coverage_B4,M07_weight_coverage_total,M08_divide_density_vis_B1,M08_divide_density_vis_B2,M08_divide_density_vis_B3,M08_divide_density_vis_B4,M08_divide_density_vis_total,M09_median_strong5_B1,M09_median_strong5_B2,M09_median_strong5_B3,M09_median_strong5_B4,M09_median_strong5_total,M10_entropy_divide_B1,M10_entropy_divide_B2,M10_entropy_divide_B3,M10_entropy_divide_B4,M10_entropy_divide_total,M11_median_b2_B1,M11_median_b2_B2,M11_median_b2_B3,M11_median_b2_B4,M11_median_b2_total,M12_selector_overrides_B1,M12_selector_overrides_B2,M12_selector_overrides_B3,M12_selector_overrides_B4,M12_selector_overrides_total,M13_stack_bracket_B1,M13_stack_bracket_B2,M13_stack_bracket_B3,M13_stack_bracket_B4,M13_stack_bracket_total,M14_stack_density_B1,M14_stack_density_B2,M14_stack_density_B3,M14_stack_density_B4,M14_stack_density_total,M15_divide_global_B1,M15_divide_global_B2,M15_divide_global_B3,M15_divide_global_B4,M15_divide_global_total,M16_boost_b2b4_B1,M16_boost_b2b4_B2,M16_boost_b2b4_B3,M16_boost_b2b4_B4,M16_boost_b2b4_total,M17_selector_regime_B1,M17_selector_regime_B2,M17_selector_regime_B3,M17_selector_regime_B4,M17_selector_regime_total,M18_entropy_stack_B1,M18_entropy_stack_B2,M18_entropy_stack_B3,M18_entropy_stack_B4,M18_entropy_stack_total,M19_divide_adaptive_B1,M19_divide_adaptive_B2,M19_divide_adaptive_B3,M19_divide_adaptive_B4,M19_divide_adaptive_total,M20_weight_visibility_grid_B1,M20_weight_visibility_grid_B2,M20_weight_visibility_grid_B3,M20_weight_visibility_grid_B4,M20_weight_visibility_grid_total,_err_M21_ordinal_b3,M21_ordinal_b3_B1,M21_ordinal_b3_B2,M21_ordinal_b3_B3,M21_ordinal_b3_B4,M21_ordinal_b3_total,M22_anchor_floor50_B1,M22_anchor_floor50_B2,M22_anchor_floor50_B3,M22_anchor_floor50_B4,M22_anchor_floor50_total,M23_agree_side_B1,M23_agree_side_B2,M23_agree_side_B3,M23_agree_side_B4,M23_agree_side_total,M24_weight_class_aware_B1,M24_weight_class_aware_B2,M24_weight_class_aware_B3,M24_weight_class_aware_B4,M24_weight_class_aware_total,M25_consensus_multi_B1,M25_consensus_multi_B2,M25_consensus_multi_B3,M25_consensus_multi_B4,M25_consensus_multi_total,M26_median_per_side_B1,M26_median_per_side_B2,M26_median_per_side_B3,M26_median_per_side_B4,M26_median_per_side_total,M27_weight_visibility_adaptive_B1,M27_weight_visibility_adaptive_B2,M27_weight_visibility_adaptive_B3,M27_weight_visibility_adaptive_B4,M27_weight_visibility_adaptive_total,M28_baseline_match_strict_B1,M28_baseline_match_strict_B2,M28_baseline_match_strict_B3,M28_baseline_match_strict_B4,M28_baseline_match_strict_total,M29_baseline_naive_sum_B1,M29_baseline_naive_sum_B2,M29_baseline_naive_sum_B3,M29_baseline_naive_sum_B4,M29_baseline_naive_sum_total
DAMIMAS_A21B_0001,train,17,4,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,5,0,9,1,3,6,0,10,1,3,5,0,9,1,3,5,0,9,1,3,6,0,10,1,3,6,0,10,1,3,6,0,10,1,3,6,0,10,1,3,5,0,9,1,3,6,0,10,1,3,6,0,10,1,3,6,0,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,4,0,8,1,2,5,0,8,1,3,6,0,10,1,2,3,0,6,1,2,3,0,6,1,3,6,0,10,1,1,1,0,3,2,5,10,0,17
DAMIMAS_A21B_0002,train,25,4,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,5,13,2,0,6,6,14,2,0,7,5,14,2,0,7,5,14,2,0,6,6,14,2,0,6,6,14,2,0,6,6,14,2,0,6,6,14,2,0,7,5,14,2,0,6,6,14,2,0,6,6,14,2,0,6,6,14,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,5,5,12,2,0,5,5,12,2,0,7,5,14,1,0,4,4,9,1,0,4,4,9,2,0,7,6,15,1,0,1,1,3,4,0,11,10,25
DAMIMAS_A21B_0003,train,20,4,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,1,3,6,1,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,5,1,10,1,2,6,1,10,1,3,7,1,12,1,2,3,1,7,1,2,3,1,7,1,3,6,1,11,1,1,1,1,4,2,5,11,2,20
DAMIMAS_A21B_0004,train,15,4,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,8,0,8,0,0,9,0,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,6,0,6,0,0,8,0,8,0,0,9,0,9,0,0,4,0,4,0,0,4,0,4,0,0,8,0,8,0,0,1,0,1,0,0,15,0,15
DAMIMAS_A21B_0005,test,16,4,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,3,3,1,8,1,4,3,1,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,3,1,8,1,3,3,1,8,1,4,4,1,10,1,2,2,1,6,1,2,2,1,6,1,3,3,1,8,1,1,1,1,4,2,6,6,2,16
DAMIMAS_A21B_0006,train,16,4,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,3,8,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,1,0,4,3,8,1,0,4,4,9,1,0,4,4,9,1,0,4,4,9,1,0,5,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,3,3,7,1,0,4,3,8,1,0,5,3,9,1,0,2,2,5,1,0,2,2,5,1,0,4,3,8,2,0,1,1,4,2,0,8,6,16
DAMIMAS_A21B_0007,train,29,4,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,7,3,15,3,2,8,3,16,3,3,8,3,17,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,2,8,3,16,3,3,8,3,17,3,2,8,3,16,3,2,8,3,16,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,2,6,3,14,3,2,8,3,16,3,2,9,3,17,2,2,4,2,10,2,2,4,2,10,4,2,8,3,17,1,1,1,1,4,6,4,14,5,29
DAMIMAS_A21B_0008,train,18,4,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,4,4,0,10,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,3,4,0,9,2,4,4,0,10,2,3,4,0,9,2,3,5,0,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,3,3,0,8,2,3,4,0,9,2,4,5,0,11,2,3,2,0,7,2,3,2,0,7,2,3,5,0,10,1,1,1,0,3,4,6,8,0,18
DAMIMAS_A21B_0009,train,10,4,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,0,0,3,2,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,3,2,5,0,0,3,2,5,0,0,4,2,6,0,0,2,1,3,0,0,2,1,3,0,0,3,2,5,0,0,1,1,2,0,0,6,4,10
DAMIMAS_A21B_0010,train,22,4,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,3,12,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,0,3,6,3,12,0,3,6,4,13,0,3,6,4,13,0,3,6,4,13,0,3,6,3,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,3,4,3,10,0,2,5,3,10,0,3,7,3,13,0,2,3,2,7,0,2,3,2,7,0,3,6,4,13,0,1,1,1,3,0,5,11,6,22
DAMIMAS_A21B_0011,train,13,4,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,6,1,8,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,5,1,7,1,0,6,1,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,5,1,7,1,0,4,1,6,1,0,6,1,8,1,0,4,1,6,1,0,4,1,6,1,0,5,1,7,1,0,1,1,3,2,0,10,1,13
DAMIMAS_A21B_0012,test,16,4,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,2,1,4,2,9,2,1,4,2,9,2,1,4,2,9,2,1,4,2,9,2,1,4,2,9,1,1,4,2,8,2,1,4,3,10,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,1,1,4,2,8,2,1,4,2,9,1,1,4,2,8,1,1,4,2,8,2,1,4,3,10,1,1,4,2,8,2,1,4,2,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,3,2,7,1,1,4,2,8,2,1,4,2,9,1,1,2,2,6,1,1,2,2,6,2,1,4,2,9,1,1,1,1,4,3,2,7,4,16
DAMIMAS_A21B_0013,val,17,4,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,4,4,9,0,1,5,4,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,4,3,8,0,1,4,4,9,0,1,5,4,10,0,1,3,2,6,0,1,3,2,6,0,1,5,4,10,0,1,1,1,3,0,2,8,7,17
DAMIMAS_A21B_0014,test,18,4,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,4,10,1,1,5,4,11,1,1,4,4,10,1,1,4,4,10,1,1,4,4,10,1,1,4,4,10,1,1,4,4,10,1,1,4,3,9,1,1,4,4,10,1,1,5,4,11,1,1,4,4,10,1,1,5,3,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,4,4,10,1,1,4,3,9,1,1,5,3,10,1,1,3,3,8,1,1,3,3,8,1,1,5,3,10,1,1,1,1,4,2,2,8,6,18
DAMIMAS_A21B_0015,test,26,4,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,7,4,14,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,2,1,8,4,15,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,1,6,4,13,1,1,8,3,13,2,1,9,4,16,1,1,4,3,9,1,1,4,3,9,2,1,8,4,15,1,1,1,1,4,3,2,14,7,26
DAMIMAS_A21B_0016,train,8,4,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,1,0,4,0,5,0,0,4,0,4,0,0,4,0,4,1,0,4,0,5,0,0,4,0,4,1,0,4,0,5,1,0,4,0,5,0,0,4,0,4,1,0,4,0,5,0,0,4,0,4,1,0,4,0,5,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,4,0,5,1,0,3,0,4,1,0,4,0,5,1,0,3,0,4,1,0,3,0,4,1,0,4,0,5,1,0,1,0,2,1,0,7,0,8
DAMIMAS_A21B_0017,train,17,4,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,0,1,3,5,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,3,4,8,0,1,3,5,9,0,1,4,5,10,0,1,2,3,6,0,1,2,3,6,0,1,3,5,9,0,1,1,1,3,0,2,6,9,17
DAMIMAS_A21B_0018,train,11,4,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,3,1,5,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,3,1,5,1,0,3,1,5,1,0,4,1,6,1,0,3,1,5,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,1,0,4,1,6,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,0,3,1,5,1,0,3,1,5,1,0,4,1,6,1,0,2,1,4,1,0,2,1,4,1,0,4,1,6,1,0,1,1,3,2,0,7,2,11
DAMIMAS_A21B_0019,train,25,4,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,8,3,13,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,8,4,14,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,9,4,15,2,0,8,3,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,6,3,11,2,0,8,3,13,2,0,9,3,14,2,0,4,2,8,2,0,4,2,8,2,0,9,4,15,1,0,1,1,3,4,0,15,6,25
DAMIMAS_A21B_0020,train,16,4,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,1,1,4,3,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,3,3,8,1,1,4,2,8,1,1,4,3,9,1,1,2,2,6,1,1,2,2,6,1,1,4,3,9,1,1,1,1,4,2,2,7,5,16
DAMIMAS_A21B_0021,test,21,4,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,3,11,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11,3,0,5,4,12,3,0,5,4,12,3,0,5,4,12,3,0,5,3,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,0,4,3,10,3,0,4,3,10,3,0,6,3,12,2,0,3,2,7,2,0,3,2,7,4,0,5,3,12,1,0,1,1,3,6,0,9,6,21
DAMIMAS_A21B_0022,test,16,4,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,3,9,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,5,2,8,0,1,6,2,9,0,1,5,2,8,0,1,5,2,8,0,1,5,3,9,0,1,5,2,8,0,1,6,2,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,5,2,8,0,1,4,2,7,0,1,6,2,9,0,1,4,2,7,0,1,4,2,7,0,1,6,2,9,0,1,1,1,3,0,2,10,4,16
DAMIMAS_A21B_0023,train,16,4,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,5,0,9,1,4,5,0,10,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,3,4,0,8,1,4,5,0,10,1,3,4,0,8,1,3,4,0,8,1,3,5,0,9,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,4,0,8,1,3,3,0,7,1,4,5,0,10,1,2,3,0,6,1,2,3,0,6,1,3,4,0,8,1,1,1,0,3,2,6,8,0,16
DAMIMAS_A21B_0024,train,20,4,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,3,11,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,2,0,6,3,11,2,0,6,4,12,2,0,6,4,12,2,0,6,4,12,2,0,6,3,11,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,0,5,3,10,1,0,5,3,9,2,0,7,3,12,1,0,4,2,7,1,0,4,2,7,2,0,6,4,12,1,0,1,1,3,3,0,11,6,20
DAMIMAS_A21B_0025,train,12,4,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,2,1,4,0,7,1,1,4,0,6,2,1,4,0,7,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,1,1,4,0,6,2,1,4,0,7,1,1,4,0,6,1,1,4,0,6,2,1,4,0,7,1,1,4,0,6,2,1,4,0,7,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,1,3,0,5,1,1,4,0,6,2,1,4,0,7,1,1,2,0,4,1,1,2,0,4,2,1,4,0,7,1,1,1,0,3,3,2,7,0,12
DAMIMAS_A21B_0026,val,13,4,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,4,2,7,0,1,3,2,6,0,1,5,2,8,0,1,3,1,5,0,1,3,1,5,0,1,4,2,7,0,1,1,1,3,0,2,8,3,13
DAMIMAS_A21B_0027,train,21,4,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,4,0,6,2,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,3,0,5,2,10,3,0,6,2,11,4,0,7,2,13,2,0,3,2,7,2,0,3,2,7,4,0,6,2,12,1,0,1,1,3,7,0,11,3,21
DAMIMAS_A21B_0028,val,21,4,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,6,13,0,1,6,6,13,0,1,6,6,13,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,5,12,0,1,6,6,13,0,1,6,6,13,0,1,6,6,13,0,1,6,5,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,5,4,10,0,1,5,5,11,0,1,7,5,13,0,1,4,3,8,0,1,4,3,8,0,1,6,5,12,0,1,1,1,3,0,1,11,9,21
DAMIMAS_A21B_0029,train,23,4,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,5,3,12,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,1,3,6,3,13,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,1,3,4,3,11,1,3,5,2,11,1,4,6,3,14,1,2,3,2,8,1,2,3,2,8,1,4,6,3,14,1,1,1,1,4,2,6,10,5,23
DAMIMAS_A21B_0030,train,13,4,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,0,0,5,2,7,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,4,2,6,0,0,4,2,6,0,0,6,2,8,0,0,3,2,5,0,0,3,2,5,0,0,5,2,7,0,0,1,1,2,0,0,9,4,13
DAMIMAS_A21B_0031,train,13,4,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,0,1,4,2,7,0,1,5,2,8,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,1,4,2,7,0,1,4,2,7,0,1,5,2,8,0,1,3,2,6,0,1,3,2,6,0,1,4,2,7,0,1,1,2,4,0,2,8,3,13
DAMIMAS_A21B_0032,train,22,4,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,5,3,11,2,1,6,3,12,2,1,6,4,13,2,1,6,4,13,2,1,6,4,13,2,1,6,4,13,2,1,6,4,13,2,1,6,4,13,2,1,6,3,12,2,1,6,4,13,2,1,6,4,13,2,1,6,4,13,2,1,6,3,12,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,2,1,4,3,10,2,1,5,3,11,2,1,6,3,12,1,1,3,2,7,1,1,3,2,7,2,1,6,4,13,1,1,1,1,4,4,2,10,6,22
DAMIMAS_A21B_0033,train,18,4,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,8,1,9,0,0,9,1,10,0,0,9,1,10,0,0,8,1,9,0,0,8,1,9,0,0,9,1,10,0,0,8,1,9,0,0,9,1,10,0,0,8,1,9,0,0,9,1,10,0,0,9,1,10,Y_MEDIANS not computed.,-1,-1,-1,-1,-4,0,0,6,1,7,0,0,8,1,9,0,0,10,1,11,0,0,4,1,5,0,0,4,1,5,0,0,9,1,10,0,0,1,1,2,0,0,16,2,18
