method,B1,B2,B3,B4,total,dedup_ratio_vs_naive
M01_selector_b2b3,1081,1978,5235,1925,10219,0.5511
M02_selector_trifurc,1081,1978,5235,1925,10219,0.5511
M03_blend_geometric,1078,1936,5219,1862,10095,0.5444
M04_blend_floor_clamped,1125,1938,5228,1862,10153,0.5475
M05_blend_vis_divide,1125,1938,5227,1853,10143,0.547
M06_weight_visibility,1125,1927,5167,1836,10055,0.5422
M07_weight_coverage,1125,1927,5168,1845,10065,0.5428
M08_divide_density_vis,1125,1935,5194,1837,10091,0.5442
M09_median_strong5,1063,1910,5397,1918,10288,0.5548
M10_entropy_divide,1098,2048,5499,2120,10765,0.5805
M11_median_b2,1075,1910,5494,2045,10524,0.5675
M12_selector_overrides,1075,2036,5485,2044,10640,0.5738
M13_stack_bracket,1063,2009,5463,2053,10588,0.571
M14_stack_density,1050,2009,5459,2046,10564,0.5697
M15_divide_global,1119,1940,5382,1993,10434,0.5627
M16_boost_b2b4,1063,1858,5463,1906,10290,0.5549
M17_selector_regime,1075,2048,5494,2045,10662,0.575
M18_entropy_stack,1098,2048,5499,2120,10765,0.5805
M19_divide_adaptive,1073,2033,5569,2087,10762,0.5803
M20_weight_visibility_grid,1162,2025,5593,1909,10689,0.5764
M21_ordinal_b3,-953,-953,-953,-953,-3812,-0.2056
M22_anchor_floor50,1010,1773,4323,1796,8902,0.48
M23_agree_side,942,1762,4917,1805,9426,0.5083
M24_weight_class_aware,1119,2179,5998,1829,11125,0.5999
M25_consensus_multi,775,1297,3007,1305,6384,0.3443
M26_median_per_side,775,1297,3007,1305,6384,0.3443
M27_weight_visibility_adaptive,1179,2052,5605,1943,10779,0.5813
M28_baseline_match_strict,627,823,957,765,3172,0.1711
M29_baseline_naive_sum,2040,3504,9681,3319,18544,1.0
