method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.2719,92.11,1.09,89.39,228
visibility,"{'alpha': 1.0, 'sigma': 0.3}",0.2719,92.11,1.09,89.39,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 1.0, 'rich_cluster': 0.0}",0.2719,92.11,1.09,89.39,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.66, 'rich_cluster': 0.0}",0.2719,92.11,1.09,89.39,228
visibility,"{'alpha': 1.0, 'sigma': 0.25}",0.2884,92.11,1.15,89.22,228
stack_3,"{'corrected': 0.4, 'graph': 0.0, 'adaptive_ridge': 0.6}",0.2654,91.67,1.06,89.01,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.2654,91.67,1.06,89.01,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 1.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.2654,91.67,1.06,89.01,228
adaptive_ridge,{'alpha': 1.0},0.2654,91.67,1.06,89.01,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.33, 'rich_cluster': 0.0}",0.2654,91.67,1.06,89.01,228
stack_3,"{'corrected': 0.2, 'graph': 0.0, 'adaptive_ridge': 0.8}",0.2654,91.67,1.06,89.01,228
stack_3,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 1.0}",0.2654,91.67,1.06,89.01,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.2785,90.79,1.11,88.0,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.2851,90.79,1.14,87.94,228
stack_5,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.2851,90.79,1.14,87.94,228
corrected,default,0.2851,90.79,1.14,87.94,228
stack_3,"{'corrected': 0.6, 'graph': 0.0, 'adaptive_ridge': 0.4}",0.2851,90.79,1.14,87.94,228
stack_3,"{'corrected': 0.8, 'graph': 0.0, 'adaptive_ridge': 0.2}",0.2851,90.79,1.14,87.94,228
stack_3,"{'corrected': 1.0, 'graph': 0.0, 'adaptive_ridge': 0.0}",0.2851,90.79,1.14,87.94,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.2851,90.79,1.14,87.94,228
adaptive_rf,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_leaf': 3}",0.2862,90.79,1.14,87.93,228
visibility,"{'alpha': 1.0, 'sigma': 0.2}",0.3564,87.28,1.43,83.72,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 0.6}",0.3026,85.96,1.21,82.94,228
stack_3,"{'corrected': 0.4, 'graph': 0.2, 'adaptive_ridge': 0.4}",0.3048,85.53,1.22,82.48,228
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.2}",0.3136,85.53,1.25,82.39,228
stack_3,"{'corrected': 0.0, 'graph': 0.2, 'adaptive_ridge': 0.8}",0.3103,85.09,1.24,81.98,228
stack_3,"{'corrected': 0.8, 'graph': 0.2, 'adaptive_ridge': 0.0}",0.3224,85.09,1.29,81.86,228
visibility,"{'alpha': 1.5, 'sigma': 0.15}",0.4134,84.65,1.65,80.52,228
visibility,"{'alpha': 1.5, 'sigma': 0.2}",0.4243,79.39,1.7,75.14,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.33}",0.4364,77.63,1.75,73.27,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.33}",0.4419,77.19,1.77,72.77,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.4024,76.75,1.61,72.73,228
stack_5,"{'corrected': 0.66, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.4046,76.75,1.62,72.71,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.33}",0.4419,76.75,1.77,72.34,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.4024,76.32,1.61,72.29,228
stack_5,"{'corrected': 0.33, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",0.4419,76.32,1.77,71.9,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.4013,75.88,1.61,71.86,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.4046,75.88,1.62,71.83,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.33}",0.4408,75.44,1.76,71.03,228
visibility,"{'alpha': 2.0, 'sigma': 0.12}",0.4836,75.44,1.93,70.6,228
stack_5,"{'corrected': 0.66, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",0.4518,74.56,1.81,70.04,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.4178,74.12,1.67,69.95,228
stack_3,"{'corrected': 0.4, 'graph': 0.4, 'adaptive_ridge': 0.2}",0.4211,70.61,1.68,66.4,228
stack_3,"{'corrected': 0.6, 'graph': 0.4, 'adaptive_ridge': 0.0}",0.4298,70.61,1.72,66.32,228
visibility,"{'alpha': 1.5, 'sigma': 0.12}",0.5285,71.49,2.11,66.21,228
stack_3,"{'corrected': 0.0, 'graph': 0.4, 'adaptive_ridge': 0.6}",0.4265,69.74,1.71,65.47,228
visibility,"{'alpha': 1.0, 'sigma': 0.15}",0.5208,70.61,2.08,65.41,228
stack_3,"{'corrected': 0.2, 'graph': 0.4, 'adaptive_ridge': 0.4}",0.4287,69.3,1.71,65.01,228
visibility,"{'alpha': 1.5, 'sigma': 0.25}",0.5121,69.3,2.05,64.18,228
visibility,"{'alpha': 2.0, 'sigma': 0.15}",0.5164,68.86,2.07,63.7,228
stack_3,"{'corrected': 0.2, 'graph': 0.2, 'adaptive_ridge': 0.8}",0.5647,68.86,2.26,63.21,228
stack_3,"{'corrected': 0.8, 'graph': 0.2, 'adaptive_ridge': 0.2}",0.5658,68.86,2.26,63.2,228
stack_3,"{'corrected': 0.0, 'graph': 0.2, 'adaptive_ridge': 1.0}",0.5603,68.42,2.24,62.82,228
stack_3,"{'corrected': 0.6, 'graph': 0.2, 'adaptive_ridge': 0.4}",0.568,67.54,2.27,61.86,228
