tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0001,train,best_visibility_grid,True,17,2.0,2.5,3.3333,0.0,0.0,1,0,1,3,5,0,1,2,5,0
DAMIMAS_A21B_0244,train,adaptive_corrected,True,15,0.0,0.0,0.0,3.75,0.1195,0,0,0,0,0,9,0,0,0,7
DAMIMAS_A21B_0577,train,adaptive_corrected,False,15,3.0,0.0,3.0,3.0,0.0754,0,0,3,0,3,2,3,0,4,2
DAMIMAS_A21B_0002,train,class_aware_vis,True,25,4.0,0.0,2.75,2.5,0.1029,0,0,2,0,7,5,1,0,7,4
DAMIMAS_A21B_0245,train,adaptive_corrected,False,10,0.0,0.0,2.0,3.0,0.1614,0,0,0,0,2,3,0,0,3,2
DAMIMAS_A21B_0578,train,adaptive_corrected,False,12,2.0,2.6667,2.0,0.0,0.0,0,-1,1,4,1,0,1,5,1,0
DAMIMAS_A21B_0003,train,adaptive_corrected,False,20,2.0,2.5,3.6667,2.0,0.1062,0,0,1,3,6,1,1,2,5,1
DAMIMAS_A21B_0246,train,adaptive_corrected,False,22,0.0,2.0,2.6667,2.0,0.1633,1,0,0,5,5,4,0,6,6,4
DAMIMAS_A21B_0579,train,adaptive_corrected,False,28,2.5,3.0,3.3333,2.0,0.0156,1,0,5,4,6,1,5,3,6,1
DAMIMAS_A21B_0004,train,adaptive_corrected,False,15,0.0,0.0,3.75,0.0,0.0,0,0,0,0,8,0,0,0,8,0
DAMIMAS_A21B_0247,train,adaptive_corrected,False,20,2.0,3.0,3.3333,0.0,0.0,1,0,2,3,6,0,2,3,5,0
DAMIMAS_A21B_0580,train,adaptive_corrected,False,25,2.0,2.6667,4.0,1.0,0.0,1,0,2,5,7,1,2,4,6,1
DAMIMAS_A21B_0005,train,adaptive_corrected,False,16,2.0,3.0,3.0,2.0,0.0077,0,-1,1,3,3,1,1,3,3,2
DAMIMAS_A21B_0248,train,best_visibility_grid,True,18,0.0,1.5,3.3333,2.5,0.14,1,0,0,2,5,3,0,2,5,4
DAMIMAS_A21B_0581,train,adaptive_corrected,False,20,2.0,2.5,3.0,2.0,0.0262,0,0,1,3,5,2,1,3,5,2
DAMIMAS_A21B_0006,train,adaptive_corrected,False,16,2.0,0.0,4.0,3.0,0.2957,0,0,1,0,4,4,1,0,5,3
DAMIMAS_A21B_0249,train,adaptive_corrected,False,18,0.0,1.0,3.4,0.0,0.0,0,0,0,1,9,0,0,1,9,0
DAMIMAS_A21B_0582,train,adaptive_corrected,False,26,4.0,3.3333,3.0,1.5,0.0222,0,0,2,6,5,2,2,6,5,2
DAMIMAS_A21B_0007,train,adaptive_corrected,False,30,3.0,2.0,3.0,2.5,0.1055,1,0,3,2,9,3,3,3,9,3
DAMIMAS_A21B_0250,train,adaptive_corrected,False,30,3.0,1.0,2.6,2.1667,0.1504,1,0,2,1,8,9,2,1,8,8
DAMIMAS_A21B_0583,train,adaptive_corrected,False,6,2.0,4.0,0.0,0.0,0.0,0,0,1,2,0,0,1,2,0,0
DAMIMAS_A21B_0008,train,adaptive_corrected,False,18,2.0,2.0,4.0,0.0,0.0,0,0,2,3,4,0,2,3,4,0
DAMIMAS_A21B_0251,train,adaptive_corrected,False,22,2.0,3.0,3.3333,2.0,0.0822,1,0,1,3,6,2,1,4,6,2
DAMIMAS_A21B_0584,train,best_visibility_grid,True,19,2.0,3.0,3.3333,1.0,0.0,1,0,1,3,5,1,1,3,5,1
DAMIMAS_A21B_0009,train,adaptive_corrected,False,10,0.0,0.0,3.0,4.0,0.0632,0,0,0,0,3,2,0,0,3,3
DAMIMAS_A21B_0252,train,adaptive_corrected,False,15,0.0,2.0,2.75,1.0,0.0106,0,0,0,1,6,1,0,2,6,2
DAMIMAS_A21B_0585,train,adaptive_corrected,False,21,2.0,2.0,3.5,3.0,0.0558,0,0,2,2,4,4,2,2,4,3
DAMIMAS_A21B_0010,train,adaptive_corrected,False,22,0.0,2.5,3.6667,3.0,0.0457,0,0,0,3,6,4,0,2,6,3
DAMIMAS_A21B_0253,train,adaptive_corrected,False,11,0.0,2.0,2.3333,0.0,0.0,0,0,0,2,4,0,0,2,4,0
DAMIMAS_A21B_0586,train,adaptive_corrected,False,15,0.0,3.0,2.5,2.0,0.0633,0,-1,0,3,3,2,0,3,4,2
DAMIMAS_A21B_0011,train,adaptive_corrected,False,14,2.0,1.0,2.5,1.0,0.0,0,0,1,1,5,1,1,1,4,1
DAMIMAS_A21B_0254,train,adaptive_corrected,False,20,0.0,2.5,3.0,2.0,0.0652,0,0,0,3,5,4,0,2,6,3
DAMIMAS_A21B_0587,train,adaptive_corrected,False,5,2.5,0.0,0.0,0.0,0.0,0,0,2,0,0,0,3,0,0,0
DAMIMAS_A21B_0012,train,adaptive_corrected,False,16,3.0,2.0,3.5,2.0,0.0804,0,0,1,1,4,2,1,2,4,2
DAMIMAS_A21B_0255,train,adaptive_corrected,False,17,1.0,3.0,3.6667,2.0,0.0735,0,0,0,2,6,1,1,2,6,1
DAMIMAS_A21B_0588,train,adaptive_corrected,False,21,3.0,3.0,3.0,3.0,0.0281,0,-1,3,3,3,2,4,3,3,2
DAMIMAS_A21B_0013,train,adaptive_corrected,False,17,0.0,2.0,2.6667,3.5,0.0803,0,0,0,1,4,4,0,1,4,4
DAMIMAS_A21B_0256,train,adaptive_corrected,False,3,0.0,0.0,3.0,0.0,0.0,-1,0,0,0,1,0,0,0,2,0
DAMIMAS_A21B_0589,train,best_visibility_grid,True,25,2.0,2.0,3.4,2.0,0.0768,1,0,1,2,9,1,1,2,10,1
DAMIMAS_A21B_0014,train,adaptive_corrected,False,18,2.0,2.0,2.6667,2.0,0.128,0,0,1,1,4,4,1,1,4,3
DAMIMAS_A21B_0257,train,class_aware_vis,True,18,2.0,3.0,3.0,1.0,0.0,0,0,1,4,6,1,1,4,7,1
DAMIMAS_A21B_0590,train,adaptive_corrected,False,23,4.0,4.0,3.0,2.5,0.2233,0,0,4,2,3,3,4,2,4,4
DAMIMAS_A21B_0015,train,adaptive_corrected,False,26,3.0,2.0,3.5,2.3333,0.0912,1,0,2,1,8,4,1,1,7,4
