tree_id,split,ok,MAE,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4
DAMIMAS_A21B_0002,train,False,1.0,1,0,7,4,2,0,6,6,1,0,1,2
DAMIMAS_A21B_0257,train,False,0.75,1,4,7,1,1,3,5,1,0,1,2,0
DAMIMAS_A21B_0259,train,False,0.5,1,8,3,0,1,6,3,0,0,2,0,0
DAMIMAS_A21B_0273,train,False,0.5,0,1,6,0,0,1,8,0,0,0,2,0
DAMIMAS_A21B_0035,train,False,0.5,0,7,2,0,0,5,2,0,0,2,0,0
DAMIMAS_A21B_0281,train,False,0.5,0,0,10,5,0,0,8,5,0,0,2,0
DAMIMAS_A21B_0043,train,False,0.5,2,3,6,0,2,3,8,0,0,0,2,0
DAMIMAS_A21B_0045,train,False,0.75,1,0,10,4,1,0,12,5,0,0,2,1
DAMIMAS_A21B_0546,test,False,0.5,2,5,4,5,2,7,4,5,0,2,0,0
DAMIMAS_A21B_0554,test,False,1.25,2,3,4,5,2,4,6,7,0,1,2,2
DAMIMAS_A21B_0557,test,False,1.0,1,1,3,4,2,1,5,5,1,0,2,1
DAMIMAS_A21B_0569,test,False,1.0,2,2,4,6,3,2,5,4,1,0,1,2
DAMIMAS_A21B_0574,test,False,0.5,0,0,3,2,0,0,5,2,0,0,2,0
