method,acc,mae
M13_stack_bracket_v7,94.3,0.2643
M14_stack_density_v7,94.3,0.2708
M10_entropy_divide,94.3,0.2763
M18_entropy_stack,94.3,0.2763
b2_boosted_112,93.42,0.2719
M16_boost_b2b4,92.54,0.2632
side_variance,89.91,0.3147
blend_80,88.6,0.3169
floor_anchor_70,85.96,0.3235
M23_agree_side,83.33,0.3618
blend_70,78.07,0.4035
M22_anchor_floor50,69.74,0.4211
v8_consensus_entropy,67.98,0.4857
blend_60,63.16,0.5307
floor_anchor_30,46.93,0.6557
M25_consensus_multi,18.86,0.9583
M26_median_per_side,18.86,0.9583
