method,split,n,acc,mae
stacking_density_v7,test,31,83.87,0.4274
stacking_density_v7,train,196,95.92,0.2449
stacking_density_v7,val,1,100.0,0.5
stacking_bracketed_v7,test,31,83.87,0.4274
stacking_bracketed_v7,train,196,95.92,0.2372
stacking_bracketed_v7,val,1,100.0,0.5
per_side_median,test,31,32.26,0.9355
per_side_median,train,196,16.84,0.9643
per_side_median,val,1,0.0,0.5
entropy_modulated,test,31,83.87,0.4516
entropy_modulated,train,196,95.92,0.2474
entropy_modulated,val,1,100.0,0.5
side_agreement,test,31,80.65,0.3871
side_agreement,train,196,83.67,0.3597
side_agreement,val,1,100.0,0.0
multi_consensus,test,31,32.26,0.9355
multi_consensus,train,196,16.84,0.9643
multi_consensus,val,1,0.0,0.5
side_variance,test,31,83.87,0.3548
side_variance,train,196,90.82,0.3099
side_variance,val,1,100.0,0.0
blend_70,test,31,80.65,0.371
blend_70,train,196,77.55,0.4107
blend_70,val,1,100.0,0.0
blend_60,test,31,77.42,0.4758
blend_60,train,196,60.71,0.5408
blend_60,val,1,100.0,0.25
blend_80,test,31,87.1,0.3065
blend_80,train,196,88.78,0.3202
blend_80,val,1,100.0,0.0
floor_anchor_50,test,31,80.65,0.3871
floor_anchor_50,train,196,67.86,0.426
floor_anchor_50,val,1,100.0,0.5
floor_anchor_30,test,31,67.74,0.6129
floor_anchor_30,train,196,43.37,0.6633
floor_anchor_30,val,1,100.0,0.5
floor_anchor_70,test,31,83.87,0.3306
floor_anchor_70,train,196,86.22,0.3227
floor_anchor_70,val,1,100.0,0.25
v8_entropy_stacking,test,31,83.87,0.4516
v8_entropy_stacking,train,196,95.92,0.2474
v8_entropy_stacking,val,1,100.0,0.5
v8_consensus_entropy,test,31,80.65,0.4032
v8_consensus_entropy,train,196,65.82,0.5
v8_consensus_entropy,val,1,100.0,0.25
b2_boosted_112,test,31,83.87,0.4032
b2_boosted_112,train,196,94.9,0.25
b2_boosted_112,val,1,100.0,0.5
b2_b4_boosted,test,31,83.87,0.3629
b2_b4_boosted,train,196,93.88,0.2462
b2_b4_boosted,val,1,100.0,0.5
