method,acc,mae,mean_total_error,n_fail
M12_selector_overrides,98.68,0.2533,1.0132,3
M11_median_b2,96.49,0.2588,1.0351,8
M17_selector_regime,96.49,0.2632,1.0526,8
M09_median_strong5,95.18,0.239,0.9561,11
M13_stack_bracket,94.3,0.2643,1.057,13
M14_stack_density,94.3,0.2708,1.0833,13
M10_entropy_divide,94.3,0.2763,1.1053,13
M19_divide_adaptive,93.86,0.2774,1.1096,14
M16_boost_b2b4,92.54,0.2632,1.0526,17
M20_weight_visibility_grid_grid,92.54,0.2664,1.0658,17
M21_ordinal_b3,91.23,0.2939,1.1754,20
v5_M24_weight_class_aware,85.09,0.3805,1.5219,34
M23_agree_side,83.33,0.3618,1.4474,38
M22_anchor_floor50,69.74,0.4211,1.6842,69
M25_consensus_multi,18.86,0.9583,3.8333,185
M26_median_per_side,18.86,0.9583,3.8333,185
