tree_id,split,selected_method_v6,selected_method_v9,selector_reason_v9,unstable_gate,total_det,B1_naive,B2_naive,B3_naive,B4_naive,B2_ratio,B3_ratio,B4_ratio,B3_yrange,B4_yrange,pred_B1,pred_B2,pred_B3,pred_B4,gt_B1,gt_B2,gt_B3,gt_B4,ok,error_sum
DAMIMAS_A21B_0001,train,best_visibility_grid,best_visibility_grid,v6_default,True,17,2,5,10,0,2.5,3.3333,0.0,0.1542,0.0,1,3,5,0,1,2,5,0,True,1
DAMIMAS_A21B_0244,train,adaptive_corrected,v7_stacking_bracketed,b4_only_overlap,True,15,0,0,0,15,0.0,0.0,3.75,0.0,0.1195,0,0,0,8,0,0,0,7,True,1
DAMIMAS_A21B_0577,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,6,0,6,3,0.0,3.0,3.0,0.0789,0.0754,3,0,3,2,3,0,4,2,True,1
DAMIMAS_A21B_0002,train,class_aware_vis,class_aware_vis,v6_default,True,25,4,0,11,10,0.0,2.75,2.5,0.0988,0.1029,2,0,7,5,1,0,7,4,True,2
DAMIMAS_A21B_0245,train,adaptive_corrected,adaptive_corrected,v6_default,False,10,0,0,4,6,0.0,2.0,3.0,0.164,0.1614,0,0,2,3,0,0,3,2,True,2
DAMIMAS_A21B_0578,train,adaptive_corrected,adaptive_corrected,v6_default,False,12,2,8,2,0,2.6667,2.0,0.0,0.0103,0.0,1,4,1,0,1,5,1,0,True,1
DAMIMAS_A21B_0003,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,2,5,11,2,2.5,3.6667,2.0,0.1213,0.1062,1,3,6,1,1,2,5,1,True,2
DAMIMAS_A21B_0246,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,0,8,8,6,2.0,2.6667,2.0,0.2193,0.1633,0,5,5,4,0,6,6,4,True,2
DAMIMAS_A21B_0579,train,adaptive_corrected,adaptive_corrected,v6_default,False,28,10,6,10,2,3.0,3.3333,2.0,0.1509,0.0156,5,4,6,1,5,3,6,1,True,1
DAMIMAS_A21B_0004,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,0,0,15,0,0.0,3.75,0.0,0.1153,0.0,0,0,8,0,0,0,8,0,True,0
