tree_id,fix_index,date,action,rule,bunches_before,bunches_after,dropped_links,actions
DAMIMAS_A21B_0002,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",12,13,"[""lnk-10""]","[{""bunch_id"": 3, ""class"": ""B1"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b2""]}]"
DAMIMAS_A21B_0134,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",6,8,"[""lnk-3"", ""lnk-4""]","[{""bunch_id"": 3, ""class"": ""B2"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b3""]}, {""bunch_id"": 4, ""class"": ""B3"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b3""]}]"
DAMIMAS_A21B_0237,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",7,8,"[""lnk-13""]","[{""bunch_id"": 3, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b3""]}]"
DAMIMAS_A21B_0244,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",7,8,"[""lnk-4""]","[{""bunch_id"": 3, ""class"": ""B4"", ""home_side"": ""sisi_1"", ""offending"": [""sisi_3""], ""isolated_nodes"": [""s3/b0""]}]"
DAMIMAS_A21B_0245,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",5,6,"[""lnk-2""]","[{""bunch_id"": 1, ""class"": ""B4"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b0""]}]"
DAMIMAS_A21B_0273,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",7,8,"[""lnk-4""]","[{""bunch_id"": 4, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b3""]}]"
DAMIMAS_A21B_0285,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",18,21,"[""lnk-0"", ""lnk-4"", ""lnk-6""]","[{""bunch_id"": 1, ""class"": ""B1"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b1""]}, {""bunch_id"": 6, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b5""]}]"
DAMIMAS_A21B_0298,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",10,13,"[""lnk-2"", ""lnk-4"", ""lnk-5""]","[{""bunch_id"": 1, ""class"": ""B1"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b0""]}, {""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_2"", ""offending"": [""sisi_4""], ""isolated_nodes"": [""s4/b2""]}]"
DAMIMAS_A21B_0311,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",3,5,"[""lnk-0"", ""lnk-3""]","[{""bunch_id"": 1, ""class"": ""B3"", ""home_side"": ""sisi_4"", ""offending"": [""sisi_2""], ""isolated_nodes"": [""s2/b1""]}, {""bunch_id"": 2, ""class"": ""B3"", ""home_side"": ""sisi_3"", ""offending"": [""sisi_1""], ""isolated_nodes"": [""s1/b1""]}]"
DAMIMAS_A21B_0321,0,2026-05-16,auto_heal_visibility_drop_offender,"largest_bbox=home, drop nodes at sides with dist>1",13,15,"[""lnk-1"", ""lnk-2""]","[{""bunch_id"": 1, ""class"": ""B1"", ""home_side"": ""sisi_1"", ""offending"": [""sisi_3""], ""isolated_nodes"": [""s3/b0""]}]"
