tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0001,train,1,2,1,2,5,3,5,10,5,0,0,0,8,17,2.25
DAMIMAS_A21B_0244,train,0,0,0,0,0,0,0,0,0,7,15,8,7,15,2.0
DAMIMAS_A21B_0577,train,3,6,3,0,0,0,4,6,2,2,3,1,9,15,1.5
DAMIMAS_A21B_0002,train,1,4,3,0,0,0,7,11,4,4,10,6,12,25,3.25
DAMIMAS_A21B_0245,train,0,0,0,0,0,0,3,4,1,2,6,4,5,10,1.25
DAMIMAS_A21B_0578,train,1,2,1,5,8,3,1,2,1,0,0,0,7,12,1.25
DAMIMAS_A21B_0003,train,1,2,1,2,5,3,5,11,6,1,2,1,9,20,2.75
DAMIMAS_A21B_0246,train,0,0,0,6,8,2,6,8,2,4,6,2,16,22,1.5
DAMIMAS_A21B_0579,train,5,10,5,3,6,3,6,10,4,1,2,1,15,28,3.25
DAMIMAS_A21B_0004,train,0,0,0,0,0,0,8,15,7,0,0,0,8,15,1.75
DAMIMAS_A21B_0247,train,2,4,2,3,6,3,5,10,5,0,0,0,10,20,2.5
DAMIMAS_A21B_0580,train,2,4,2,4,8,4,6,12,6,1,1,0,13,25,3.0
DAMIMAS_A21B_0005,train,1,2,1,3,6,3,3,6,3,2,2,0,9,16,1.75
DAMIMAS_A21B_0248,train,0,0,0,2,3,1,5,10,5,4,5,1,11,18,1.75
DAMIMAS_A21B_0581,train,1,2,1,3,5,2,5,9,4,2,4,2,11,20,2.25
DAMIMAS_A21B_0006,train,1,2,1,0,0,0,5,8,3,3,6,3,9,16,1.75
DAMIMAS_A21B_0249,train,0,0,0,1,1,0,9,17,8,0,0,0,10,18,2.0
DAMIMAS_A21B_0582,train,2,4,2,6,10,4,5,9,4,2,3,1,15,26,2.75
DAMIMAS_A21B_0007,train,3,6,3,3,4,1,9,15,6,3,5,2,18,30,3.0
DAMIMAS_A21B_0250,train,2,3,1,1,1,0,8,13,5,8,13,5,19,30,2.75
DAMIMAS_A21B_0583,train,1,2,1,2,4,2,0,0,0,0,0,0,3,6,0.75
DAMIMAS_A21B_0008,train,2,4,2,3,6,3,4,8,4,0,0,0,9,18,2.25
DAMIMAS_A21B_0251,train,1,2,1,4,6,2,6,10,4,2,4,2,13,22,2.25
DAMIMAS_A21B_0584,train,1,2,1,3,6,3,5,10,5,1,1,0,10,19,2.25
DAMIMAS_A21B_0009,train,0,0,0,0,0,0,3,6,3,3,4,1,6,10,1.0
DAMIMAS_A21B_0252,train,0,0,0,2,2,0,6,11,5,2,2,0,10,15,1.25
DAMIMAS_A21B_0585,train,2,4,2,2,4,2,4,7,3,3,6,3,11,21,2.5
DAMIMAS_A21B_0010,train,0,0,0,2,5,3,6,11,5,3,6,3,11,22,2.75
DAMIMAS_A21B_0253,train,0,0,0,2,4,2,4,7,3,0,0,0,6,11,1.25
DAMIMAS_A21B_0586,train,0,0,0,3,6,3,4,5,1,2,4,2,9,15,1.5
DAMIMAS_A21B_0011,train,1,2,1,1,1,0,4,10,6,1,1,0,7,14,1.75
DAMIMAS_A21B_0254,train,0,0,0,2,5,3,6,9,3,3,6,3,11,20,2.25
DAMIMAS_A21B_0587,train,3,5,2,0,0,0,0,0,0,0,0,0,3,5,0.5
DAMIMAS_A21B_0012,train,1,3,2,2,2,0,4,7,3,2,4,2,9,16,1.75
DAMIMAS_A21B_0255,train,1,1,0,2,3,1,6,11,5,1,2,1,10,17,1.75
DAMIMAS_A21B_0588,train,4,6,2,3,6,3,3,6,3,2,3,1,12,21,2.25
DAMIMAS_A21B_0013,train,0,0,0,1,2,1,4,8,4,4,7,3,9,17,2.0
DAMIMAS_A21B_0256,train,0,0,0,0,0,0,2,3,1,0,0,0,2,3,0.25
DAMIMAS_A21B_0589,train,1,2,1,2,4,2,10,17,7,1,2,1,14,25,2.75
DAMIMAS_A21B_0014,train,1,2,1,1,2,1,4,8,4,3,6,3,9,18,2.25
DAMIMAS_A21B_0257,train,1,2,1,4,6,2,7,9,2,1,1,0,13,18,1.25
DAMIMAS_A21B_0590,train,4,8,4,2,4,2,4,6,2,4,5,1,14,23,2.25
DAMIMAS_A21B_0015,train,1,3,2,1,2,1,7,14,7,4,7,3,13,26,3.25
DAMIMAS_A21B_0258,train,0,0,0,2,4,2,7,10,3,2,3,1,11,17,1.5
