tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0001,train,True,17,4,2,5,10,0,17,1,3,6,0,10,1,1,1,0,3,1,3,5,0,9,1,1,1,0,3,1,2,2,0,5,1,1,1,0,3
DAMIMAS_A21B_0002,train,True,24,4,3,6,8,7,24,2,3,4,4,13,1,1,1,1,4,2,3,4,4,13,1,1,1,1,4,1,3,3,2,9,1,1,1,1,4
DAMIMAS_A21B_0003,train,True,20,4,1,4,11,4,20,1,2,6,2,11,1,1,1,1,4,1,2,6,2,11,1,1,1,2,5,1,2,3,3,9,1,1,1,2,5
DAMIMAS_A21B_0004,train,True,13,4,0,3,10,0,13,0,2,6,0,8,0,1,1,0,2,0,2,5,0,7,0,1,1,0,2,0,2,2,0,4,0,1,1,0,2
DAMIMAS_A21B_0005,train,True,16,4,1,7,6,2,16,1,4,3,1,9,1,1,1,1,4,1,4,3,1,9,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0006,train,True,15,4,1,1,7,6,15,1,1,4,4,10,1,1,1,2,5,1,1,4,3,9,1,1,2,3,7,1,1,3,4,9,1,1,2,3,7
DAMIMAS_A21B_0007,train,True,30,4,6,10,11,3,30,3,6,6,2,17,1,1,1,1,4,3,5,6,2,16,1,1,2,3,7,1,6,8,3,18,1,1,2,1,5
DAMIMAS_A21B_0008,train,True,17,4,4,9,4,0,17,2,5,2,0,9,1,1,1,0,3,2,5,2,0,9,1,1,1,0,3,2,2,2,0,6,1,1,1,0,3
DAMIMAS_A21B_0009,train,True,10,4,0,1,6,3,10,0,1,3,2,6,0,1,1,1,3,0,1,3,2,6,0,1,1,1,3,0,1,3,1,5,0,1,1,1,3
DAMIMAS_A21B_0010,train,True,20,4,2,2,12,4,20,1,1,7,2,11,1,1,1,1,4,1,1,6,2,10,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4
DAMIMAS_A21B_0011,train,True,14,4,3,8,2,1,14,2,4,1,1,8,1,1,1,1,4,2,4,1,1,8,1,1,2,1,5,2,2,2,1,7,1,1,1,1,4
DAMIMAS_A21B_0012,train,True,15,4,4,6,2,3,15,2,3,1,2,8,1,1,1,1,4,2,3,1,2,8,1,1,1,1,4,2,2,1,2,7,1,1,1,1,4
DAMIMAS_A21B_0013,train,True,17,4,1,4,7,5,17,1,2,4,3,10,1,1,1,1,4,1,2,4,3,10,1,1,1,1,4,1,2,2,2,7,1,1,1,1,4
DAMIMAS_A21B_0014,train,True,18,4,2,2,9,5,18,1,1,5,3,10,1,1,1,1,4,1,1,5,3,10,1,1,1,1,4,2,1,3,2,8,2,1,1,1,5
DAMIMAS_A21B_0015,train,True,25,4,5,8,8,4,25,3,4,4,2,13,1,1,1,1,4,3,4,4,2,13,1,1,1,1,4,1,2,2,1,6,1,1,1,1,4
DAMIMAS_A21B_0016,train,True,8,4,1,3,4,0,8,1,2,2,0,5,1,1,1,0,3,1,2,2,0,5,1,3,1,0,5,1,3,2,0,6,1,1,1,0,3
DAMIMAS_A21B_0017,train,True,16,4,2,0,9,5,16,1,0,5,3,9,1,0,1,1,3,1,0,5,3,9,1,0,1,1,3,1,0,3,2,6,1,0,1,1,3
