method,acc_within1_pct,MAE,mean_total_err,n_fail,MAE_B1,MAE_B2,MAE_B3,MAE_B4,macro_class_MAE,exact_profile_acc,total_count_MAE,total_count_within1_pct,mean_error_B1,mean_error_B2,mean_error_B3,mean_error_B4
M02_selector_trifurc,86.88,0.388,1.5519,125,0.1815,0.3421,0.7293,0.2991,0.388,26.34,1.3715,74.19,0.1542,0.2015,0.234,-0.0913
M01_selector_b2b3,86.78,0.3875,1.5498,126,0.1815,0.3389,0.7303,0.2991,0.3875,26.34,1.3715,74.19,0.1542,0.2004,0.235,-0.0913
M03_blend_geometric,86.36,0.3877,1.5509,130,0.1763,0.3326,0.7471,0.2949,0.3877,26.86,1.3725,74.61,0.1511,0.1563,0.2204,-0.1563
M04_blend_floor_clamped,86.25,0.3964,1.5855,131,0.2088,0.3347,0.7471,0.2949,0.3964,25.81,1.3757,74.29,0.2004,0.1584,0.2288,-0.1563
M05_blend_vis_divide,86.25,0.399,1.596,131,0.2088,0.3347,0.7482,0.3043,0.399,25.29,1.3799,74.08,0.2004,0.1584,0.2277,-0.1658
M06_weight_visibility,86.15,0.3827,1.531,132,0.2088,0.3242,0.6988,0.2991,0.3827,25.29,1.3127,73.66,0.2004,0.148,0.1637,-0.1836
M07_weight_coverage,86.15,0.3801,1.5205,132,0.2088,0.3242,0.6978,0.2896,0.3801,25.81,1.3085,73.87,0.2004,0.148,0.1647,-0.1742
M08_divide_density_vis,86.15,0.3917,1.5666,132,0.2088,0.3326,0.7251,0.3001,0.3917,25.39,1.3484,73.66,0.2004,0.1563,0.192,-0.1826
M09_median_strong5,85.94,0.3945,1.5782,134,0.1647,0.3242,0.8006,0.2886,0.3945,27.39,1.4397,72.61,0.1354,0.1291,0.4082,-0.0976
M10_entropy_divide,84.89,0.447,1.788,144,0.1878,0.3977,0.8625,0.34,0.447,23.92,1.6201,66.42,0.1731,0.2739,0.5163,0.1112
M11_median_b2,84.89,0.4268,1.7072,144,0.1952,0.3242,0.8625,0.3253,0.4268,23.08,1.5498,69.88,0.149,0.1291,0.51,0.0357
M18_entropy_stack,84.89,0.447,1.788,144,0.1878,0.3977,0.8625,0.34,0.447,23.92,1.6201,66.42,0.1731,0.2739,0.5163,0.1112
M12_selector_overrides,84.78,0.4394,1.7576,145,0.1952,0.3788,0.8594,0.3242,0.4394,22.35,1.5981,68.31,0.149,0.2592,0.5005,0.0346
M13_stack_bracket,84.78,0.4231,1.6925,145,0.1647,0.3662,0.8447,0.3169,0.4231,25.39,1.5519,68.63,0.1354,0.2319,0.4774,0.0441
M14_stack_density,84.78,0.4294,1.7177,145,0.1784,0.3662,0.8489,0.3242,0.4294,23.92,1.5729,68.0,0.1217,0.2319,0.4732,0.0367
M16_boost_b2b4,84.58,0.4048,1.6191,147,0.1647,0.319,0.8447,0.2907,0.4048,26.86,1.4659,72.19,0.1354,0.0735,0.4774,-0.1102
M15_divide_global,84.58,0.4042,1.617,147,0.2025,0.3232,0.788,0.3033,0.4042,23.4,1.4134,68.84,0.1941,0.1595,0.3914,-0.0199
M17_selector_regime,84.37,0.442,1.7681,149,0.1952,0.3851,0.8625,0.3253,0.442,21.93,1.6086,68.0,0.149,0.2718,0.51,0.0357
M19_divide_adaptive,82.69,0.4583,1.8332,165,0.1973,0.3736,0.9286,0.3337,0.4583,21.51,1.6842,65.69,0.1469,0.256,0.5887,0.0797
M23_agree_side,81.01,0.4134,1.6537,181,0.1081,0.3358,0.8573,0.3526,0.4134,22.46,1.5047,65.69,0.0073,-0.0252,-0.0913,-0.2162
M20_weight_visibility_grid,80.9,0.4499,1.7996,182,0.2434,0.3694,0.8898,0.297,0.4499,19.83,1.5268,66.0,0.2392,0.2497,0.6128,-0.1081
M27_weight_visibility_adaptive,80.38,0.4698,1.8793,187,0.2613,0.382,0.9203,0.3158,0.4698,18.57,1.6107,64.11,0.2571,0.277,0.6243,-0.0724
M24_weight_class_aware,71.04,0.5388,2.1553,276,0.2025,0.4816,1.1752,0.2959,0.5388,12.49,1.7817,58.55,0.1941,0.4103,1.0367,-0.191
M22_anchor_floor50,70.09,0.4307,1.723,285,0.1301,0.3001,0.9685,0.3242,0.4307,16.89,1.4669,60.65,0.0797,-0.0126,-0.723,-0.2256
M25_consensus_multi,25.39,0.8846,3.5383,711,0.1752,0.511,2.1112,0.7408,0.8846,5.46,3.5299,16.79,-0.1689,-0.511,-2.107,-0.7408
M26_median_per_side,25.39,0.8846,3.5383,711,0.1752,0.511,2.1112,0.7408,0.8846,5.46,3.5299,16.79,-0.1689,-0.511,-2.107,-0.7408
M28_baseline_match_strict,5.98,1.7833,7.1333,896,0.4617,1.0913,4.2581,1.3221,1.7833,2.41,6.9024,5.04,-0.3253,-1.0073,-4.256,-1.3075
M29_baseline_naive_sum,3.46,2.309,9.2361,920,1.1637,1.7975,4.9056,1.3694,2.309,1.36,9.2361,2.31,1.1637,1.7975,4.9056,1.3694
M21_ordinal_b3,0.73,3.5548,14.2193,946,1.9832,2.8678,6.2602,3.1081,3.5548,0.0,14.2193,0.0,-1.9832,-2.8678,-6.2602,-3.1081
