method,B1,B2,B3,B4,total,dedup_ratio_vs_naive
M01_selector_b2b3,1084,1971,5237,1922,10214,0.5509
M02_selector_trifurc,1084,1972,5236,1922,10214,0.5509
M03_blend_geometric,1081,1929,5223,1860,10093,0.5444
M04_blend_floor_clamped,1128,1931,5231,1860,10150,0.5474
M05_blend_vis_divide,1128,1931,5230,1851,10140,0.5469
M06_weight_visibility,1128,1921,5169,1834,10052,0.5421
M07_weight_coverage,1128,1921,5170,1843,10062,0.5427
M08_divide_density_vis,1128,1929,5196,1835,10088,0.5441
M09_median_strong5,1066,1903,5402,1916,10287,0.5548
M10_entropy_divide,1102,2041,5505,2115,10763,0.5805
M11_median_b2,1079,1903,5499,2043,10524,0.5676
M12_selector_overrides,1079,2027,5490,2042,10638,0.5738
M13_stack_bracket,1066,2001,5468,2051,10586,0.571
M14_stack_density,1053,2001,5464,2044,10562,0.5697
M15_divide_global,1122,1932,5386,1990,10430,0.5625
M16_boost_b2b4,1066,1850,5468,1904,10288,0.5549
M17_selector_regime,1079,2039,5499,2043,10660,0.5749
M18_entropy_stack,1102,2041,5505,2115,10763,0.5805
M19_divide_adaptive,1077,2024,5574,2085,10760,0.5803
M20_weight_visibility_grid,1165,2018,5597,1906,10686,0.5763
M21_ordinal_b3,-953,-953,-953,-953,-3812,-0.2056
M22_anchor_floor50,1013,1768,4324,1794,8899,0.48
M23_agree_side,944,1756,4926,1803,9429,0.5085
M24_weight_class_aware,1122,2171,6001,1827,11121,0.5998
M25_consensus_multi,776,1293,3005,1303,6377,0.3439
M26_median_per_side,776,1293,3005,1303,6377,0.3439
M27_weight_visibility_adaptive,1182,2044,5608,1940,10774,0.5811
M28_baseline_match_strict,627,820,957,763,3167,0.1708
M29_baseline_naive_sum,2046,3493,9688,3314,18541,1.0
