method,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees,df
cav_a140.8_a230.45_s140.3_s230.35,0.636,49.56,2.54,43.2,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       2       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       1
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.3_s230.4,0.6228,51.75,2.49,45.53,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       2       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       1
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.3_s230.45,0.6086,53.95,2.43,47.86,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       1
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.3_s230.5,0.602,54.39,2.41,48.37,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       1
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.3_s230.55,0.5943,55.26,2.38,49.32,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       1
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.35_s230.35,0.6272,49.56,2.51,43.29,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       2       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.35_s230.4,0.614,51.75,2.46,45.61,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       2       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.35_s230.45,0.5998,53.95,2.4,47.95,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.35_s230.5,0.5932,54.39,2.37,48.45,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
cav_a140.8_a230.45_s140.35_s230.55,0.5855,55.26,2.34,49.41,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       2
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       1       0       1       2
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       1
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       0       1       1       0
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       2
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       0
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       1

[228 rows x 19 columns]"
