tree_id,split,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum,err_B1,err_B2,err_B3,err_B4
DAMIMAS_A21B_0244,train,0,0,0,7,0,0,0,9,0.5,7,9,False,2,0,0,0,2
DAMIMAS_A21B_0002,train,1,0,7,4,2,0,6,6,1.0,12,14,False,4,1,0,1,2
DAMIMAS_A21B_0257,train,1,4,7,1,1,3,5,1,0.75,13,10,False,3,0,1,2,0
DAMIMAS_A21B_0259,train,1,8,3,0,1,6,3,0,0.5,12,10,False,2,0,2,0,0
DAMIMAS_A21B_0273,train,0,1,6,0,0,1,8,0,0.5,7,9,False,2,0,0,2,0
DAMIMAS_A21B_0035,train,0,7,2,0,0,5,2,0,0.5,9,7,False,2,0,2,0,0
DAMIMAS_A21B_0043,train,2,3,6,0,2,3,8,0,0.5,11,13,False,2,0,0,2,0
DAMIMAS_A21B_0045,train,1,0,10,4,1,0,12,5,0.75,15,18,False,3,0,0,2,1
DAMIMAS_A21B_0546,test,2,5,4,5,2,7,4,5,0.5,16,18,False,2,0,2,0,0
DAMIMAS_A21B_0554,test,2,3,4,5,2,4,6,7,1.25,14,19,False,5,0,1,2,2
DAMIMAS_A21B_0557,test,1,1,3,4,2,1,5,5,1.0,9,13,False,4,1,0,2,1
DAMIMAS_A21B_0558,test,0,3,4,3,0,5,5,4,1.0,10,14,False,4,0,2,1,1
DAMIMAS_A21B_0569,test,2,2,4,6,3,2,5,4,1.0,14,14,False,4,1,0,1,2
DAMIMAS_A21B_0574,test,0,0,3,2,0,0,5,2,0.5,5,7,False,2,0,0,2,0
