method,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees,df
vis_a0.5_s0.25,0.7434,44.3,2.97,36.86,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       2       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       1       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       1
227  DAMIMAS_A21B_0576   test      3      5  ...       1       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.3,0.6864,52.19,2.75,45.33,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       1       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       1       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.35,0.6546,57.46,2.62,50.91,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       1       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.4,0.625,59.21,2.5,52.96,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.45,0.6086,61.4,2.43,55.32,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       1       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.5,0.5998,62.28,2.4,56.28,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       1       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.5_s0.55,0.5899,63.6,2.36,57.7,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       1       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.55_s0.25,0.6711,53.07,2.68,46.36,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       1       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       2       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       2       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.55_s0.3,0.614,60.96,2.46,54.82,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       1       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
vis_a0.55_s0.35,0.6009,61.84,2.4,55.83,228,"               tree_id  split  B1_gt  B2_gt  ...  err_B1  err_B2  err_B3  err_B4
0    DAMIMAS_A21B_0001  train      1      2  ...       0       1       2       0
1    DAMIMAS_A21B_0244  train      0      0  ...       0       0       0       3
2    DAMIMAS_A21B_0577  train      3      0  ...       1       0       0       0
3    DAMIMAS_A21B_0002  train      1      0  ...       2       0       0       3
4    DAMIMAS_A21B_0245  train      0      0  ...       0       0       0       2
..                 ...    ...    ...    ...  ...     ...     ...     ...     ...
223  DAMIMAS_A21B_0572   test      2      3  ...       1       1       1       1
224  DAMIMAS_A21B_0573   test      0      2  ...       0       1       1       0
225  DAMIMAS_A21B_0574   test      0      0  ...       0       0       3       1
226  DAMIMAS_A21B_0575   test      3      3  ...       1       1       1       0
227  DAMIMAS_A21B_0576   test      3      5  ...       0       0       1       0

[228 rows x 19 columns]"
