method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
M20_weight_visibility_grid,DAMIMAS_A21B_0001,train,DAMIMAS,True,0.25,1,1,2,5,0,1,3,5,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0002,train,DAMIMAS,True,0.75,3,1,0,7,4,2,0,6,5,1,0,1,1,1,0,-1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0003,train,DAMIMAS,True,0.5,2,1,2,5,1,1,3,6,1,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0004,train,DAMIMAS,True,0.0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0005,test,DAMIMAS,True,0.25,1,1,3,3,2,1,3,3,1,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0006,train,DAMIMAS,True,0.25,1,1,0,5,3,1,0,4,3,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0007,train,DAMIMAS,True,0.25,1,3,3,8,3,3,2,8,3,0,1,0,0,0,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0008,train,DAMIMAS,True,0.0,0,2,3,4,0,2,3,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0009,train,DAMIMAS,True,0.25,1,0,0,3,3,0,0,3,2,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0010,train,DAMIMAS,True,0.25,1,0,2,6,3,0,3,6,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0011,train,DAMIMAS,True,0.25,1,1,0,4,1,1,0,5,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0012,test,DAMIMAS,True,0.5,2,1,2,4,2,2,1,4,2,1,1,0,0,1,-1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0013,val,DAMIMAS,True,0.0,0,0,1,4,4,0,1,4,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0014,test,DAMIMAS,True,0.0,0,1,1,4,3,1,1,4,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0015,test,DAMIMAS,True,0.25,1,1,1,7,4,2,1,7,4,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0016,train,DAMIMAS,True,0.0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0017,train,DAMIMAS,True,0.25,1,0,1,3,4,0,1,3,5,0,0,0,1,0,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0018,train,DAMIMAS,True,0.25,1,1,0,3,1,1,0,4,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0019,train,DAMIMAS,True,0.0,0,2,0,8,3,2,0,8,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0020,train,DAMIMAS,True,0.0,0,1,1,4,3,1,1,4,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0021,test,DAMIMAS,True,0.25,1,3,0,5,4,3,0,5,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0022,test,DAMIMAS,True,0.0,0,0,1,5,2,0,1,5,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0023,train,DAMIMAS,True,0.25,1,1,3,5,0,1,3,4,0,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0024,train,DAMIMAS,True,0.25,1,1,0,6,3,2,0,6,3,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0025,train,DAMIMAS,True,0.5,2,1,1,5,0,2,1,4,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0026,val,DAMIMAS,True,0.0,0,0,1,4,2,0,1,4,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0027,train,DAMIMAS,True,0.25,1,3,0,6,2,4,0,6,2,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0028,val,DAMIMAS,True,0.5,2,0,1,5,6,0,1,6,5,0,0,1,1,0,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0029,train,DAMIMAS,True,0.5,2,1,2,5,2,1,3,5,3,0,1,0,1,0,1,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0030,train,DAMIMAS,True,0.25,1,0,0,5,3,0,0,5,2,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0031,train,DAMIMAS,True,0.0,0,0,1,4,2,0,1,4,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0032,train,DAMIMAS,True,0.0,0,2,1,5,3,2,1,5,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0033,train,DAMIMAS,True,0.5,2,0,0,8,2,0,0,9,1,0,0,1,1,0,0,1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0034,train,DAMIMAS,False,0.5,2,0,1,3,6,0,1,3,4,0,0,0,2,0,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0035,train,DAMIMAS,False,0.5,2,0,7,2,0,0,5,2,0,0,2,0,0,0,-2,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0036,train,DAMIMAS,True,0.0,0,0,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0037,val,DAMIMAS,True,0.25,1,0,3,5,3,0,3,6,3,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0038,val,DAMIMAS,True,0.25,1,2,0,5,5,2,0,5,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0039,test,DAMIMAS,True,0.0,0,2,5,2,0,2,5,2,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0040,train,DAMIMAS,True,0.0,0,2,2,4,3,2,2,4,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0041,test,DAMIMAS,True,0.25,1,2,3,6,3,2,3,5,3,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0042,train,DAMIMAS,True,0.5,2,2,1,4,1,3,1,3,1,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0043,train,DAMIMAS,True,0.25,1,2,3,6,0,2,3,7,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0044,test,DAMIMAS,True,0.0,0,2,1,4,1,2,1,4,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0045,train,DAMIMAS,True,0.25,1,1,0,10,4,1,0,11,4,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0046,test,DAMIMAS,True,0.5,2,0,0,3,3,0,0,4,4,0,0,1,1,0,0,1,1
M20_weight_visibility_grid,DAMIMAS_A21B_0047,val,DAMIMAS,True,0.25,1,0,1,4,1,0,2,4,1,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0048,val,DAMIMAS,True,0.0,0,0,1,6,3,0,1,6,3,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0049,train,DAMIMAS,True,0.25,1,0,0,5,3,0,0,5,2,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0050,train,DAMIMAS,True,0.25,1,2,0,3,2,2,0,4,2,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0051,train,DAMIMAS,True,0.25,1,0,1,9,4,0,1,9,3,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0052,train,DAMIMAS,True,0.25,1,2,3,9,1,2,3,8,1,0,0,1,0,0,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0053,train,DAMIMAS,True,0.0,0,0,2,5,2,0,2,5,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0054,test,DAMIMAS,True,0.5,2,0,2,5,4,0,3,5,3,0,1,0,1,0,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0055,train,DAMIMAS,True,0.25,1,1,3,7,2,1,3,7,1,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0056,train,DAMIMAS,True,0.0,0,1,1,4,2,1,1,4,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0057,train,DAMIMAS,True,0.0,0,2,1,6,4,2,1,6,4,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0058,train,DAMIMAS,True,0.5,2,1,1,3,2,2,1,4,2,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0059,test,DAMIMAS,True,0.5,2,1,1,2,0,2,1,3,0,1,0,1,0,1,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0060,val,DAMIMAS,True,0.25,1,0,1,5,1,0,1,6,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0061,train,DAMIMAS,True,0.25,1,1,0,8,1,1,0,9,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0062,train,DAMIMAS,True,0.5,2,0,2,3,2,0,3,4,2,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0063,val,DAMIMAS,True,0.0,0,2,1,5,0,2,1,5,0,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0064,train,DAMIMAS,True,0.25,1,0,1,5,0,0,2,5,0,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0065,train,DAMIMAS,True,0.25,1,2,1,6,3,3,1,6,3,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0066,train,DAMIMAS,True,0.0,0,2,2,5,5,2,2,5,5,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0067,train,DAMIMAS,True,0.5,2,3,1,7,1,4,1,7,2,1,0,0,1,1,0,0,1
M20_weight_visibility_grid,DAMIMAS_A21B_0068,train,DAMIMAS,True,0.0,0,1,4,3,2,1,4,3,2,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0069,train,DAMIMAS,True,0.5,2,1,1,7,1,2,1,6,1,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0070,train,DAMIMAS,True,0.25,1,0,0,5,3,0,0,6,3,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0071,train,DAMIMAS,True,0.5,2,1,1,6,0,1,2,7,0,0,1,1,0,0,1,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0072,train,DAMIMAS,True,0.0,0,1,3,6,1,1,3,6,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0073,test,DAMIMAS,False,0.5,2,0,1,0,10,0,1,0,8,0,0,0,2,0,0,0,-2
M20_weight_visibility_grid,DAMIMAS_A21B_0074,train,DAMIMAS,True,0.5,2,0,0,2,2,0,0,1,1,0,0,1,1,0,0,-1,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0075,train,DAMIMAS,True,0.5,2,1,2,11,3,2,2,11,2,1,0,0,1,1,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0076,test,DAMIMAS,True,0.25,1,2,2,3,4,3,2,3,4,1,0,0,0,1,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0077,train,DAMIMAS,True,0.5,2,2,0,7,0,3,0,6,0,1,0,1,0,1,0,-1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0078,train,DAMIMAS,True,0.5,2,1,2,6,2,1,3,6,1,0,1,0,1,0,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0079,train,DAMIMAS,True,0.25,1,0,4,9,0,0,4,10,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0080,train,DAMIMAS,True,0.25,1,1,2,3,5,1,2,3,4,0,0,0,1,0,0,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0081,train,DAMIMAS,True,0.75,3,2,2,5,4,1,3,5,3,1,1,0,1,-1,1,0,-1
M20_weight_visibility_grid,DAMIMAS_A21B_0082,train,DAMIMAS,True,0.0,0,0,3,3,1,0,3,3,1,0,0,0,0,0,0,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0083,train,DAMIMAS,True,0.25,1,0,3,8,0,0,3,9,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0084,train,DAMIMAS,True,0.25,1,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0085,train,DAMIMAS,True,0.25,1,0,2,9,3,0,3,9,3,0,1,0,0,0,1,0,0
M20_weight_visibility_grid,DAMIMAS_A21B_0086,train,DAMIMAS,True,0.25,1,1,1,6,1,1,1,7,1,0,0,1,0,0,0,1,0
M20_weight_visibility_grid,DAMIMAS_A21B_0087,train,DAMIMAS,True,0.25,1,1,2,8,1,1,2,9,1,0,0,1,0,0,0,1,0
