epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8384,1.92357,3.18312,0.00865,0.41593,0.52654,0.41964,0.16993,1.89316,1.84567,0.01114,0.000414562,0.000414562,0.000414562
2,115.283,1.906,2.00607,0.00844,0.44183,0.50517,0.43397,0.18665,1.92005,1.94524,0.01115,0.000823,0.000823,0.000823
3,181.976,1.90475,1.89217,0.00847,0.39682,0.52443,0.41521,0.17152,1.90325,1.78136,0.01115,0.00122319,0.00122319,0.00122319
4,243.282,1.89187,1.85593,0.00854,0.43138,0.50592,0.42276,0.18989,1.87239,1.75474,0.01078,0.00121287,0.00121287,0.00121287
5,300.219,1.88913,1.80994,0.0084,0.46476,0.54607,0.46904,0.20817,1.8986,1.62692,0.01101,0.0012005,0.0012005,0.0012005
6,348.812,1.8784,1.76478,0.00841,0.47601,0.54976,0.46594,0.20186,1.86969,1.61165,0.01085,0.00118812,0.00118812,0.00118812
7,396.9,1.85571,1.74409,0.00818,0.45177,0.53957,0.46469,0.2103,1.8839,1.66075,0.01105,0.00117575,0.00117575,0.00117575
8,445.822,1.85492,1.71448,0.00818,0.46833,0.54361,0.48153,0.20775,1.88585,1.63989,0.01096,0.00116337,0.00116337,0.00116337
9,494.743,1.84813,1.69534,0.00821,0.44122,0.55175,0.45799,0.20059,1.86647,1.686,0.01091,0.001151,0.001151,0.001151
10,543.123,1.82269,1.67577,0.00806,0.46049,0.54114,0.48703,0.21556,1.85161,1.61948,0.01069,0.00113863,0.00113863,0.00113863
11,593.205,1.83837,1.6771,0.00808,0.47425,0.55926,0.49871,0.21748,1.86115,1.59249,0.01081,0.00112625,0.00112625,0.00112625
12,642.005,1.81201,1.64074,0.00813,0.44451,0.53329,0.45505,0.20827,1.86421,1.63694,0.01075,0.00111388,0.00111388,0.00111388
13,691.411,1.80713,1.62716,0.00792,0.44431,0.56834,0.47238,0.2129,1.82014,1.63452,0.01054,0.0011015,0.0011015,0.0011015
