epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.531,2.00667,4.44188,0.00913,0.32348,0.26543,0.24569,0.0998,1.70787,2.88828,0.00975,0.000414562,0.000414562,0.000414562
2,107.932,1.81945,3.00337,0.00793,0.33371,0.44135,0.33406,0.13795,1.77251,2.0973,0.01024,0.000823,0.000823,0.000823
3,149.037,1.81939,2.41301,0.00797,0.38122,0.4966,0.3908,0.16725,1.77842,1.91258,0.01026,0.00122319,0.00122319,0.00122319
4,205.927,1.8322,2.19479,0.0082,0.40085,0.48025,0.39797,0.17898,1.772,1.86699,0.01016,0.00121287,0.00121287,0.00121287
5,252.237,1.81493,2.07856,0.00797,0.42213,0.50547,0.42169,0.17815,1.79391,1.89505,0.01031,0.0012005,0.0012005,0.0012005
6,287.965,1.81797,1.99072,0.00805,0.42253,0.51574,0.43128,0.18747,1.82843,1.81588,0.01057,0.00118812,0.00118812,0.00118812
7,335.962,1.80635,1.95539,0.00788,0.416,0.51527,0.43191,0.18256,1.86592,1.82458,0.0109,0.00117575,0.00117575,0.00117575
8,405.654,1.80276,1.92454,0.00786,0.42305,0.48898,0.41652,0.1904,1.77234,1.8459,0.01017,0.00116337,0.00116337,0.00116337
9,446.095,1.80607,1.90494,0.00794,0.44396,0.50122,0.43988,0.19582,1.85182,1.75828,0.01068,0.001151,0.001151,0.001151
10,475.858,1.792,1.85675,0.00787,0.4292,0.49958,0.44175,0.20458,1.7961,1.74654,0.01028,0.00113863,0.00113863,0.00113863
11,504.436,1.80428,1.85312,0.00785,0.45222,0.51306,0.45481,0.20163,1.81993,1.74301,0.01044,0.00112625,0.00112625,0.00112625
12,530.963,1.78611,1.81316,0.00795,0.41481,0.52346,0.41517,0.17961,1.81146,1.80896,0.01044,0.00111388,0.00111388,0.00111388
13,559.514,1.78221,1.78872,0.00776,0.47281,0.52965,0.47337,0.21425,1.82514,1.6464,0.01053,0.0011015,0.0011015,0.0011015
14,586.912,1.79014,1.78599,0.00786,0.45656,0.53331,0.47171,0.21638,1.83504,1.63088,0.01057,0.00108913,0.00108913,0.00108913
15,614.926,1.79183,1.76041,0.0078,0.45496,0.56501,0.48673,0.22368,1.79832,1.6433,0.01047,0.00107675,0.00107675,0.00107675
16,640.535,1.78835,1.74623,0.0079,0.47579,0.55074,0.48907,0.22103,1.82265,1.64877,0.01057,0.00106437,0.00106437,0.00106437
17,665.997,1.78441,1.72157,0.00778,0.46887,0.54577,0.48389,0.22189,1.80452,1.63283,0.01037,0.001052,0.001052,0.001052
18,691.619,1.78722,1.72449,0.00771,0.46664,0.54526,0.46752,0.21121,1.81809,1.64196,0.01044,0.00103962,0.00103962,0.00103962
19,716.004,1.77069,1.72123,0.00778,0.46819,0.56282,0.49045,0.21885,1.84695,1.61443,0.01067,0.00102725,0.00102725,0.00102725
20,740.91,1.79356,1.68675,0.00788,0.49,0.52491,0.47134,0.21072,1.82433,1.63927,0.01053,0.00101488,0.00101488,0.00101488
21,767.77,1.76954,1.71915,0.00769,0.48228,0.50671,0.47385,0.21229,1.87129,1.67125,0.01076,0.0010025,0.0010025,0.0010025
22,793.535,1.77254,1.69253,0.0078,0.48514,0.55101,0.49336,0.21767,1.85776,1.58936,0.01083,0.000990125,0.000990125,0.000990125
23,818.842,1.77014,1.67823,0.00774,0.46835,0.55785,0.48629,0.21844,1.83815,1.59075,0.0107,0.00097775,0.00097775,0.00097775
24,844.429,1.76662,1.68805,0.00772,0.47417,0.54066,0.49528,0.21584,1.85644,1.61758,0.01088,0.000965375,0.000965375,0.000965375
25,870.666,1.7632,1.67058,0.0078,0.48472,0.52876,0.48241,0.21676,1.86068,1.57645,0.01087,0.000953,0.000953,0.000953
26,897.563,1.76519,1.66613,0.00781,0.50294,0.54773,0.49872,0.22705,1.81562,1.58556,0.0105,0.000940625,0.000940625,0.000940625
27,922.443,1.76179,1.64701,0.00765,0.47828,0.54651,0.48621,0.21846,1.83305,1.59041,0.01054,0.00092825,0.00092825,0.00092825
28,947.916,1.75031,1.65117,0.00767,0.44476,0.52469,0.46702,0.21933,1.79255,1.64591,0.01028,0.000915875,0.000915875,0.000915875
29,973.07,1.75751,1.62823,0.00765,0.47384,0.54349,0.48745,0.21953,1.84794,1.59135,0.01064,0.0009035,0.0009035,0.0009035
30,999.24,1.7587,1.63807,0.0078,0.47855,0.52218,0.48712,0.22487,1.82311,1.62484,0.01054,0.000891125,0.000891125,0.000891125
31,1024.91,1.75208,1.62339,0.00758,0.50563,0.52575,0.50039,0.22902,1.82632,1.62437,0.01053,0.00087875,0.00087875,0.00087875
32,1050.75,1.75256,1.61047,0.00769,0.48755,0.56641,0.49915,0.22473,1.86694,1.56571,0.01086,0.000866375,0.000866375,0.000866375
33,1075.9,1.75294,1.60179,0.00754,0.47581,0.5578,0.49221,0.22018,1.84344,1.59189,0.01062,0.000854,0.000854,0.000854
