epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3271,2.61058,4.94,0.01308,0.07412,0.07619,0.05639,0.01503,2.18512,3.39436,0.01355,0.000414562,0.000414562,0.000414562
2,146.931,2.29216,3.24801,0.01075,0.19909,0.23913,0.14664,0.04234,2.11034,2.76668,0.01282,0.000823,0.000823,0.000823
3,221.242,2.16671,2.67968,0.01001,0.32856,0.31979,0.24055,0.08828,2.00245,2.35419,0.01217,0.00122319,0.00122319,0.00122319
4,301.573,2.1083,2.46482,0.00982,0.28783,0.36044,0.26229,0.09741,2.00332,2.24379,0.01178,0.00121287,0.00121287,0.00121287
5,347.364,2.06079,2.34846,0.00936,0.34863,0.37733,0.30014,0.11579,1.95406,2.11321,0.01144,0.0012005,0.0012005,0.0012005
6,409.44,2.02651,2.22667,0.00923,0.37968,0.4732,0.37737,0.15581,1.893,1.98758,0.01107,0.00118812,0.00118812,0.00118812
7,478.285,2.0066,2.15981,0.00898,0.38504,0.44791,0.37272,0.14832,1.88322,2.01533,0.01102,0.00117575,0.00117575,0.00117575
8,527.426,1.98096,2.10192,0.00885,0.36852,0.47787,0.384,0.16222,1.88973,1.97458,0.01098,0.00116337,0.00116337,0.00116337
9,565.128,1.97843,2.07329,0.00887,0.40244,0.47402,0.40881,0.17513,1.91338,1.85483,0.01115,0.001151,0.001151,0.001151
10,605.221,1.94572,2.02147,0.00872,0.38751,0.47336,0.37978,0.15578,1.90465,1.87042,0.01113,0.00113863,0.00113863,0.00113863
11,642.356,1.94166,1.98419,0.0086,0.43897,0.47706,0.43,0.18424,1.87617,1.84812,0.01084,0.00112625,0.00112625,0.00112625
12,673.339,1.90883,1.95417,0.00864,0.40849,0.51193,0.43051,0.18641,1.87786,1.7588,0.01097,0.00111388,0.00111388,0.00111388
13,703.346,1.91076,1.93074,0.00846,0.42944,0.4859,0.42664,0.18607,1.8927,1.75918,0.01102,0.0011015,0.0011015,0.0011015
14,736.365,1.90532,1.89687,0.00849,0.4323,0.50271,0.42575,0.18585,1.85748,1.74223,0.01081,0.00108913,0.00108913,0.00108913
15,769.251,1.90077,1.89343,0.00837,0.42481,0.52183,0.44234,0.19589,1.87454,1.72705,0.01094,0.00107675,0.00107675,0.00107675
16,801.114,1.89183,1.87749,0.00845,0.444,0.52187,0.45043,0.20317,1.88085,1.67605,0.01101,0.00106437,0.00106437,0.00106437
17,833.749,1.8816,1.84421,0.00831,0.44915,0.54602,0.47112,0.20572,1.87991,1.68009,0.01099,0.001052,0.001052,0.001052
18,875.457,1.88507,1.83639,0.00822,0.45199,0.51772,0.45623,0.1939,1.86287,1.70097,0.01099,0.00103962,0.00103962,0.00103962
19,905.917,1.86045,1.83797,0.00826,0.45002,0.52535,0.46165,0.20109,1.87346,1.68351,0.01094,0.00102725,0.00102725,0.00102725
20,961.417,1.86857,1.81125,0.00827,0.47313,0.48771,0.45802,0.20389,1.84576,1.70649,0.01067,0.00101488,0.00101488,0.00101488
21,1026.56,1.8694,1.82566,0.0082,0.46882,0.50784,0.4714,0.21255,1.8474,1.6672,0.01065,0.0010025,0.0010025,0.0010025
22,1072.29,1.86477,1.7882,0.00827,0.4597,0.55897,0.47982,0.20869,1.85901,1.64947,0.01084,0.000990125,0.000990125,0.000990125
23,1114.34,1.84352,1.78968,0.00814,0.45814,0.52784,0.46223,0.19742,1.88577,1.68248,0.01105,0.00097775,0.00097775,0.00097775
24,1162.33,1.83467,1.78033,0.00806,0.4483,0.5305,0.46655,0.20694,1.85104,1.67049,0.01085,0.000965375,0.000965375,0.000965375
25,1218.65,1.84384,1.76195,0.00821,0.47353,0.51284,0.46057,0.20692,1.83152,1.65238,0.01062,0.000953,0.000953,0.000953
26,1262.73,1.83772,1.77753,0.00819,0.47225,0.54767,0.48719,0.21965,1.82974,1.60561,0.01058,0.000940625,0.000940625,0.000940625
27,1304.78,1.84118,1.74227,0.00806,0.45673,0.52989,0.47299,0.21356,1.86519,1.61488,0.0108,0.00092825,0.00092825,0.00092825
28,1345.34,1.82771,1.73841,0.00808,0.44144,0.52227,0.46306,0.21514,1.8146,1.63383,0.0105,0.000915875,0.000915875,0.000915875
29,1384.19,1.82371,1.72433,0.00801,0.45819,0.51908,0.45551,0.21109,1.8137,1.66056,0.01053,0.0009035,0.0009035,0.0009035
30,1435.69,1.84013,1.72432,0.00821,0.48073,0.52737,0.48121,0.21886,1.85476,1.61683,0.01078,0.000891125,0.000891125,0.000891125
