epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.779,1.96607,4.0943,0.00887,0.37416,0.42387,0.35018,0.14458,1.86814,2.08691,0.01087,0.000414562,0.000414562,0.000414562
2,80.1642,1.90037,2.15242,0.00843,0.39979,0.48168,0.40115,0.16573,1.91862,1.88197,0.01117,0.000823,0.000823,0.000823
3,117.651,1.87172,2.01916,0.00833,0.44772,0.46218,0.42033,0.18171,1.89809,1.76746,0.01105,0.00122319,0.00122319,0.00122319
4,166.91,1.86145,1.90728,0.00838,0.44016,0.54646,0.47502,0.21242,1.88494,1.65644,0.011,0.00121287,0.00121287,0.00121287
5,203.023,1.86827,1.84004,0.00829,0.45966,0.5071,0.44674,0.20068,1.85775,1.64858,0.01093,0.0012005,0.0012005,0.0012005
6,237.463,1.86806,1.78666,0.00837,0.47292,0.54967,0.5016,0.22079,1.90721,1.56755,0.01112,0.00118812,0.00118812,0.00118812
7,273.163,1.85723,1.75501,0.00819,0.44136,0.54877,0.46849,0.20976,1.88618,1.619,0.011,0.00117575,0.00117575,0.00117575
8,312.782,1.84391,1.74463,0.00815,0.46041,0.55611,0.47994,0.21217,1.8822,1.61178,0.011,0.00116337,0.00116337,0.00116337
9,362.5,1.84259,1.72609,0.00819,0.46331,0.5375,0.46339,0.21259,1.88665,1.63342,0.011,0.001151,0.001151,0.001151
10,399.175,1.83004,1.68811,0.00812,0.45237,0.54412,0.48131,0.21486,1.89209,1.58355,0.01098,0.00113863,0.00113863,0.00113863
11,440.329,1.82561,1.70749,0.008,0.48488,0.54663,0.4945,0.22889,1.86487,1.60292,0.01081,0.00112625,0.00112625,0.00112625
12,482.663,1.82672,1.64351,0.00818,0.44654,0.55265,0.47432,0.21457,1.90186,1.57461,0.01102,0.00111388,0.00111388,0.00111388
13,521.096,1.83482,1.62353,0.00806,0.47572,0.55344,0.50904,0.23177,1.85776,1.5333,0.01086,0.0011015,0.0011015,0.0011015
14,568.063,1.81288,1.64208,0.00803,0.47117,0.56155,0.49048,0.2212,1.87571,1.51127,0.01098,0.00108913,0.00108913,0.00108913
15,651.506,1.80805,1.63909,0.00791,0.466,0.56195,0.499,0.22541,1.88819,1.56094,0.01098,0.00107675,0.00107675,0.00107675
16,705.009,1.81589,1.61962,0.00807,0.49786,0.58429,0.50994,0.23215,1.87363,1.53336,0.01091,0.00106437,0.00106437,0.00106437
17,750.323,1.78916,1.61541,0.00783,0.46112,0.56372,0.49557,0.22953,1.85394,1.55075,0.01066,0.001052,0.001052,0.001052
18,784.689,1.79586,1.60715,0.00778,0.46092,0.58375,0.50264,0.23544,1.82712,1.55583,0.01057,0.00103962,0.00103962,0.00103962
19,897.046,1.78193,1.61172,0.00785,0.47197,0.53519,0.47442,0.21716,1.8462,1.58496,0.01077,0.00102725,0.00102725,0.00102725
20,958.264,1.79908,1.57085,0.0079,0.49394,0.54327,0.50804,0.22725,1.88739,1.52831,0.01098,0.00101488,0.00101488,0.00101488
21,1022.7,1.77896,1.60466,0.00774,0.47529,0.57193,0.49489,0.22908,1.84263,1.5321,0.01069,0.0010025,0.0010025,0.0010025
